SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.25,1,8,122,1,1
/10.0.0.1,/10.0.0.25,3,8,179,1,2
/10.0.0.1,/10.0.0.25,23,8,484,1,3
/10.0.0.1,/10.0.0.25,31,8,384,1,4
/10.0.0.1,/10.0.0.25,33,8,278,1,5
/10.0.0.1,/10.0.0.25,33,8,278,2,5
/10.0.0.1,/10.0.0.25,34,8,386,1,6
/10.0.0.1,/10.0.0.25,36,8,33,1,7
/10.0.0.1,/10.0.0.25,36,8,33,2,7
/10.0.0.1,/10.0.0.25,37,8,32,1,8
/10.0.0.1,/10.0.0.25,37,8,32,2,8
/10.0.0.1,/10.0.0.25,38,8,35,1,9
/10.0.0.1,/10.0.0.25,38,8,44,2,9
/10.0.0.1,/10.0.0.25,39,8,48,1,10
/10.0.0.1,/10.0.0.25,39,8,155,2,10
/10.0.0.1,/10.0.0.25,40,8,164,1,11
/10.0.0.1,/10.0.0.25,41,8,278,1,12
/10.0.0.1,/10.0.0.25,41,8,278,2,12
/10.0.0.1,/10.0.0.25,42,8,60,1,13
/10.0.0.1,/10.0.0.25,42,8,61,2,13
/10.0.0.1,/10.0.0.25,43,8,57,1,14
/10.0.0.1,/10.0.0.25,43,8,58,2,14
/10.0.0.1,/10.0.0.25,44,8,60,1,15
/10.0.0.1,/10.0.0.25,44,8,60,2,15
/10.0.0.1,/10.0.0.25,45,8,138,1,16
/10.0.0.1,/10.0.0.25,46,8,42,1,17
/10.0.0.1,/10.0.0.25,46,8,42,2,17
/10.0.0.1,/10.0.0.25,47,8,32,1,18
/10.0.0.1,/10.0.0.25,47,8,32,2,18
/10.0.0.1,/10.0.0.25,48,8,34,1,19
/10.0.0.1,/10.0.0.25,48,8,36,2,19
/10.0.0.1,/10.0.0.25,49,8,38,1,20
/10.0.0.1,/10.0.0.25,49,8,39,2,20
/10.0.0.1,/10.0.0.25,50,8,52,1,21
/10.0.0.1,/10.0.0.25,50,8,52,2,21
/10.0.0.1,/10.0.0.25,51,8,273,1,22
/10.0.0.1,/10.0.0.25,52,8,65,1,23
/10.0.0.1,/10.0.0.25,53,8,61,1,24
/10.0.0.1,/10.0.0.25,54,8,58,1,25
/10.0.0.1,/10.0.0.25,54,8,58,2,25
/10.0.0.1,/10.0.0.25,55,8,31,1,26
/10.0.0.1,/10.0.0.25,55,8,32,2,26
/10.0.0.1,/10.0.0.25,56,8,30,1,27
/10.0.0.1,/10.0.0.25,56,8,245,2,27
/10.0.0.1,/10.0.0.25,57,8,31,1,28
/10.0.0.1,/10.0.0.25,57,8,31,2,28
/10.0.0.1,/10.0.0.25,58,8,32,1,29
/10.0.0.1,/10.0.0.25,58,8,32,2,29
/10.0.0.1,/10.0.0.25,59,8,41,1,30
/10.0.0.1,/10.0.0.25,60,8,56,1,31
/10.0.0.1,/10.0.0.25,60,8,56,2,31
/10.0.0.1,/10.0.0.25,61,8,58,1,32
/10.0.0.1,/10.0.0.25,61,8,58,2,32
/10.0.0.1,/10.0.0.25,62,8,56,1,33
/10.0.0.1,/10.0.0.25,62,8,61,2,33
/10.0.0.1,/10.0.0.25,63,8,63,1,34
/10.0.0.1,/10.0.0.25,63,8,64,2,34
/10.0.0.1,/10.0.0.25,64,8,36,1,35
/10.0.0.1,/10.0.0.25,64,8,36,2,35
/10.0.0.1,/10.0.0.25,65,8,35,1,36
/10.0.0.1,/10.0.0.25,65,8,142,2,36
/10.0.0.1,/10.0.0.25,66,8,31,1,37
/10.0.0.1,/10.0.0.25,66,8,32,2,37
/10.0.0.1,/10.0.0.25,67,8,34,1,38
/10.0.0.1,/10.0.0.25,67,8,34,2,38
/10.0.0.1,/10.0.0.25,68,8,41,1,39
/10.0.0.1,/10.0.0.25,68,8,41,2,39
/10.0.0.1,/10.0.0.25,69,8,55,1,40
/10.0.0.1,/10.0.0.25,69,8,160,2,40
/10.0.0.1,/10.0.0.25,70,8,56,1,41
/10.0.0.1,/10.0.0.25,70,8,56,2,41
/10.0.0.1,/10.0.0.25,71,8,59,1,42
/10.0.0.1,/10.0.0.25,71,8,61,2,42
/10.0.0.1,/10.0.0.25,72,8,58,1,43
/10.0.0.1,/10.0.0.25,72,8,58,2,43
/10.0.0.1,/10.0.0.25,73,8,34,1,44
/10.0.0.1,/10.0.0.25,73,8,34,2,44
/10.0.0.1,/10.0.0.25,74,8,32,1,45
/10.0.0.1,/10.0.0.25,74,8,32,2,45
/10.0.0.1,/10.0.0.25,75,8,33,1,46
/10.0.0.1,/10.0.0.25,75,8,33,2,46
/10.0.0.1,/10.0.0.25,76,8,33,1,47
/10.0.0.1,/10.0.0.25,76,8,33,2,47
/10.0.0.1,/10.0.0.25,77,8,42,1,48
/10.0.0.1,/10.0.0.25,77,8,43,2,48
/10.0.0.1,/10.0.0.25,78,8,50,1,49
/10.0.0.1,/10.0.0.25,78,8,52,2,49
/10.0.0.1,/10.0.0.25,79,8,60,1,50
/10.0.0.1,/10.0.0.25,79,8,60,2,50
/10.0.0.1,/10.0.0.25,80,8,54,1,51
/10.0.0.1,/10.0.0.25,80,8,54,2,51
/10.0.0.1,/10.0.0.25,81,8,59,1,52
/10.0.0.1,/10.0.0.25,81,8,59,2,52
/10.0.0.1,/10.0.0.25,82,8,31,1,53
/10.0.0.1,/10.0.0.25,82,8,31,2,53
/10.0.0.1,/10.0.0.25,83,8,34,1,54
/10.0.0.1,/10.0.0.25,83,8,35,2,54
/10.0.0.1,/10.0.0.25,84,8,33,1,55
/10.0.0.1,/10.0.0.25,84,8,33,2,55
/10.0.0.1,/10.0.0.25,85,8,31,1,56
/10.0.0.1,/10.0.0.25,85,8,31,2,56
/10.0.0.1,/10.0.0.25,86,8,37,1,57
/10.0.0.1,/10.0.0.25,86,8,38,2,57
/10.0.0.1,/10.0.0.25,87,8,48,1,58
/10.0.0.1,/10.0.0.25,87,8,48,2,58
/10.0.0.1,/10.0.0.25,88,8,59,1,59
/10.0.0.1,/10.0.0.25,88,8,59,2,59
/10.0.0.1,/10.0.0.25,89,8,60,1,60
/10.0.0.1,/10.0.0.25,89,8,60,2,60
/10.0.0.1,/10.0.0.25,90,8,58,1,61
/10.0.0.1,/10.0.0.25,91,8,30,1,62
/10.0.0.1,/10.0.0.25,91,8,30,2,62
/10.0.0.1,/10.0.0.25,92,8,38,1,63
/10.0.0.1,/10.0.0.25,92,8,38,2,63
/10.0.0.1,/10.0.0.25,93,8,33,1,64
/10.0.0.1,/10.0.0.25,93,8,33,2,64
/10.0.0.1,/10.0.0.25,94,8,31,1,65
/10.0.0.1,/10.0.0.25,94,8,31,2,65
/10.0.0.1,/10.0.0.25,95,8,33,1,66
/10.0.0.1,/10.0.0.25,95,8,33,2,66
/10.0.0.1,/10.0.0.25,96,8,50,1,67
/10.0.0.1,/10.0.0.25,96,8,52,2,67
/10.0.0.1,/10.0.0.25,97,8,64,1,68
/10.0.0.1,/10.0.0.25,98,8,55,1,69
/10.0.0.1,/10.0.0.25,98,8,56,2,69
/10.0.0.1,/10.0.0.25,99,8,56,1,70
/10.0.0.1,/10.0.0.25,99,8,276,2,70
/10.0.0.1,/10.0.0.25,100,8,59,1,71
/10.0.0.1,/10.0.0.25,100,8,59,2,71
/10.0.0.1,/10.0.0.25,101,8,33,1,72
/10.0.0.1,/10.0.0.25,101,8,33,2,72
/10.0.0.1,/10.0.0.25,102,8,32,1,73
/10.0.0.1,/10.0.0.25,102,8,32,2,73
/10.0.0.1,/10.0.0.25,103,8,30,1,74
/10.0.0.1,/10.0.0.25,103,8,31,2,74
/10.0.0.1,/10.0.0.25,104,8,33,1,75
/10.0.0.1,/10.0.0.25,105,8,42,1,76
/10.0.0.1,/10.0.0.25,105,8,42,2,76
/10.0.0.1,/10.0.0.25,106,8,52,1,77
/10.0.0.1,/10.0.0.25,106,8,52,2,77
/10.0.0.1,/10.0.0.25,107,8,65,1,78
/10.0.0.1,/10.0.0.25,107,8,66,2,78
/10.0.0.1,/10.0.0.25,108,8,59,1,79
/10.0.0.1,/10.0.0.25,108,8,59,2,79
/10.0.0.1,/10.0.0.25,109,8,58,1,80
/10.0.0.1,/10.0.0.25,109,8,58,2,80
/10.0.0.1,/10.0.0.25,110,8,30,1,81
/10.0.0.1,/10.0.0.25,110,8,31,2,81
/10.0.0.1,/10.0.0.25,111,8,33,1,82
/10.0.0.1,/10.0.0.25,111,8,35,2,82
/10.0.0.1,/10.0.0.25,112,8,30,1,83
/10.0.0.1,/10.0.0.25,112,8,30,2,83
/10.0.0.1,/10.0.0.25,113,8,30,1,84
/10.0.0.1,/10.0.0.25,113,8,30,2,84
/10.0.0.1,/10.0.0.25,114,8,36,1,85
/10.0.0.1,/10.0.0.25,114,8,36,2,85
/10.0.0.1,/10.0.0.25,115,8,44,1,86
/10.0.0.1,/10.0.0.25,115,8,44,2,86
