SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,8,18,5558,1,1
/10.0.0.1,/10.0.0.100,10,18,5359,1,2
/10.0.0.1,/10.0.0.100,100,18,4269,1,3
/10.0.0.1,/10.0.0.100,111,18,3777,1,4
/10.0.0.1,/10.0.0.100,111,18,3950,2,4
/10.0.0.1,/10.0.0.100,112,18,3980,1,5
/10.0.0.1,/10.0.0.100,112,18,4161,2,5
/10.0.0.1,/10.0.0.100,118,18,4108,1,6
/10.0.0.1,/10.0.0.100,118,18,4289,2,6
/10.0.0.1,/10.0.0.100,122,18,4454,1,7
/10.0.0.1,/10.0.0.100,124,18,3685,1,8
/10.0.0.1,/10.0.0.100,124,18,3842,2,8
/10.0.0.1,/10.0.0.100,128,18,3631,1,9
/10.0.0.1,/10.0.0.100,128,18,3794,2,9
/10.0.0.1,/10.0.0.100,129,18,3664,1,10
/10.0.0.1,/10.0.0.100,129,18,3821,2,10
/10.0.0.1,/10.0.0.100,130,18,4052,1,11
/10.0.0.1,/10.0.0.100,130,18,4223,2,11
/10.0.0.1,/10.0.0.100,132,18,3801,1,12
/10.0.0.1,/10.0.0.100,132,18,3964,2,12
/10.0.0.1,/10.0.0.100,134,18,3874,1,13
/10.0.0.1,/10.0.0.100,135,18,3820,1,14
/10.0.0.1,/10.0.0.100,137,18,3799,1,15
/10.0.0.1,/10.0.0.100,139,18,3667,1,16
/10.0.0.1,/10.0.0.100,140,18,3413,1,17
/10.0.0.1,/10.0.0.100,140,18,3575,2,17
/10.0.0.1,/10.0.0.100,142,18,3505,1,18
/10.0.0.1,/10.0.0.100,142,18,3708,2,18
/10.0.0.1,/10.0.0.100,144,18,3763,1,19
/10.0.0.1,/10.0.0.100,145,18,4258,1,20
/10.0.0.1,/10.0.0.100,148,18,4026,1,21
/10.0.0.1,/10.0.0.100,149,18,3763,1,22
/10.0.0.1,/10.0.0.100,149,18,3919,2,22
/10.0.0.1,/10.0.0.100,151,18,3838,1,23
/10.0.0.1,/10.0.0.100,152,18,3856,1,24
/10.0.0.1,/10.0.0.100,152,18,4040,2,24
/10.0.0.1,/10.0.0.100,153,18,4004,1,25
/10.0.0.1,/10.0.0.100,153,18,4159,2,25
/10.0.0.1,/10.0.0.100,154,18,4011,1,26
/10.0.0.1,/10.0.0.100,154,18,4274,2,26
/10.0.0.1,/10.0.0.100,155,18,4048,1,27
/10.0.0.1,/10.0.0.100,155,18,4205,2,27
/10.0.0.1,/10.0.0.100,160,18,4324,1,28
/10.0.0.1,/10.0.0.100,160,18,4489,2,28
/10.0.0.1,/10.0.0.100,161,18,4628,1,29
/10.0.0.1,/10.0.0.100,163,18,4390,1,30
/10.0.0.1,/10.0.0.100,164,18,4228,1,31
/10.0.0.1,/10.0.0.100,164,18,4458,2,31
/10.0.0.1,/10.0.0.100,165,18,4353,1,32
/10.0.0.1,/10.0.0.100,165,18,4518,2,32
/10.0.0.1,/10.0.0.100,167,18,4353,1,33
/10.0.0.1,/10.0.0.100,167,18,4523,2,33
/10.0.0.1,/10.0.0.100,169,18,4369,1,34
/10.0.0.1,/10.0.0.100,169,18,4543,2,34
/10.0.0.1,/10.0.0.100,170,18,4406,1,35
/10.0.0.1,/10.0.0.100,170,18,4656,2,35
/10.0.0.1,/10.0.0.100,171,18,4573,1,36
/10.0.0.1,/10.0.0.100,171,18,4743,2,36
/10.0.0.1,/10.0.0.100,173,18,4525,1,37
/10.0.0.1,/10.0.0.100,173,18,4688,2,37
/10.0.0.1,/10.0.0.100,174,18,4592,1,38
/10.0.0.1,/10.0.0.100,174,18,4765,2,38
/10.0.0.1,/10.0.0.100,175,18,5841,1,39
/10.0.0.1,/10.0.0.100,176,18,4597,1,40
/10.0.0.1,/10.0.0.100,177,18,4630,1,41
/10.0.0.1,/10.0.0.100,178,18,4700,1,42
/10.0.0.1,/10.0.0.100,178,18,4858,2,42
/10.0.0.1,/10.0.0.100,179,18,4857,1,43
/10.0.0.1,/10.0.0.100,180,18,4699,1,44
/10.0.0.1,/10.0.0.100,180,18,4912,2,44
/10.0.0.1,/10.0.0.100,181,18,4867,1,45
/10.0.0.1,/10.0.0.100,182,18,4636,1,46
/10.0.0.1,/10.0.0.100,182,18,4817,2,46
/10.0.0.1,/10.0.0.100,183,18,4757,1,47
/10.0.0.1,/10.0.0.100,183,18,4960,2,47
/10.0.0.1,/10.0.0.100,184,18,4775,1,48
/10.0.0.1,/10.0.0.100,184,18,4989,2,48
/10.0.0.1,/10.0.0.100,185,18,4866,1,49
/10.0.0.1,/10.0.0.100,185,18,5013,2,49
/10.0.0.1,/10.0.0.100,186,18,5011,1,50
