SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,5,18,6702,1,1
/10.0.0.1,/10.0.0.100,10,18,6548,1,2
/10.0.0.1,/10.0.0.100,23,18,5225,1,3
/10.0.0.1,/10.0.0.100,27,18,4970,1,4
/10.0.0.1,/10.0.0.100,27,18,5519,2,4
/10.0.0.1,/10.0.0.100,35,18,6445,1,5
/10.0.0.1,/10.0.0.100,35,18,7036,2,5
/10.0.0.1,/10.0.0.100,36,18,4672,1,6
/10.0.0.1,/10.0.0.100,40,18,4704,1,7
/10.0.0.1,/10.0.0.100,43,18,4548,1,8
/10.0.0.1,/10.0.0.100,44,18,4068,1,9
/10.0.0.1,/10.0.0.100,46,18,4388,1,10
/10.0.0.1,/10.0.0.100,49,18,4170,1,11
/10.0.0.1,/10.0.0.100,54,18,3844,1,12
/10.0.0.1,/10.0.0.100,57,18,3897,1,13
/10.0.0.1,/10.0.0.100,60,18,4471,1,14
/10.0.0.1,/10.0.0.100,66,18,4193,1,15
/10.0.0.1,/10.0.0.100,66,18,4744,2,15
/10.0.0.1,/10.0.0.100,68,18,5141,1,16
/10.0.0.1,/10.0.0.100,84,18,4435,1,17
/10.0.0.1,/10.0.0.100,95,18,3901,1,18
/10.0.0.1,/10.0.0.100,96,18,4582,1,19
/10.0.0.1,/10.0.0.100,97,18,4604,1,20
/10.0.0.1,/10.0.0.100,99,18,3680,1,21
/10.0.0.1,/10.0.0.100,99,18,4170,2,21
/10.0.0.1,/10.0.0.100,100,18,3540,1,22
