SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1008,18,1682,1,1
/10.0.0.1,/10.0.0.100,1008,18,1826,2,1
/10.0.0.1,/10.0.0.100,1024,18,2457,1,2
/10.0.0.1,/10.0.0.100,1024,18,2657,2,2
/10.0.0.1,/10.0.0.100,1026,18,2618,1,3
/10.0.0.1,/10.0.0.100,1026,18,2767,2,3
/10.0.0.1,/10.0.0.100,1027,18,2836,1,4
/10.0.0.1,/10.0.0.100,1032,18,2607,1,5
/10.0.0.1,/10.0.0.100,1032,18,2758,2,5
/10.0.0.1,/10.0.0.100,1036,18,2567,1,6
/10.0.0.1,/10.0.0.100,1039,18,2522,1,7
/10.0.0.1,/10.0.0.100,1047,18,2664,1,8
/10.0.0.1,/10.0.0.100,1052,18,2693,1,9
/10.0.0.1,/10.0.0.100,1052,18,2897,2,9
/10.0.0.1,/10.0.0.100,1071,18,2624,1,10
/10.0.0.1,/10.0.0.100,1075,18,2573,1,11
/10.0.0.1,/10.0.0.100,1075,18,2784,2,11
/10.0.0.1,/10.0.0.100,1079,18,2721,1,12
/10.0.0.1,/10.0.0.100,1079,18,2885,2,12
/10.0.0.1,/10.0.0.100,1085,18,2709,1,13
/10.0.0.1,/10.0.0.100,1091,18,2613,1,14
/10.0.0.1,/10.0.0.100,1091,18,2780,2,14
/10.0.0.1,/10.0.0.100,1097,18,2629,1,15
/10.0.0.1,/10.0.0.100,1097,18,2770,2,15
