SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,801,18,1285,1,1
/10.0.0.1,/10.0.0.100,801,18,1800,2,1
/10.0.0.1,/10.0.0.100,802,18,1112,1,2
/10.0.0.1,/10.0.0.100,805,18,1846,1,3
/10.0.0.1,/10.0.0.100,814,18,1729,1,4
/10.0.0.1,/10.0.0.100,818,18,1142,1,5
/10.0.0.1,/10.0.0.100,818,18,1824,2,5
/10.0.0.1,/10.0.0.100,820,18,1028,1,6
/10.0.0.1,/10.0.0.100,820,18,1167,2,6
/10.0.0.1,/10.0.0.100,822,18,1965,1,7
/10.0.0.1,/10.0.0.100,823,18,1569,1,8
/10.0.0.1,/10.0.0.100,824,18,1073,1,9
/10.0.0.1,/10.0.0.100,824,18,1514,2,9
/10.0.0.1,/10.0.0.100,841,18,1134,1,10
/10.0.0.1,/10.0.0.100,842,18,1142,1,11
/10.0.0.1,/10.0.0.100,846,18,1042,1,12
/10.0.0.1,/10.0.0.100,846,18,1215,2,12
/10.0.0.1,/10.0.0.100,847,18,1065,1,13
/10.0.0.1,/10.0.0.100,847,18,1265,2,13
/10.0.0.1,/10.0.0.100,863,18,1632,1,14
/10.0.0.1,/10.0.0.100,864,18,993,1,15
/10.0.0.1,/10.0.0.100,864,18,1138,2,15
/10.0.0.1,/10.0.0.100,865,18,1121,1,16
/10.0.0.1,/10.0.0.100,876,18,1095,1,17
/10.0.0.1,/10.0.0.100,876,18,1742,2,17
/10.0.0.1,/10.0.0.100,889,18,1120,1,18
/10.0.0.1,/10.0.0.100,889,18,1845,2,18
/10.0.0.1,/10.0.0.100,894,18,1155,1,19
/10.0.0.1,/10.0.0.100,894,18,1932,2,19
/10.0.0.1,/10.0.0.100,896,18,1188,1,20
/10.0.0.1,/10.0.0.100,896,18,1879,2,20
/10.0.0.1,/10.0.0.100,897,18,1073,1,21
/10.0.0.1,/10.0.0.100,897,18,1259,2,21
/10.0.0.1,/10.0.0.100,899,18,1548,1,22
/10.0.0.1,/10.0.0.100,900,18,1082,1,23
/10.0.0.1,/10.0.0.100,900,18,1220,2,23
