SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1,18,4018,1,1
/10.0.0.1,/10.0.0.100,1,18,4170,2,1
/10.0.0.1,/10.0.0.100,2,18,2465,1,2
/10.0.0.1,/10.0.0.100,2,18,2624,2,2
/10.0.0.1,/10.0.0.100,3,18,2783,1,3
/10.0.0.1,/10.0.0.100,3,18,2935,2,3
/10.0.0.1,/10.0.0.100,4,18,2267,1,4
/10.0.0.1,/10.0.0.100,4,18,2419,2,4
/10.0.0.1,/10.0.0.100,5,18,2049,1,5
/10.0.0.1,/10.0.0.100,6,18,2170,1,6
/10.0.0.1,/10.0.0.100,6,18,2323,2,6
/10.0.0.1,/10.0.0.100,7,18,2100,1,7
/10.0.0.1,/10.0.0.100,7,18,2246,2,7
/10.0.0.1,/10.0.0.100,8,18,2109,1,8
/10.0.0.1,/10.0.0.100,9,18,2058,1,9
/10.0.0.1,/10.0.0.100,9,18,2201,2,9
/10.0.0.1,/10.0.0.100,10,18,2050,1,10
/10.0.0.1,/10.0.0.100,11,18,3003,1,11
/10.0.0.1,/10.0.0.100,12,18,1762,1,12
/10.0.0.1,/10.0.0.100,13,18,3145,1,13
/10.0.0.1,/10.0.0.100,14,18,2842,1,14
/10.0.0.1,/10.0.0.100,14,18,2986,2,14
/10.0.0.1,/10.0.0.100,15,18,2138,1,15
/10.0.0.1,/10.0.0.100,15,18,2305,2,15
/10.0.0.1,/10.0.0.100,16,18,2058,1,16
/10.0.0.1,/10.0.0.100,17,18,2213,1,17
/10.0.0.1,/10.0.0.100,17,18,2363,2,17
/10.0.0.1,/10.0.0.100,18,18,2035,1,18
/10.0.0.1,/10.0.0.100,18,18,2182,2,18
/10.0.0.1,/10.0.0.100,20,18,1947,1,19
/10.0.0.1,/10.0.0.100,22,18,1898,1,20
/10.0.0.1,/10.0.0.100,23,18,1765,1,21
/10.0.0.1,/10.0.0.100,23,18,2021,2,21
/10.0.0.1,/10.0.0.100,24,18,2080,1,22
/10.0.0.1,/10.0.0.100,24,18,2239,2,22
/10.0.0.1,/10.0.0.100,25,18,1959,1,23
/10.0.0.1,/10.0.0.100,26,18,1957,1,24
/10.0.0.1,/10.0.0.100,26,18,2106,2,24
/10.0.0.1,/10.0.0.100,27,18,1996,1,25
/10.0.0.1,/10.0.0.100,27,18,2139,2,25
/10.0.0.1,/10.0.0.100,28,18,2006,1,26
/10.0.0.1,/10.0.0.100,29,18,1957,1,27
/10.0.0.1,/10.0.0.100,30,18,1974,1,28
/10.0.0.1,/10.0.0.100,30,18,2116,2,28
/10.0.0.1,/10.0.0.100,31,18,1913,1,29
/10.0.0.1,/10.0.0.100,31,18,2062,2,29
/10.0.0.1,/10.0.0.100,32,18,2088,1,30
/10.0.0.1,/10.0.0.100,32,18,2242,2,30
/10.0.0.1,/10.0.0.100,33,18,2140,1,31
/10.0.0.1,/10.0.0.100,33,18,2289,2,31
/10.0.0.1,/10.0.0.100,34,18,1771,1,32
/10.0.0.1,/10.0.0.100,34,18,1950,2,32
/10.0.0.1,/10.0.0.100,35,18,1965,1,33
/10.0.0.1,/10.0.0.100,35,18,2121,2,33
/10.0.0.1,/10.0.0.100,36,18,2072,1,34
/10.0.0.1,/10.0.0.100,36,18,2221,2,34
/10.0.0.1,/10.0.0.100,37,18,1510,1,35
/10.0.0.1,/10.0.0.100,38,18,1906,1,36
/10.0.0.1,/10.0.0.100,39,18,1560,1,37
/10.0.0.1,/10.0.0.100,41,18,1820,1,38
/10.0.0.1,/10.0.0.100,42,18,1986,1,39
/10.0.0.1,/10.0.0.100,43,18,1328,1,40
/10.0.0.1,/10.0.0.100,44,18,1952,1,41
/10.0.0.1,/10.0.0.100,45,18,1699,1,42
/10.0.0.1,/10.0.0.100,46,18,1973,1,43
/10.0.0.1,/10.0.0.100,47,18,1835,1,44
/10.0.0.1,/10.0.0.100,49,18,1436,1,45
/10.0.0.1,/10.0.0.100,49,18,1852,2,45
/10.0.0.1,/10.0.0.100,50,18,1768,1,46
/10.0.0.1,/10.0.0.100,50,18,1970,2,46
/10.0.0.1,/10.0.0.100,51,18,1722,1,47
/10.0.0.1,/10.0.0.100,51,18,1971,2,47
/10.0.0.1,/10.0.0.100,52,18,1200,1,48
/10.0.0.1,/10.0.0.100,52,18,1937,2,48
/10.0.0.1,/10.0.0.100,53,18,1454,1,49
/10.0.0.1,/10.0.0.100,53,18,2022,2,49
/10.0.0.1,/10.0.0.100,54,18,1933,1,50
/10.0.0.1,/10.0.0.100,54,18,2080,2,50
/10.0.0.1,/10.0.0.100,55,18,1746,1,51
/10.0.0.1,/10.0.0.100,55,18,1976,2,51
/10.0.0.1,/10.0.0.100,56,18,1996,1,52
/10.0.0.1,/10.0.0.100,57,18,1910,1,53
/10.0.0.1,/10.0.0.100,57,18,2056,2,53
/10.0.0.1,/10.0.0.100,58,18,2017,1,54
/10.0.0.1,/10.0.0.100,59,18,1955,1,55
/10.0.0.1,/10.0.0.100,59,18,2110,2,55
/10.0.0.1,/10.0.0.100,60,18,1675,1,56
/10.0.0.1,/10.0.0.100,61,18,1984,1,57
/10.0.0.1,/10.0.0.100,62,18,1319,1,58
/10.0.0.1,/10.0.0.100,62,18,1889,2,58
/10.0.0.1,/10.0.0.100,63,18,1196,1,59
/10.0.0.1,/10.0.0.100,63,18,1905,2,59
/10.0.0.1,/10.0.0.100,65,18,1252,1,60
/10.0.0.1,/10.0.0.100,65,18,1990,2,60
/10.0.0.1,/10.0.0.100,66,18,1897,1,61
/10.0.0.1,/10.0.0.100,66,18,2044,2,61
/10.0.0.1,/10.0.0.100,67,18,1853,1,62
/10.0.0.1,/10.0.0.100,67,18,1995,2,62
/10.0.0.1,/10.0.0.100,68,18,1218,1,63
/10.0.0.1,/10.0.0.100,69,18,1415,1,64
/10.0.0.1,/10.0.0.100,69,18,1953,2,64
/10.0.0.1,/10.0.0.100,70,18,1963,1,65
/10.0.0.1,/10.0.0.100,71,18,1156,1,66
/10.0.0.1,/10.0.0.100,71,18,1982,2,66
/10.0.0.1,/10.0.0.100,72,18,1213,1,67
/10.0.0.1,/10.0.0.100,73,18,1928,1,68
/10.0.0.1,/10.0.0.100,74,18,1330,1,69
/10.0.0.1,/10.0.0.100,75,18,1476,1,70
/10.0.0.1,/10.0.0.100,75,18,1973,2,70
/10.0.0.1,/10.0.0.100,76,18,1893,1,71
/10.0.0.1,/10.0.0.100,76,18,2035,2,71
/10.0.0.1,/10.0.0.100,77,18,1720,1,72
/10.0.0.1,/10.0.0.100,78,18,1210,1,73
/10.0.0.1,/10.0.0.100,78,18,1836,2,73
/10.0.0.1,/10.0.0.100,79,18,1832,1,74
/10.0.0.1,/10.0.0.100,80,18,1854,1,75
/10.0.0.1,/10.0.0.100,81,18,1287,1,76
/10.0.0.1,/10.0.0.100,81,18,1897,2,76
/10.0.0.1,/10.0.0.100,82,18,1812,1,77
/10.0.0.1,/10.0.0.100,82,18,2002,2,77
/10.0.0.1,/10.0.0.100,83,18,1308,1,78
/10.0.0.1,/10.0.0.100,83,18,1839,2,78
/10.0.0.1,/10.0.0.100,84,18,1144,1,79
/10.0.0.1,/10.0.0.100,84,18,1936,2,79
/10.0.0.1,/10.0.0.100,85,18,1654,1,80
/10.0.0.1,/10.0.0.100,85,18,1971,2,80
/10.0.0.1,/10.0.0.100,86,18,1801,1,81
/10.0.0.1,/10.0.0.100,86,18,1972,2,81
/10.0.0.1,/10.0.0.100,87,18,1162,1,82
/10.0.0.1,/10.0.0.100,87,18,1899,2,82
/10.0.0.1,/10.0.0.100,88,18,1230,1,83
/10.0.0.1,/10.0.0.100,88,18,1830,2,83
/10.0.0.1,/10.0.0.100,89,18,1334,1,84
/10.0.0.1,/10.0.0.100,89,18,1961,2,84
/10.0.0.1,/10.0.0.100,90,18,1887,1,85
/10.0.0.1,/10.0.0.100,91,18,1177,1,86
/10.0.0.1,/10.0.0.100,91,18,1878,2,86
/10.0.0.1,/10.0.0.100,92,18,1440,1,87
/10.0.0.1,/10.0.0.100,94,18,1120,1,88
/10.0.0.1,/10.0.0.100,94,18,1351,2,88
/10.0.0.1,/10.0.0.100,95,18,1448,1,89
/10.0.0.1,/10.0.0.100,95,18,1962,2,89
/10.0.0.1,/10.0.0.100,96,18,1327,1,90
/10.0.0.1,/10.0.0.100,96,18,1975,2,90
/10.0.0.1,/10.0.0.100,97,18,1282,1,91
/10.0.0.1,/10.0.0.100,97,18,1913,2,91
/10.0.0.1,/10.0.0.100,98,18,1207,1,92
/10.0.0.1,/10.0.0.100,98,18,1927,2,92
/10.0.0.1,/10.0.0.100,99,18,1216,1,93
/10.0.0.1,/10.0.0.100,99,18,1354,2,93
/10.0.0.1,/10.0.0.100,101,18,1082,1,94
/10.0.0.1,/10.0.0.100,101,18,1786,2,94
/10.0.0.1,/10.0.0.100,102,18,1188,1,95
/10.0.0.1,/10.0.0.100,104,18,1211,1,96
/10.0.0.1,/10.0.0.100,104,18,1818,2,96
/10.0.0.1,/10.0.0.100,105,18,1554,1,97
/10.0.0.1,/10.0.0.100,105,18,1964,2,97
/10.0.0.1,/10.0.0.100,106,18,1880,1,98
/10.0.0.1,/10.0.0.100,106,18,2028,2,98
/10.0.0.1,/10.0.0.100,107,18,1178,1,99
