SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.60,1,30,2232,1,1
/10.0.0.1,/10.0.0.60,1,32,2708,2,1
/10.0.0.1,/10.0.0.60,2,30,1937,1,2
/10.0.0.1,/10.0.0.60,2,30,2205,2,2
/10.0.0.1,/10.0.0.60,3,30,1706,1,3
/10.0.0.1,/10.0.0.60,3,30,1990,2,3
/10.0.0.1,/10.0.0.60,4,30,1562,1,4
/10.0.0.1,/10.0.0.60,4,30,1877,2,4
/10.0.0.1,/10.0.0.60,5,30,1493,1,5
/10.0.0.1,/10.0.0.60,5,30,1869,2,5
/10.0.0.1,/10.0.0.60,6,30,1401,1,6
/10.0.0.1,/10.0.0.60,6,30,1801,2,6
/10.0.0.1,/10.0.0.60,7,30,1390,1,7
/10.0.0.1,/10.0.0.60,7,30,1817,2,7
/10.0.0.1,/10.0.0.60,8,30,1311,1,8
/10.0.0.1,/10.0.0.60,8,30,1794,2,8
/10.0.0.1,/10.0.0.60,9,30,1363,1,9
/10.0.0.1,/10.0.0.60,9,30,1746,2,9
/10.0.0.1,/10.0.0.60,10,30,1422,1,10
/10.0.0.1,/10.0.0.60,10,30,1760,2,10
/10.0.0.1,/10.0.0.60,11,30,1270,1,11
/10.0.0.1,/10.0.0.60,11,30,1665,2,11
/10.0.0.1,/10.0.0.60,12,30,1193,1,12
/10.0.0.1,/10.0.0.60,12,30,1589,2,12
/10.0.0.1,/10.0.0.60,13,30,1190,1,13
/10.0.0.1,/10.0.0.60,13,30,1597,2,13
/10.0.0.1,/10.0.0.60,14,30,1205,1,14
/10.0.0.1,/10.0.0.60,14,30,1570,2,14
/10.0.0.1,/10.0.0.60,15,30,1228,1,15
/10.0.0.1,/10.0.0.60,15,32,1762,2,15
/10.0.0.1,/10.0.0.60,16,30,1266,1,16
/10.0.0.1,/10.0.0.60,16,30,1575,2,16
/10.0.0.1,/10.0.0.60,17,30,1164,1,17
/10.0.0.1,/10.0.0.60,17,30,1474,2,17
/10.0.0.1,/10.0.0.60,18,30,1095,1,18
/10.0.0.1,/10.0.0.60,18,30,1332,2,18
/10.0.0.1,/10.0.0.60,19,30,1132,1,19
/10.0.0.1,/10.0.0.60,19,30,1372,2,19
/10.0.0.1,/10.0.0.60,20,30,1144,1,20
/10.0.0.1,/10.0.0.60,20,30,1441,2,20
/10.0.0.1,/10.0.0.60,21,30,1076,1,21
/10.0.0.1,/10.0.0.60,21,30,1490,2,21
/10.0.0.1,/10.0.0.60,22,30,1100,1,22
/10.0.0.1,/10.0.0.60,22,30,1513,2,22
/10.0.0.1,/10.0.0.60,23,30,1116,1,23
/10.0.0.1,/10.0.0.60,23,30,1489,2,23
/10.0.0.1,/10.0.0.60,24,30,1149,1,24
/10.0.0.1,/10.0.0.60,24,30,1629,2,24
/10.0.0.1,/10.0.0.60,25,30,1135,1,25
/10.0.0.1,/10.0.0.60,25,30,1484,2,25
/10.0.0.1,/10.0.0.60,26,30,1147,1,26
/10.0.0.1,/10.0.0.60,26,30,1487,2,26
/10.0.0.1,/10.0.0.60,27,30,1074,1,27
/10.0.0.1,/10.0.0.60,27,30,1316,2,27
/10.0.0.1,/10.0.0.60,28,30,1075,1,28
/10.0.0.1,/10.0.0.60,28,30,1320,2,28
/10.0.0.1,/10.0.0.60,29,30,1160,1,29
/10.0.0.1,/10.0.0.60,29,30,1450,2,29
/10.0.0.1,/10.0.0.60,30,30,1120,1,30
/10.0.0.1,/10.0.0.60,30,30,1474,2,30
/10.0.0.1,/10.0.0.60,31,30,1177,1,31
/10.0.0.1,/10.0.0.60,31,30,1578,2,31
/10.0.0.1,/10.0.0.60,32,30,1091,1,32
/10.0.0.1,/10.0.0.60,32,30,1325,2,32
/10.0.0.1,/10.0.0.60,33,30,1082,1,33
/10.0.0.1,/10.0.0.60,33,30,1315,2,33
/10.0.0.1,/10.0.0.60,34,30,1094,1,34
/10.0.0.1,/10.0.0.60,34,32,1445,2,34
/10.0.0.1,/10.0.0.60,35,30,1358,1,35
/10.0.0.1,/10.0.0.60,36,30,1056,1,36
/10.0.0.1,/10.0.0.60,36,30,1282,2,36
/10.0.0.1,/10.0.0.60,37,30,1075,1,37
/10.0.0.1,/10.0.0.60,37,30,1487,2,37
/10.0.0.1,/10.0.0.60,38,30,1110,1,38
/10.0.0.1,/10.0.0.60,38,30,1426,2,38
/10.0.0.1,/10.0.0.60,39,30,1095,1,39
/10.0.0.1,/10.0.0.60,39,30,1429,2,39
