SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,1,12,2895,1,1
/10.0.0.1,/10.0.0.49,9,12,536,1,2
/10.0.0.1,/10.0.0.49,9,12,636,2,2
/10.0.0.1,/10.0.0.49,15,12,636,1,3
/10.0.0.1,/10.0.0.49,16,12,1669,1,4
/10.0.0.1,/10.0.0.49,19,12,1732,1,5
/10.0.0.1,/10.0.0.49,25,12,514,1,6
/10.0.0.1,/10.0.0.49,27,12,579,1,7
/10.0.0.1,/10.0.0.49,29,12,533,1,8
/10.0.0.1,/10.0.0.49,29,12,629,2,8
/10.0.0.1,/10.0.0.49,30,12,1629,1,9
/10.0.0.1,/10.0.0.49,33,12,563,1,10
/10.0.0.1,/10.0.0.49,34,12,531,1,11
/10.0.0.1,/10.0.0.49,35,12,1656,1,12
/10.0.0.1,/10.0.0.49,36,12,751,1,13
/10.0.0.1,/10.0.0.49,36,12,847,2,13
/10.0.0.1,/10.0.0.49,38,12,1695,1,14
/10.0.0.1,/10.0.0.49,46,12,1487,1,15
/10.0.0.1,/10.0.0.49,47,12,634,1,16
/10.0.0.1,/10.0.0.49,51,12,608,1,17
/10.0.0.1,/10.0.0.49,52,12,520,1,18
/10.0.0.1,/10.0.0.49,53,12,531,1,19
/10.0.0.1,/10.0.0.49,56,12,622,1,20
/10.0.0.1,/10.0.0.49,58,12,635,1,21
/10.0.0.1,/10.0.0.49,62,12,510,1,22
/10.0.0.1,/10.0.0.49,62,12,623,2,22
/10.0.0.1,/10.0.0.49,63,12,524,1,23
/10.0.0.1,/10.0.0.49,63,12,620,2,23
/10.0.0.1,/10.0.0.49,64,12,538,1,24
/10.0.0.1,/10.0.0.49,64,12,635,2,24
/10.0.0.1,/10.0.0.49,66,12,501,1,25
/10.0.0.1,/10.0.0.49,66,12,602,2,25
/10.0.0.1,/10.0.0.49,69,12,651,1,26
/10.0.0.1,/10.0.0.49,73,12,512,1,27
/10.0.0.1,/10.0.0.49,77,12,499,1,28
/10.0.0.1,/10.0.0.49,78,12,503,1,29
/10.0.0.1,/10.0.0.49,79,12,539,1,30
/10.0.0.1,/10.0.0.49,81,12,515,1,31
/10.0.0.1,/10.0.0.49,83,12,508,1,32
/10.0.0.1,/10.0.0.49,83,12,608,2,32
/10.0.0.1,/10.0.0.49,85,12,596,1,33
/10.0.0.1,/10.0.0.49,86,12,528,1,34
/10.0.0.1,/10.0.0.49,86,12,624,2,34
/10.0.0.1,/10.0.0.49,88,12,533,1,35
/10.0.0.1,/10.0.0.49,89,12,527,1,36
/10.0.0.1,/10.0.0.49,90,12,641,1,37
/10.0.0.1,/10.0.0.49,91,12,509,1,38
/10.0.0.1,/10.0.0.49,93,12,539,1,39
/10.0.0.1,/10.0.0.49,95,12,554,1,40
/10.0.0.1,/10.0.0.49,96,12,565,1,41
/10.0.0.1,/10.0.0.49,97,12,615,1,42
/10.0.0.1,/10.0.0.49,99,12,611,1,43
/10.0.0.1,/10.0.0.49,100,12,484,1,44
/10.0.0.1,/10.0.0.49,103,12,637,1,45
/10.0.0.1,/10.0.0.49,109,12,630,1,46
/10.0.0.1,/10.0.0.49,110,12,467,1,47
/10.0.0.1,/10.0.0.49,110,12,607,2,47
/10.0.0.1,/10.0.0.49,111,12,623,1,48
/10.0.0.1,/10.0.0.49,113,12,597,1,49
/10.0.0.1,/10.0.0.49,115,12,468,1,50
/10.0.0.1,/10.0.0.49,121,12,526,1,51
/10.0.0.1,/10.0.0.49,125,12,511,1,52
/10.0.0.1,/10.0.0.49,125,12,607,2,52
/10.0.0.1,/10.0.0.49,126,12,509,1,53
/10.0.0.1,/10.0.0.49,130,12,495,1,54
/10.0.0.1,/10.0.0.49,130,12,592,2,54
/10.0.0.1,/10.0.0.49,132,12,548,1,55
/10.0.0.1,/10.0.0.49,142,12,550,1,56
/10.0.0.1,/10.0.0.49,144,12,499,1,57
/10.0.0.1,/10.0.0.49,148,12,572,1,58
/10.0.0.1,/10.0.0.49,149,12,663,1,59
/10.0.0.1,/10.0.0.49,150,12,661,1,60
/10.0.0.1,/10.0.0.49,151,12,510,1,61
/10.0.0.1,/10.0.0.49,152,12,594,1,62
/10.0.0.1,/10.0.0.49,159,12,561,1,63
/10.0.0.1,/10.0.0.49,163,12,502,1,64
/10.0.0.1,/10.0.0.49,163,12,600,2,64
/10.0.0.1,/10.0.0.49,165,12,466,1,65
/10.0.0.1,/10.0.0.49,168,12,512,1,66
/10.0.0.1,/10.0.0.49,171,12,594,1,67
/10.0.0.1,/10.0.0.49,172,12,511,1,68
/10.0.0.1,/10.0.0.49,173,12,620,1,69
/10.0.0.1,/10.0.0.49,175,12,639,1,70
/10.0.0.1,/10.0.0.49,177,12,607,1,71
/10.0.0.1,/10.0.0.49,179,12,605,1,72
/10.0.0.1,/10.0.0.49,180,12,478,1,73
/10.0.0.1,/10.0.0.49,180,12,573,2,73
/10.0.0.1,/10.0.0.49,184,12,507,1,74
/10.0.0.1,/10.0.0.49,186,12,467,1,75
/10.0.0.1,/10.0.0.49,186,12,564,2,75
/10.0.0.1,/10.0.0.49,190,12,529,1,76
/10.0.0.1,/10.0.0.49,193,12,492,1,77
/10.0.0.1,/10.0.0.49,194,12,597,1,78
/10.0.0.1,/10.0.0.49,195,12,563,1,79
/10.0.0.1,/10.0.0.49,201,12,472,1,80
/10.0.0.1,/10.0.0.49,201,12,571,2,80
/10.0.0.1,/10.0.0.49,203,12,576,1,81
/10.0.0.1,/10.0.0.49,218,12,500,1,82
/10.0.0.1,/10.0.0.49,218,12,592,2,82
/10.0.0.1,/10.0.0.49,220,12,579,1,83
/10.0.0.1,/10.0.0.49,231,12,542,1,84
/10.0.0.1,/10.0.0.49,232,12,655,1,85
/10.0.0.1,/10.0.0.49,234,12,677,1,86
/10.0.0.1,/10.0.0.49,238,12,548,1,87
/10.0.0.1,/10.0.0.49,238,12,645,2,87
/10.0.0.1,/10.0.0.49,239,12,532,1,88
/10.0.0.1,/10.0.0.49,243,12,621,1,89
/10.0.0.1,/10.0.0.49,245,12,641,1,90
/10.0.0.1,/10.0.0.49,246,12,512,1,91
/10.0.0.1,/10.0.0.49,247,12,506,1,92
/10.0.0.1,/10.0.0.49,247,12,615,2,92
/10.0.0.1,/10.0.0.49,249,12,628,1,93
/10.0.0.1,/10.0.0.49,250,12,606,1,94
/10.0.0.1,/10.0.0.49,259,12,469,1,95
/10.0.0.1,/10.0.0.49,259,12,622,2,95
/10.0.0.1,/10.0.0.49,260,12,478,1,96
/10.0.0.1,/10.0.0.49,264,12,653,1,97
/10.0.0.1,/10.0.0.49,266,12,513,1,98
/10.0.0.1,/10.0.0.49,270,12,491,1,99
/10.0.0.1,/10.0.0.49,271,12,600,1,100
/10.0.0.1,/10.0.0.49,273,12,509,1,101
/10.0.0.1,/10.0.0.49,274,12,511,1,102
/10.0.0.1,/10.0.0.49,274,12,612,2,102
/10.0.0.1,/10.0.0.49,275,12,518,1,103
/10.0.0.1,/10.0.0.49,275,12,613,2,103
/10.0.0.1,/10.0.0.49,276,12,646,1,104
/10.0.0.1,/10.0.0.49,277,12,604,1,105
/10.0.0.1,/10.0.0.49,278,12,498,1,106
/10.0.0.1,/10.0.0.49,279,12,557,1,107
/10.0.0.1,/10.0.0.49,280,12,481,1,108
/10.0.0.1,/10.0.0.49,285,12,481,1,109
/10.0.0.1,/10.0.0.49,286,12,491,1,110
/10.0.0.1,/10.0.0.49,289,12,490,1,111
/10.0.0.1,/10.0.0.49,289,12,595,2,111
/10.0.0.1,/10.0.0.49,291,12,484,1,112
/10.0.0.1,/10.0.0.49,292,12,580,1,113
/10.0.0.1,/10.0.0.49,297,12,592,1,114
/10.0.0.1,/10.0.0.49,299,12,609,1,115
/10.0.0.1,/10.0.0.49,305,12,612,1,116
/10.0.0.1,/10.0.0.49,306,12,575,1,117
/10.0.0.1,/10.0.0.49,307,12,575,1,118
/10.0.0.1,/10.0.0.49,309,12,515,1,119
/10.0.0.1,/10.0.0.49,309,12,608,2,119
/10.0.0.1,/10.0.0.49,311,12,502,1,120
/10.0.0.1,/10.0.0.49,313,12,486,1,121
/10.0.0.1,/10.0.0.49,313,12,580,2,121
/10.0.0.1,/10.0.0.49,315,12,526,1,122
/10.0.0.1,/10.0.0.49,316,12,436,1,123
/10.0.0.1,/10.0.0.49,317,12,515,1,124
/10.0.0.1,/10.0.0.49,318,12,571,1,125
/10.0.0.1,/10.0.0.49,319,12,663,1,126
/10.0.0.1,/10.0.0.49,322,12,456,1,127
/10.0.0.1,/10.0.0.49,324,12,487,1,128
/10.0.0.1,/10.0.0.49,324,12,608,2,128
/10.0.0.1,/10.0.0.49,325,12,603,1,129
/10.0.0.1,/10.0.0.49,329,12,480,1,130
/10.0.0.1,/10.0.0.49,329,12,577,2,130
/10.0.0.1,/10.0.0.49,330,12,485,1,131
/10.0.0.1,/10.0.0.49,335,12,625,1,132
/10.0.0.1,/10.0.0.49,337,12,466,1,133
/10.0.0.1,/10.0.0.49,342,12,474,1,134
/10.0.0.1,/10.0.0.49,342,12,568,2,134
/10.0.0.1,/10.0.0.49,343,12,585,1,135
/10.0.0.1,/10.0.0.49,345,12,568,1,136
