SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,115,18,3668,1,1
/10.0.0.1,/10.0.0.100,127,18,10600,1,2
/10.0.0.1,/10.0.0.100,143,18,10266,1,3
/10.0.0.1,/10.0.0.100,151,18,9791,1,4
/10.0.0.1,/10.0.0.100,157,18,12997,1,5
/10.0.0.1,/10.0.0.100,160,18,14617,1,6
/10.0.0.1,/10.0.0.100,164,18,17342,1,7
/10.0.0.1,/10.0.0.100,170,18,18240,1,8
/10.0.0.1,/10.0.0.100,170,18,18269,2,8
/10.0.0.1,/10.0.0.100,175,18,18814,1,9
/10.0.0.1,/10.0.0.100,178,18,18602,1,10
/10.0.0.1,/10.0.0.100,178,18,18630,2,10
/10.0.0.1,/10.0.0.100,183,18,19171,1,11
/10.0.0.1,/10.0.0.100,197,18,11560,1,12
/10.0.0.1,/10.0.0.100,197,18,11592,2,12
/10.0.0.1,/10.0.0.100,198,18,10618,1,13
