SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.60,1,30,27513,1,1
/10.0.0.1,/10.0.0.60,1,30,27537,2,1
/10.0.0.1,/10.0.0.60,2,30,26810,1,2
/10.0.0.1,/10.0.0.60,3,30,25564,1,3
/10.0.0.1,/10.0.0.60,3,32,25608,2,3
/10.0.0.1,/10.0.0.60,4,30,24642,1,4
/10.0.0.1,/10.0.0.60,5,30,23677,1,5
/10.0.0.1,/10.0.0.60,6,30,26417,1,6
/10.0.0.1,/10.0.0.60,6,30,26454,2,6
/10.0.0.1,/10.0.0.60,7,30,29648,1,7
/10.0.0.1,/10.0.0.60,7,30,31347,2,7
/10.0.0.1,/10.0.0.60,8,30,33355,1,8
/10.0.0.1,/10.0.0.60,8,30,33499,2,8
/10.0.0.1,/10.0.0.60,9,30,36469,1,9
/10.0.0.1,/10.0.0.60,10,30,39271,1,10
/10.0.0.1,/10.0.0.60,10,30,39363,2,10
/10.0.0.1,/10.0.0.60,11,30,41342,1,11
/10.0.0.1,/10.0.0.60,11,30,41425,2,11
/10.0.0.1,/10.0.0.60,12,30,44313,1,12
/10.0.0.1,/10.0.0.60,12,30,44350,2,12
/10.0.0.1,/10.0.0.60,13,30,45687,1,13
/10.0.0.1,/10.0.0.60,13,30,45690,2,13
/10.0.0.1,/10.0.0.60,14,30,50473,1,14
/10.0.0.1,/10.0.0.60,15,30,49549,1,15
/10.0.0.1,/10.0.0.60,15,30,49560,2,15
/10.0.0.1,/10.0.0.60,16,30,51771,1,16
/10.0.0.1,/10.0.0.60,16,30,51787,2,16
/10.0.0.1,/10.0.0.60,17,30,53711,1,17
/10.0.0.1,/10.0.0.60,17,30,56388,2,17
/10.0.0.1,/10.0.0.60,18,30,55310,1,18
/10.0.0.1,/10.0.0.60,19,30,56514,1,19
/10.0.0.1,/10.0.0.60,19,30,56607,2,19
/10.0.0.1,/10.0.0.60,23,30,62984,1,20
/10.0.0.1,/10.0.0.60,24,30,64661,1,21
/10.0.0.1,/10.0.0.60,24,30,67857,2,21
/10.0.0.1,/10.0.0.60,25,30,65706,1,22
/10.0.0.1,/10.0.0.60,26,30,67330,1,23
/10.0.0.1,/10.0.0.60,26,30,67386,2,23
/10.0.0.1,/10.0.0.60,28,30,69809,1,24
/10.0.0.1,/10.0.0.60,29,30,70248,1,25
/10.0.0.1,/10.0.0.60,29,30,70296,2,25
/10.0.0.1,/10.0.0.60,30,30,72202,1,26
/10.0.0.1,/10.0.0.60,30,30,72211,2,26
/10.0.0.1,/10.0.0.60,31,30,73551,1,27
/10.0.0.1,/10.0.0.60,31,30,73555,2,27
/10.0.0.1,/10.0.0.60,32,30,75414,1,28
/10.0.0.1,/10.0.0.60,33,30,76528,1,29
/10.0.0.1,/10.0.0.60,33,30,76531,2,29
/10.0.0.1,/10.0.0.60,34,30,77893,1,30
/10.0.0.1,/10.0.0.60,35,30,79444,1,31
/10.0.0.1,/10.0.0.60,36,30,80911,1,32
/10.0.0.1,/10.0.0.60,36,30,80915,2,32
/10.0.0.1,/10.0.0.60,37,30,82077,1,33
/10.0.0.1,/10.0.0.60,37,30,82079,2,33
/10.0.0.1,/10.0.0.60,38,30,83134,1,34
/10.0.0.1,/10.0.0.60,39,30,84111,1,35
/10.0.0.1,/10.0.0.60,39,30,84236,2,35
/10.0.0.1,/10.0.0.60,40,30,85585,1,36
/10.0.0.1,/10.0.0.60,40,30,85715,2,36
/10.0.0.1,/10.0.0.60,41,30,86906,1,37
/10.0.0.1,/10.0.0.60,43,30,90119,1,38
/10.0.0.1,/10.0.0.60,43,30,90148,2,38
/10.0.0.1,/10.0.0.60,44,30,91008,1,39
/10.0.0.1,/10.0.0.60,45,30,91994,1,40
/10.0.0.1,/10.0.0.60,45,30,92009,2,40
/10.0.0.1,/10.0.0.60,46,30,93349,1,41
/10.0.0.1,/10.0.0.60,46,30,93403,2,41
/10.0.0.1,/10.0.0.60,47,30,94300,1,42
/10.0.0.1,/10.0.0.60,47,30,94445,2,42
/10.0.0.1,/10.0.0.60,48,30,95536,1,43
/10.0.0.1,/10.0.0.60,48,30,95545,2,43
/10.0.0.1,/10.0.0.60,49,30,96486,1,44
/10.0.0.1,/10.0.0.60,49,30,96847,2,44
/10.0.0.1,/10.0.0.60,50,30,97565,1,45
/10.0.0.1,/10.0.0.60,51,30,98941,1,46
/10.0.0.1,/10.0.0.60,51,30,99236,2,46
/10.0.0.1,/10.0.0.60,52,30,101535,1,47
/10.0.0.1,/10.0.0.60,52,30,101543,2,47
/10.0.0.1,/10.0.0.60,53,30,101881,1,48
/10.0.0.1,/10.0.0.60,54,30,102358,1,49
/10.0.0.1,/10.0.0.60,54,30,102718,2,49
/10.0.0.1,/10.0.0.60,55,30,104286,1,50
/10.0.0.1,/10.0.0.60,56,30,105135,1,51
