SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,380,12,6434,1,1
/10.0.0.1,/10.0.0.49,380,12,6699,2,1
/10.0.0.1,/10.0.0.49,381,12,20237,1,2
/10.0.0.1,/10.0.0.49,381,12,20418,2,2
/10.0.0.1,/10.0.0.49,382,12,28311,1,3
/10.0.0.1,/10.0.0.49,382,12,28491,2,3
/10.0.0.1,/10.0.0.49,383,12,38875,1,4
/10.0.0.1,/10.0.0.49,383,12,39118,2,4
/10.0.0.1,/10.0.0.49,384,12,49809,1,5
/10.0.0.1,/10.0.0.49,384,12,49812,2,5
/10.0.0.1,/10.0.0.49,385,12,56590,1,6
/10.0.0.1,/10.0.0.49,385,12,56655,2,6
/10.0.0.1,/10.0.0.49,386,12,74009,1,7
/10.0.0.1,/10.0.0.49,386,12,74010,2,7
/10.0.0.1,/10.0.0.49,387,12,79319,1,8
/10.0.0.1,/10.0.0.49,387,12,81266,2,8
/10.0.0.1,/10.0.0.49,388,12,92246,1,9
/10.0.0.1,/10.0.0.49,388,12,92248,2,9
/10.0.0.1,/10.0.0.49,390,12,113746,1,10
/10.0.0.1,/10.0.0.49,390,12,113956,2,10
/10.0.0.1,/10.0.0.49,397,12,166079,1,11
/10.0.0.1,/10.0.0.49,397,12,166082,2,11
/10.0.0.1,/10.0.0.49,398,12,171103,1,12
/10.0.0.1,/10.0.0.49,398,12,171105,2,12
