SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,3,12,2994,1,1
/10.0.0.1,/10.0.0.49,3,12,3009,2,1
/10.0.0.1,/10.0.0.49,7,12,666,1,2
/10.0.0.1,/10.0.0.49,9,12,1827,1,3
/10.0.0.1,/10.0.0.49,10,12,3892,1,4
/10.0.0.1,/10.0.0.49,10,12,3894,2,4
/10.0.0.1,/10.0.0.49,12,12,735,1,5
/10.0.0.1,/10.0.0.49,18,12,794,1,6
/10.0.0.1,/10.0.0.49,23,12,685,1,7
/10.0.0.1,/10.0.0.49,25,12,715,1,8
/10.0.0.1,/10.0.0.49,36,12,671,1,9
/10.0.0.1,/10.0.0.49,38,12,585,1,10
/10.0.0.1,/10.0.0.49,45,12,629,1,11
/10.0.0.1,/10.0.0.49,46,12,721,1,12
/10.0.0.1,/10.0.0.49,50,12,622,1,13
/10.0.0.1,/10.0.0.49,55,12,745,1,14
/10.0.0.1,/10.0.0.49,70,12,704,1,15
/10.0.0.1,/10.0.0.49,72,12,634,1,16
/10.0.0.1,/10.0.0.49,72,12,637,2,16
/10.0.0.1,/10.0.0.49,73,12,648,1,17
/10.0.0.1,/10.0.0.49,75,12,759,1,18
/10.0.0.1,/10.0.0.49,78,12,540,1,19
/10.0.0.1,/10.0.0.49,88,12,639,1,20
/10.0.0.1,/10.0.0.49,91,12,647,1,21
/10.0.0.1,/10.0.0.49,98,12,608,1,22
/10.0.0.1,/10.0.0.49,101,12,700,1,23
/10.0.0.1,/10.0.0.49,102,12,745,1,24
/10.0.0.1,/10.0.0.49,106,12,546,1,25
/10.0.0.1,/10.0.0.49,111,12,688,1,26
/10.0.0.1,/10.0.0.49,117,12,634,1,27
/10.0.0.1,/10.0.0.49,145,12,612,1,28
/10.0.0.1,/10.0.0.49,145,12,613,2,28
/10.0.0.1,/10.0.0.49,152,12,568,1,29
/10.0.0.1,/10.0.0.49,166,12,558,1,30
/10.0.0.1,/10.0.0.49,169,12,595,1,31
/10.0.0.1,/10.0.0.49,179,12,644,1,32
/10.0.0.1,/10.0.0.49,181,12,571,1,33
/10.0.0.1,/10.0.0.49,190,12,568,1,34
/10.0.0.1,/10.0.0.49,195,12,585,1,35
/10.0.0.1,/10.0.0.49,198,12,554,1,36
/10.0.0.1,/10.0.0.49,201,12,1707,1,37
/10.0.0.1,/10.0.0.49,205,12,613,1,38
/10.0.0.1,/10.0.0.49,207,12,623,1,39
/10.0.0.1,/10.0.0.49,208,12,639,1,40
/10.0.0.1,/10.0.0.49,209,12,605,1,41
/10.0.0.1,/10.0.0.49,223,12,664,1,42
/10.0.0.1,/10.0.0.49,224,12,632,1,43
/10.0.0.1,/10.0.0.49,224,12,633,2,43
/10.0.0.1,/10.0.0.49,227,12,555,1,44
/10.0.0.1,/10.0.0.49,228,12,629,1,45
/10.0.0.1,/10.0.0.49,229,12,605,1,46
/10.0.0.1,/10.0.0.49,231,12,574,1,47
/10.0.0.1,/10.0.0.49,235,12,554,1,48
/10.0.0.1,/10.0.0.49,241,12,504,1,49
/10.0.0.1,/10.0.0.49,242,12,574,1,50
/10.0.0.1,/10.0.0.49,243,12,555,1,51
/10.0.0.1,/10.0.0.49,257,12,607,1,52
/10.0.0.1,/10.0.0.49,262,12,538,1,53
/10.0.0.1,/10.0.0.49,263,12,662,1,54
/10.0.0.1,/10.0.0.49,265,12,535,1,55
/10.0.0.1,/10.0.0.49,266,12,507,1,56
/10.0.0.1,/10.0.0.49,267,12,671,1,57
/10.0.0.1,/10.0.0.49,273,12,526,1,58
/10.0.0.1,/10.0.0.49,274,12,588,1,59
/10.0.0.1,/10.0.0.49,275,12,623,1,60
/10.0.0.1,/10.0.0.49,294,12,645,1,61
/10.0.0.1,/10.0.0.49,306,12,536,1,62
/10.0.0.1,/10.0.0.49,314,12,502,1,63
/10.0.0.1,/10.0.0.49,314,12,513,2,63
/10.0.0.1,/10.0.0.49,317,12,530,1,64
/10.0.0.1,/10.0.0.49,327,12,659,1,65
/10.0.0.1,/10.0.0.49,328,12,511,1,66
/10.0.0.1,/10.0.0.49,330,12,505,1,67
/10.0.0.1,/10.0.0.49,338,12,598,1,68
/10.0.0.1,/10.0.0.49,340,12,537,1,69
/10.0.0.1,/10.0.0.49,341,12,648,1,70
/10.0.0.1,/10.0.0.49,345,12,575,1,71
/10.0.0.1,/10.0.0.49,347,12,570,1,72
/10.0.0.1,/10.0.0.49,363,12,532,1,73
/10.0.0.1,/10.0.0.49,366,12,521,1,74
/10.0.0.1,/10.0.0.49,367,12,539,1,75
/10.0.0.1,/10.0.0.49,374,12,622,1,76
/10.0.0.1,/10.0.0.49,380,12,586,1,77
/10.0.0.1,/10.0.0.49,383,12,513,1,78
/10.0.0.1,/10.0.0.49,394,12,603,1,79
/10.0.0.1,/10.0.0.49,412,12,599,1,80
/10.0.0.1,/10.0.0.49,417,12,501,1,81
/10.0.0.1,/10.0.0.49,419,12,556,1,82
/10.0.0.1,/10.0.0.49,428,12,526,1,83
/10.0.0.1,/10.0.0.49,438,12,550,1,84
/10.0.0.1,/10.0.0.49,442,12,526,1,85
/10.0.0.1,/10.0.0.49,443,12,631,1,86
/10.0.0.1,/10.0.0.49,443,12,634,2,86
/10.0.0.1,/10.0.0.49,446,14,605,1,87
/10.0.0.1,/10.0.0.49,447,12,559,1,88
/10.0.0.1,/10.0.0.49,448,12,574,1,89
/10.0.0.1,/10.0.0.49,448,12,631,2,89
/10.0.0.1,/10.0.0.49,460,12,533,1,90
/10.0.0.1,/10.0.0.49,478,12,550,1,91
/10.0.0.1,/10.0.0.49,480,12,562,1,92
/10.0.0.1,/10.0.0.49,480,12,565,2,92
/10.0.0.1,/10.0.0.49,493,12,474,1,93
/10.0.0.1,/10.0.0.49,495,12,1085,1,94
/10.0.0.1,/10.0.0.49,497,12,519,1,95
/10.0.0.1,/10.0.0.49,499,12,597,1,96
/10.0.0.1,/10.0.0.49,504,12,589,1,97
/10.0.0.1,/10.0.0.49,504,12,593,2,97
/10.0.0.1,/10.0.0.49,510,12,585,1,98
/10.0.0.1,/10.0.0.49,514,12,621,1,99
/10.0.0.1,/10.0.0.49,522,12,551,1,100
/10.0.0.1,/10.0.0.49,538,12,508,1,101
/10.0.0.1,/10.0.0.49,544,12,555,1,102
/10.0.0.1,/10.0.0.49,550,12,659,1,103
/10.0.0.1,/10.0.0.49,551,12,677,1,104
/10.0.0.1,/10.0.0.49,552,12,531,1,105
/10.0.0.1,/10.0.0.49,562,12,568,1,106
/10.0.0.1,/10.0.0.49,564,12,515,1,107
/10.0.0.1,/10.0.0.49,578,12,556,1,108
/10.0.0.1,/10.0.0.49,579,12,596,1,109
/10.0.0.1,/10.0.0.49,582,12,565,1,110
/10.0.0.1,/10.0.0.49,584,12,527,1,111
/10.0.0.1,/10.0.0.49,585,12,542,1,112
/10.0.0.1,/10.0.0.49,598,12,533,1,113
/10.0.0.1,/10.0.0.49,609,12,470,1,114
/10.0.0.1,/10.0.0.49,610,12,476,1,115
/10.0.0.1,/10.0.0.49,614,12,538,1,116
/10.0.0.1,/10.0.0.49,617,12,512,1,117
/10.0.0.1,/10.0.0.49,620,12,546,1,118
/10.0.0.1,/10.0.0.49,624,12,568,1,119
/10.0.0.1,/10.0.0.49,625,12,553,1,120
/10.0.0.1,/10.0.0.49,639,12,512,1,121
/10.0.0.1,/10.0.0.49,639,12,546,2,121
/10.0.0.1,/10.0.0.49,647,12,545,1,122
/10.0.0.1,/10.0.0.49,650,12,507,1,123
/10.0.0.1,/10.0.0.49,654,12,542,1,124
/10.0.0.1,/10.0.0.49,658,12,571,1,125
/10.0.0.1,/10.0.0.49,672,12,504,1,126
/10.0.0.1,/10.0.0.49,673,12,527,1,127
/10.0.0.1,/10.0.0.49,678,12,608,1,128
/10.0.0.1,/10.0.0.49,679,12,569,1,129
/10.0.0.1,/10.0.0.49,682,12,498,1,130
/10.0.0.1,/10.0.0.49,683,12,564,1,131
/10.0.0.1,/10.0.0.49,684,12,580,1,132
/10.0.0.1,/10.0.0.49,685,14,597,1,133
/10.0.0.1,/10.0.0.49,693,12,535,1,134
/10.0.0.1,/10.0.0.49,695,12,574,1,135
/10.0.0.1,/10.0.0.49,701,12,537,1,136
/10.0.0.1,/10.0.0.49,711,12,542,1,137
/10.0.0.1,/10.0.0.49,714,12,587,1,138
/10.0.0.1,/10.0.0.49,714,12,592,2,138
/10.0.0.1,/10.0.0.49,717,12,569,1,139
/10.0.0.1,/10.0.0.49,723,12,546,1,140
/10.0.0.1,/10.0.0.49,725,12,538,1,141
/10.0.0.1,/10.0.0.49,726,12,561,1,142
/10.0.0.1,/10.0.0.49,726,12,563,2,142
/10.0.0.1,/10.0.0.49,729,12,573,1,143
/10.0.0.1,/10.0.0.49,735,12,547,1,144
/10.0.0.1,/10.0.0.49,737,12,541,1,145
/10.0.0.1,/10.0.0.49,738,12,524,1,146
/10.0.0.1,/10.0.0.49,750,12,474,1,147
/10.0.0.1,/10.0.0.49,753,12,525,1,148
/10.0.0.1,/10.0.0.49,757,12,570,1,149
/10.0.0.1,/10.0.0.49,759,12,603,1,150
/10.0.0.1,/10.0.0.49,760,12,580,1,151
/10.0.0.1,/10.0.0.49,770,12,551,1,152
/10.0.0.1,/10.0.0.49,775,12,571,1,153
/10.0.0.1,/10.0.0.49,782,12,504,1,154
/10.0.0.1,/10.0.0.49,783,12,526,1,155
