SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,1,12,4615,1,1
/10.0.0.1,/10.0.0.49,1,12,4641,2,1
/10.0.0.1,/10.0.0.49,2,12,4564,1,2
/10.0.0.1,/10.0.0.49,2,12,4599,2,2
/10.0.0.1,/10.0.0.49,3,12,5424,1,3
/10.0.0.1,/10.0.0.49,3,12,5484,2,3
/10.0.0.1,/10.0.0.49,4,12,5834,1,4
/10.0.0.1,/10.0.0.49,4,12,5854,2,4
/10.0.0.1,/10.0.0.49,5,12,10817,1,5
/10.0.0.1,/10.0.0.49,5,12,10848,2,5
/10.0.0.1,/10.0.0.49,6,12,9862,1,6
/10.0.0.1,/10.0.0.49,6,12,9866,2,6
/10.0.0.1,/10.0.0.49,7,12,7339,1,7
/10.0.0.1,/10.0.0.49,7,12,8255,2,7
/10.0.0.1,/10.0.0.49,8,12,8974,1,8
/10.0.0.1,/10.0.0.49,8,12,8980,2,8
/10.0.0.1,/10.0.0.49,9,12,8537,1,9
/10.0.0.1,/10.0.0.49,9,12,9497,2,9
/10.0.0.1,/10.0.0.49,10,12,13290,1,10
/10.0.0.1,/10.0.0.49,11,12,10231,1,11
/10.0.0.1,/10.0.0.49,11,12,10237,2,11
/10.0.0.1,/10.0.0.49,12,12,10745,1,12
/10.0.0.1,/10.0.0.49,12,12,10805,2,12
/10.0.0.1,/10.0.0.49,13,12,11181,1,13
/10.0.0.1,/10.0.0.49,13,12,11183,2,13
/10.0.0.1,/10.0.0.49,14,12,15729,1,14
/10.0.0.1,/10.0.0.49,14,12,15733,2,14
/10.0.0.1,/10.0.0.49,15,12,14703,1,15
/10.0.0.1,/10.0.0.49,15,12,14708,2,15
/10.0.0.1,/10.0.0.49,16,12,12550,1,16
/10.0.0.1,/10.0.0.49,16,12,12564,2,16
/10.0.0.1,/10.0.0.49,17,12,15336,1,17
/10.0.0.1,/10.0.0.49,18,12,16983,1,18
/10.0.0.1,/10.0.0.49,18,12,16995,2,18
/10.0.0.1,/10.0.0.49,19,12,13872,1,19
/10.0.0.1,/10.0.0.49,19,12,13876,2,19
/10.0.0.1,/10.0.0.49,20,12,14152,1,20
/10.0.0.1,/10.0.0.49,20,12,14249,2,20
/10.0.0.1,/10.0.0.49,21,12,14006,1,21
/10.0.0.1,/10.0.0.49,21,12,14011,2,21
/10.0.0.1,/10.0.0.49,22,12,15634,1,22
/10.0.0.1,/10.0.0.49,23,12,14922,1,23
/10.0.0.1,/10.0.0.49,23,12,14935,2,23
/10.0.0.1,/10.0.0.49,24,12,15174,1,24
/10.0.0.1,/10.0.0.49,24,12,15180,2,24
/10.0.0.1,/10.0.0.49,25,12,15682,1,25
/10.0.0.1,/10.0.0.49,25,12,15685,2,25
/10.0.0.1,/10.0.0.49,26,12,15621,1,26
/10.0.0.1,/10.0.0.49,26,12,15630,2,26
/10.0.0.1,/10.0.0.49,27,12,17687,1,27
/10.0.0.1,/10.0.0.49,27,12,17692,2,27
/10.0.0.1,/10.0.0.49,28,12,17777,1,28
/10.0.0.1,/10.0.0.49,28,12,17781,2,28
/10.0.0.1,/10.0.0.49,29,12,16458,1,29
/10.0.0.1,/10.0.0.49,29,12,16461,2,29
/10.0.0.1,/10.0.0.49,30,12,16550,1,30
/10.0.0.1,/10.0.0.49,30,12,16565,2,30
/10.0.0.1,/10.0.0.49,31,12,16808,1,31
/10.0.0.1,/10.0.0.49,31,12,16825,2,31
/10.0.0.1,/10.0.0.49,32,12,17057,1,32
/10.0.0.1,/10.0.0.49,32,12,17067,2,32
/10.0.0.1,/10.0.0.49,33,12,17693,1,33
/10.0.0.1,/10.0.0.49,33,12,17699,2,33
/10.0.0.1,/10.0.0.49,34,12,17517,1,34
/10.0.0.1,/10.0.0.49,34,12,17642,2,34
/10.0.0.1,/10.0.0.49,35,12,17600,1,35
/10.0.0.1,/10.0.0.49,35,12,17772,2,35
/10.0.0.1,/10.0.0.49,36,12,21816,1,36
/10.0.0.1,/10.0.0.49,36,12,21819,2,36
/10.0.0.1,/10.0.0.49,37,12,18340,1,37
/10.0.0.1,/10.0.0.49,37,12,18516,2,37
/10.0.0.1,/10.0.0.49,38,12,22379,1,38
/10.0.0.1,/10.0.0.49,38,12,22382,2,38
/10.0.0.1,/10.0.0.49,39,12,19170,1,39
/10.0.0.1,/10.0.0.49,39,12,19178,2,39
/10.0.0.1,/10.0.0.49,40,12,19616,1,40
/10.0.0.1,/10.0.0.49,40,12,19621,2,40
/10.0.0.1,/10.0.0.49,41,12,19745,1,41
/10.0.0.1,/10.0.0.49,41,12,19749,2,41
/10.0.0.1,/10.0.0.49,42,12,19904,1,42
/10.0.0.1,/10.0.0.49,42,12,19912,2,42
/10.0.0.1,/10.0.0.49,43,12,20039,1,43
/10.0.0.1,/10.0.0.49,43,12,20063,2,43
