SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,152,18,1519,1,1
/10.0.0.1,/10.0.0.100,156,18,1045,1,2
/10.0.0.1,/10.0.0.100,157,18,945,1,3
/10.0.0.1,/10.0.0.100,160,18,1274,1,4
/10.0.0.1,/10.0.0.100,161,18,1769,1,5
/10.0.0.1,/10.0.0.100,164,18,1324,1,6
/10.0.0.1,/10.0.0.100,164,18,1334,2,6
/10.0.0.1,/10.0.0.100,165,18,1231,1,7
/10.0.0.1,/10.0.0.100,165,18,1236,2,7
/10.0.0.1,/10.0.0.100,167,18,1100,1,8
/10.0.0.1,/10.0.0.100,168,18,1307,1,9
/10.0.0.1,/10.0.0.100,169,18,1664,1,10
/10.0.0.1,/10.0.0.100,169,18,1702,2,10
/10.0.0.1,/10.0.0.100,171,18,1512,1,11
/10.0.0.1,/10.0.0.100,172,18,1312,1,12
/10.0.0.1,/10.0.0.100,172,18,1328,2,12
/10.0.0.1,/10.0.0.100,173,18,1374,1,13
/10.0.0.1,/10.0.0.100,175,18,1294,1,14
/10.0.0.1,/10.0.0.100,175,18,1300,2,14
/10.0.0.1,/10.0.0.100,178,18,683,1,15
/10.0.0.1,/10.0.0.100,180,18,594,1,16
/10.0.0.1,/10.0.0.100,181,18,839,1,17
/10.0.0.1,/10.0.0.100,181,18,903,2,17
/10.0.0.1,/10.0.0.100,182,18,737,1,18
/10.0.0.1,/10.0.0.100,184,18,1161,1,19
/10.0.0.1,/10.0.0.100,187,18,1838,1,20
/10.0.0.1,/10.0.0.100,188,18,2079,1,21
/10.0.0.1,/10.0.0.100,188,18,2108,2,21
/10.0.0.1,/10.0.0.100,189,18,2063,1,22
/10.0.0.1,/10.0.0.100,189,18,2136,2,22
/10.0.0.1,/10.0.0.100,190,18,2068,1,23
/10.0.0.1,/10.0.0.100,190,18,2080,2,23
/10.0.0.1,/10.0.0.100,191,18,1904,1,24
/10.0.0.1,/10.0.0.100,191,18,1955,2,24
/10.0.0.1,/10.0.0.100,192,18,1788,1,25
/10.0.0.1,/10.0.0.100,193,18,1985,1,26
/10.0.0.1,/10.0.0.100,193,18,1987,2,26
/10.0.0.1,/10.0.0.100,194,18,2075,1,27
/10.0.0.1,/10.0.0.100,194,18,2082,2,27
/10.0.0.1,/10.0.0.100,195,18,2114,1,28
/10.0.0.1,/10.0.0.100,195,18,2114,2,28
/10.0.0.1,/10.0.0.100,196,18,1819,1,29
/10.0.0.1,/10.0.0.100,197,18,1695,1,30
/10.0.0.1,/10.0.0.100,198,18,1533,1,31
/10.0.0.1,/10.0.0.100,198,18,1552,2,31
/10.0.0.1,/10.0.0.100,199,18,1453,1,32
/10.0.0.1,/10.0.0.100,200,18,1443,1,33
/10.0.0.1,/10.0.0.100,201,18,1265,1,34
/10.0.0.1,/10.0.0.100,201,18,1274,2,34
/10.0.0.1,/10.0.0.100,202,18,1974,1,35
/10.0.0.1,/10.0.0.100,202,18,1978,2,35
/10.0.0.1,/10.0.0.100,203,18,2101,1,36
/10.0.0.1,/10.0.0.100,203,18,2104,2,36
/10.0.0.1,/10.0.0.100,204,18,2021,1,37
/10.0.0.1,/10.0.0.100,205,18,1869,1,38
/10.0.0.1,/10.0.0.100,205,18,1923,2,38
/10.0.0.1,/10.0.0.100,206,18,1912,1,39
/10.0.0.1,/10.0.0.100,206,18,1915,2,39
/10.0.0.1,/10.0.0.100,207,18,2475,1,40
/10.0.0.1,/10.0.0.100,208,18,2186,1,41
/10.0.0.1,/10.0.0.100,208,18,2214,2,41
/10.0.0.1,/10.0.0.100,209,18,2035,1,42
/10.0.0.1,/10.0.0.100,209,18,2056,2,42
/10.0.0.1,/10.0.0.100,210,18,1986,1,43
/10.0.0.1,/10.0.0.100,211,18,2271,1,44
/10.0.0.1,/10.0.0.100,212,18,1832,1,45
/10.0.0.1,/10.0.0.100,212,18,1911,2,45
/10.0.0.1,/10.0.0.100,213,18,1695,1,46
/10.0.0.1,/10.0.0.100,213,18,1711,2,46
/10.0.0.1,/10.0.0.100,215,18,1501,1,47
/10.0.0.1,/10.0.0.100,217,18,821,1,48
/10.0.0.1,/10.0.0.100,218,18,533,1,49
/10.0.0.1,/10.0.0.100,218,18,536,2,49
/10.0.0.1,/10.0.0.100,219,18,651,1,50
/10.0.0.1,/10.0.0.100,219,18,653,2,50
/10.0.0.1,/10.0.0.100,220,18,773,1,51
/10.0.0.1,/10.0.0.100,221,18,704,1,52
/10.0.0.1,/10.0.0.100,221,18,738,2,52
/10.0.0.1,/10.0.0.100,223,18,1119,1,53
/10.0.0.1,/10.0.0.100,223,18,1122,2,53
/10.0.0.1,/10.0.0.100,225,18,1139,1,54
/10.0.0.1,/10.0.0.100,225,18,1143,2,54
/10.0.0.1,/10.0.0.100,226,18,739,1,55
/10.0.0.1,/10.0.0.100,227,18,1068,1,56
/10.0.0.1,/10.0.0.100,228,18,759,1,57
/10.0.0.1,/10.0.0.100,228,18,820,2,57
/10.0.0.1,/10.0.0.100,229,18,1037,1,58
/10.0.0.1,/10.0.0.100,229,18,1061,2,58
/10.0.0.1,/10.0.0.100,230,18,947,1,59
/10.0.0.1,/10.0.0.100,230,18,950,2,59
/10.0.0.1,/10.0.0.100,232,18,786,1,60
/10.0.0.1,/10.0.0.100,233,18,997,1,61
/10.0.0.1,/10.0.0.100,234,18,1351,1,62
/10.0.0.1,/10.0.0.100,235,18,1544,1,63
/10.0.0.1,/10.0.0.100,235,18,1548,2,63
/10.0.0.1,/10.0.0.100,236,18,1866,1,64
/10.0.0.1,/10.0.0.100,237,18,1868,1,65
/10.0.0.1,/10.0.0.100,237,18,1891,2,65
/10.0.0.1,/10.0.0.100,238,18,1797,1,66
/10.0.0.1,/10.0.0.100,238,18,1958,2,66
/10.0.0.1,/10.0.0.100,239,18,1798,1,67
/10.0.0.1,/10.0.0.100,239,18,1800,2,67
/10.0.0.1,/10.0.0.100,240,18,1683,1,68
/10.0.0.1,/10.0.0.100,240,18,1691,2,68
/10.0.0.1,/10.0.0.100,241,18,1583,1,69
/10.0.0.1,/10.0.0.100,241,18,1590,2,69
/10.0.0.1,/10.0.0.100,242,18,1439,1,70
/10.0.0.1,/10.0.0.100,242,18,1444,2,70
/10.0.0.1,/10.0.0.100,243,18,1504,1,71
/10.0.0.1,/10.0.0.100,243,18,1506,2,71
/10.0.0.1,/10.0.0.100,244,18,1354,1,72
/10.0.0.1,/10.0.0.100,245,18,1074,1,73
/10.0.0.1,/10.0.0.100,245,18,1120,2,73
/10.0.0.1,/10.0.0.100,246,18,1076,1,74
/10.0.0.1,/10.0.0.100,246,18,1263,2,74
/10.0.0.1,/10.0.0.100,248,18,1464,1,75
/10.0.0.1,/10.0.0.100,248,18,1473,2,75
/10.0.0.1,/10.0.0.100,249,18,1310,1,76
/10.0.0.1,/10.0.0.100,251,18,599,1,77
/10.0.0.1,/10.0.0.100,251,18,608,2,77
/10.0.0.1,/10.0.0.100,252,18,903,1,78
/10.0.0.1,/10.0.0.100,252,18,927,2,78
/10.0.0.1,/10.0.0.100,253,18,615,1,79
/10.0.0.1,/10.0.0.100,254,18,610,1,80
/10.0.0.1,/10.0.0.100,255,18,948,1,81
/10.0.0.1,/10.0.0.100,255,18,953,2,81
/10.0.0.1,/10.0.0.100,256,18,1140,1,82
/10.0.0.1,/10.0.0.100,256,18,1147,2,82
/10.0.0.1,/10.0.0.100,257,18,1306,1,83
/10.0.0.1,/10.0.0.100,257,18,1308,2,83
/10.0.0.1,/10.0.0.100,258,18,1060,1,84
/10.0.0.1,/10.0.0.100,258,18,1062,2,84
/10.0.0.1,/10.0.0.100,259,18,868,1,85
/10.0.0.1,/10.0.0.100,259,18,873,2,85
/10.0.0.1,/10.0.0.100,260,18,720,1,86
/10.0.0.1,/10.0.0.100,260,18,800,2,86
/10.0.0.1,/10.0.0.100,263,18,1434,1,87
/10.0.0.1,/10.0.0.100,263,18,1441,2,87
/10.0.0.1,/10.0.0.100,264,18,1377,1,88
/10.0.0.1,/10.0.0.100,265,18,1339,1,89
/10.0.0.1,/10.0.0.100,265,18,1376,2,89
/10.0.0.1,/10.0.0.100,266,18,1102,1,90
/10.0.0.1,/10.0.0.100,266,18,1148,2,90
/10.0.0.1,/10.0.0.100,267,18,1266,1,91
/10.0.0.1,/10.0.0.100,268,18,1429,1,92
/10.0.0.1,/10.0.0.100,268,18,1431,2,92
/10.0.0.1,/10.0.0.100,269,18,1735,1,93
/10.0.0.1,/10.0.0.100,270,18,1877,1,94
/10.0.0.1,/10.0.0.100,270,18,1923,2,94
/10.0.0.1,/10.0.0.100,271,18,1819,1,95
/10.0.0.1,/10.0.0.100,272,18,1440,1,96
/10.0.0.1,/10.0.0.100,272,18,1627,2,96
/10.0.0.1,/10.0.0.100,273,18,1362,1,97
/10.0.0.1,/10.0.0.100,273,18,1383,2,97
