SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,2,18,5247,1,1
/10.0.0.1,/10.0.0.100,2,18,5293,2,1
/10.0.0.1,/10.0.0.100,3,18,5253,1,2
/10.0.0.1,/10.0.0.100,3,18,5290,2,2
/10.0.0.1,/10.0.0.100,4,18,5602,1,3
/10.0.0.1,/10.0.0.100,6,18,4218,1,4
/10.0.0.1,/10.0.0.100,9,18,3957,1,5
/10.0.0.1,/10.0.0.100,10,18,3760,1,6
/10.0.0.1,/10.0.0.100,11,18,4073,1,7
/10.0.0.1,/10.0.0.100,17,18,2209,1,8
/10.0.0.1,/10.0.0.100,17,18,2300,2,8
/10.0.0.1,/10.0.0.100,18,18,1978,1,9
/10.0.0.1,/10.0.0.100,19,18,2354,1,10
/10.0.0.1,/10.0.0.100,20,18,2434,1,11
/10.0.0.1,/10.0.0.100,20,18,2647,2,11
/10.0.0.1,/10.0.0.100,21,18,2419,1,12
/10.0.0.1,/10.0.0.100,22,18,3895,1,13
/10.0.0.1,/10.0.0.100,24,18,2379,1,14
/10.0.0.1,/10.0.0.100,24,18,2404,2,14
/10.0.0.1,/10.0.0.100,26,18,2500,1,15
/10.0.0.1,/10.0.0.100,26,18,2503,2,15
/10.0.0.1,/10.0.0.100,27,18,2490,1,16
/10.0.0.1,/10.0.0.100,27,18,2497,2,16
/10.0.0.1,/10.0.0.100,28,18,2792,1,17
/10.0.0.1,/10.0.0.100,28,18,3772,2,17
/10.0.0.1,/10.0.0.100,29,18,2493,1,18
/10.0.0.1,/10.0.0.100,29,18,2534,2,18
/10.0.0.1,/10.0.0.100,30,18,2527,1,19
/10.0.0.1,/10.0.0.100,30,18,2575,2,19
/10.0.0.1,/10.0.0.100,31,18,2634,1,20
/10.0.0.1,/10.0.0.100,31,18,2660,2,20
/10.0.0.1,/10.0.0.100,33,18,2553,1,21
/10.0.0.1,/10.0.0.100,33,18,2637,2,21
/10.0.0.1,/10.0.0.100,34,18,2423,1,22
/10.0.0.1,/10.0.0.100,34,18,2449,2,22
/10.0.0.1,/10.0.0.100,35,18,2399,1,23
/10.0.0.1,/10.0.0.100,35,18,2486,2,23
/10.0.0.1,/10.0.0.100,36,18,2368,1,24
/10.0.0.1,/10.0.0.100,37,18,2098,1,25
/10.0.0.1,/10.0.0.100,37,18,2117,2,25
/10.0.0.1,/10.0.0.100,38,18,2950,1,26
/10.0.0.1,/10.0.0.100,39,18,1842,1,27
/10.0.0.1,/10.0.0.100,39,18,1860,2,27
/10.0.0.1,/10.0.0.100,40,18,1930,1,28
/10.0.0.1,/10.0.0.100,40,18,1938,2,28
/10.0.0.1,/10.0.0.100,41,18,1843,1,29
/10.0.0.1,/10.0.0.100,43,18,1661,1,30
/10.0.0.1,/10.0.0.100,43,18,1674,2,30
/10.0.0.1,/10.0.0.100,44,18,1686,1,31
/10.0.0.1,/10.0.0.100,45,18,1937,1,32
/10.0.0.1,/10.0.0.100,46,18,1698,1,33
/10.0.0.1,/10.0.0.100,46,18,1709,2,33
/10.0.0.1,/10.0.0.100,49,18,1436,1,34
/10.0.0.1,/10.0.0.100,50,18,1639,1,35
/10.0.0.1,/10.0.0.100,50,18,1665,2,35
/10.0.0.1,/10.0.0.100,51,18,1550,1,36
/10.0.0.1,/10.0.0.100,51,18,1564,2,36
/10.0.0.1,/10.0.0.100,52,18,1485,1,37
/10.0.0.1,/10.0.0.100,52,18,1547,2,37
/10.0.0.1,/10.0.0.100,53,18,1385,1,38
/10.0.0.1,/10.0.0.100,54,18,1360,1,39
/10.0.0.1,/10.0.0.100,55,18,1409,1,40
/10.0.0.1,/10.0.0.100,55,18,1467,2,40
/10.0.0.1,/10.0.0.100,56,18,1782,1,41
/10.0.0.1,/10.0.0.100,56,18,1790,2,41
/10.0.0.1,/10.0.0.100,57,18,1828,1,42
/10.0.0.1,/10.0.0.100,57,18,1841,2,42
/10.0.0.1,/10.0.0.100,58,18,1748,1,43
/10.0.0.1,/10.0.0.100,60,18,1636,1,44
/10.0.0.1,/10.0.0.100,60,18,1645,2,44
/10.0.0.1,/10.0.0.100,61,18,1687,1,45
/10.0.0.1,/10.0.0.100,61,18,1745,2,45
/10.0.0.1,/10.0.0.100,62,18,1480,1,46
/10.0.0.1,/10.0.0.100,63,18,1356,1,47
/10.0.0.1,/10.0.0.100,63,18,1370,2,47
/10.0.0.1,/10.0.0.100,65,18,1215,1,48
/10.0.0.1,/10.0.0.100,65,18,1311,2,48
/10.0.0.1,/10.0.0.100,66,18,1458,1,49
/10.0.0.1,/10.0.0.100,66,18,1468,2,49
/10.0.0.1,/10.0.0.100,67,18,1311,1,50
/10.0.0.1,/10.0.0.100,67,18,1325,2,50
/10.0.0.1,/10.0.0.100,68,18,1452,1,51
/10.0.0.1,/10.0.0.100,68,18,1521,2,51
/10.0.0.1,/10.0.0.100,69,18,1745,1,52
/10.0.0.1,/10.0.0.100,69,18,1770,2,52
/10.0.0.1,/10.0.0.100,70,18,1532,1,53
/10.0.0.1,/10.0.0.100,71,18,1286,1,54
/10.0.0.1,/10.0.0.100,71,18,1366,2,54
/10.0.0.1,/10.0.0.100,72,18,1148,1,55
/10.0.0.1,/10.0.0.100,72,18,1160,2,55
/10.0.0.1,/10.0.0.100,73,18,1199,1,56
/10.0.0.1,/10.0.0.100,73,18,1291,2,56
/10.0.0.1,/10.0.0.100,74,18,1501,1,57
/10.0.0.1,/10.0.0.100,74,18,1513,2,57
/10.0.0.1,/10.0.0.100,75,18,1444,1,58
/10.0.0.1,/10.0.0.100,76,18,1332,1,59
/10.0.0.1,/10.0.0.100,76,18,1349,2,59
/10.0.0.1,/10.0.0.100,77,18,1231,1,60
/10.0.0.1,/10.0.0.100,77,18,1246,2,60
/10.0.0.1,/10.0.0.100,78,18,1339,1,61
/10.0.0.1,/10.0.0.100,78,18,1352,2,61
/10.0.0.1,/10.0.0.100,79,18,1377,1,62
/10.0.0.1,/10.0.0.100,80,18,1248,1,63
/10.0.0.1,/10.0.0.100,81,18,1088,1,64
/10.0.0.1,/10.0.0.100,82,18,1416,1,65
/10.0.0.1,/10.0.0.100,83,18,1088,1,66
/10.0.0.1,/10.0.0.100,83,18,1094,2,66
/10.0.0.1,/10.0.0.100,84,18,897,1,67
/10.0.0.1,/10.0.0.100,84,18,901,2,67
/10.0.0.1,/10.0.0.100,86,18,806,1,68
/10.0.0.1,/10.0.0.100,86,18,832,2,68
/10.0.0.1,/10.0.0.100,87,18,915,1,69
/10.0.0.1,/10.0.0.100,88,18,943,1,70
/10.0.0.1,/10.0.0.100,88,18,951,2,70
/10.0.0.1,/10.0.0.100,90,18,1266,1,71
/10.0.0.1,/10.0.0.100,90,18,1270,2,71
/10.0.0.1,/10.0.0.100,91,18,1262,1,72
/10.0.0.1,/10.0.0.100,93,18,993,1,73
/10.0.0.1,/10.0.0.100,94,18,896,1,74
/10.0.0.1,/10.0.0.100,95,18,1005,1,75
/10.0.0.1,/10.0.0.100,96,18,1047,1,76
/10.0.0.1,/10.0.0.100,96,18,1055,2,76
/10.0.0.1,/10.0.0.100,97,18,844,1,77
/10.0.0.1,/10.0.0.100,98,18,1166,1,78
/10.0.0.1,/10.0.0.100,99,18,1088,1,79
/10.0.0.1,/10.0.0.100,99,18,1096,2,79
/10.0.0.1,/10.0.0.100,100,18,1063,1,80
/10.0.0.1,/10.0.0.100,100,18,1073,2,80
/10.0.0.1,/10.0.0.100,104,18,710,1,81
/10.0.0.1,/10.0.0.100,105,18,953,1,82
/10.0.0.1,/10.0.0.100,105,18,1042,2,82
/10.0.0.1,/10.0.0.100,106,18,1158,1,83
/10.0.0.1,/10.0.0.100,106,18,1166,2,83
/10.0.0.1,/10.0.0.100,107,18,1058,1,84
/10.0.0.1,/10.0.0.100,108,18,981,1,85
/10.0.0.1,/10.0.0.100,109,18,872,1,86
/10.0.0.1,/10.0.0.100,109,18,878,2,86
/10.0.0.1,/10.0.0.100,110,18,765,1,87
/10.0.0.1,/10.0.0.100,110,18,807,2,87
/10.0.0.1,/10.0.0.100,111,18,723,1,88
/10.0.0.1,/10.0.0.100,112,18,583,1,89
/10.0.0.1,/10.0.0.100,114,18,641,1,90
/10.0.0.1,/10.0.0.100,114,18,723,2,90
/10.0.0.1,/10.0.0.100,115,18,653,1,91
/10.0.0.1,/10.0.0.100,116,18,1039,1,92
/10.0.0.1,/10.0.0.100,116,18,1163,2,92
/10.0.0.1,/10.0.0.100,117,18,1089,1,93
/10.0.0.1,/10.0.0.100,117,18,1157,2,93
/10.0.0.1,/10.0.0.100,118,18,963,1,94
/10.0.0.1,/10.0.0.100,119,18,908,1,95
/10.0.0.1,/10.0.0.100,119,18,988,2,95
/10.0.0.1,/10.0.0.100,120,18,1393,1,96
/10.0.0.1,/10.0.0.100,120,18,1412,2,96
/10.0.0.1,/10.0.0.100,122,18,1203,1,97
/10.0.0.1,/10.0.0.100,122,18,1210,2,97
/10.0.0.1,/10.0.0.100,123,18,1148,1,98
/10.0.0.1,/10.0.0.100,124,18,944,1,99
/10.0.0.1,/10.0.0.100,125,18,657,1,100
/10.0.0.1,/10.0.0.100,125,18,673,2,100
/10.0.0.1,/10.0.0.100,126,18,774,1,101
/10.0.0.1,/10.0.0.100,127,18,962,1,102
/10.0.0.1,/10.0.0.100,128,18,863,1,103
/10.0.0.1,/10.0.0.100,129,18,979,1,104
/10.0.0.1,/10.0.0.100,129,18,986,2,104
