SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1114,18,373,1,1
/10.0.0.1,/10.0.0.100,1116,18,415,1,2
/10.0.0.1,/10.0.0.100,1116,18,418,2,2
/10.0.0.1,/10.0.0.100,1117,18,410,1,3
/10.0.0.1,/10.0.0.100,1118,18,368,1,4
/10.0.0.1,/10.0.0.100,1118,18,371,2,4
/10.0.0.1,/10.0.0.100,1119,18,367,1,5
/10.0.0.1,/10.0.0.100,1127,18,459,1,6
/10.0.0.1,/10.0.0.100,1127,18,462,2,6
/10.0.0.1,/10.0.0.100,1128,18,488,1,7
/10.0.0.1,/10.0.0.100,1128,18,490,2,7
/10.0.0.1,/10.0.0.100,1129,18,498,1,8
/10.0.0.1,/10.0.0.100,1131,18,422,1,9
/10.0.0.1,/10.0.0.100,1131,20,431,2,9
/10.0.0.1,/10.0.0.100,1134,18,403,1,10
/10.0.0.1,/10.0.0.100,1134,18,405,2,10
/10.0.0.1,/10.0.0.100,1135,18,422,1,11
/10.0.0.1,/10.0.0.100,1136,18,354,1,12
/10.0.0.1,/10.0.0.100,1141,18,424,1,13
/10.0.0.1,/10.0.0.100,1144,18,328,1,14
/10.0.0.1,/10.0.0.100,1145,18,441,1,15
/10.0.0.1,/10.0.0.100,1152,18,394,1,16
/10.0.0.1,/10.0.0.100,1158,18,332,1,17
/10.0.0.1,/10.0.0.100,1170,18,448,1,18
/10.0.0.1,/10.0.0.100,1172,18,335,1,19
/10.0.0.1,/10.0.0.100,1175,18,382,1,20
/10.0.0.1,/10.0.0.100,1178,18,415,1,21
/10.0.0.1,/10.0.0.100,1178,18,418,2,21
/10.0.0.1,/10.0.0.100,1183,18,348,1,22
/10.0.0.1,/10.0.0.100,1183,20,362,2,22
/10.0.0.1,/10.0.0.100,1186,18,425,1,23
/10.0.0.1,/10.0.0.100,1186,20,497,2,23
/10.0.0.1,/10.0.0.100,1190,18,392,1,24
/10.0.0.1,/10.0.0.100,1191,18,322,1,25
/10.0.0.1,/10.0.0.100,1191,18,331,2,25
/10.0.0.1,/10.0.0.100,1193,18,377,1,26
/10.0.0.1,/10.0.0.100,1195,18,426,1,27
/10.0.0.1,/10.0.0.100,1195,18,494,2,27
