SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,22,18,2873,1,1
/10.0.0.1,/10.0.0.100,53,18,706,1,2
/10.0.0.1,/10.0.0.100,61,18,1911,1,3
/10.0.0.1,/10.0.0.100,82,18,656,1,4
/10.0.0.1,/10.0.0.100,94,18,708,1,5
/10.0.0.1,/10.0.0.100,102,18,801,1,6
/10.0.0.1,/10.0.0.100,141,18,1683,1,7
/10.0.0.1,/10.0.0.100,153,18,611,1,8
/10.0.0.1,/10.0.0.100,156,18,700,1,9
/10.0.0.1,/10.0.0.100,164,18,553,1,10
/10.0.0.1,/10.0.0.100,273,18,749,1,11
/10.0.0.1,/10.0.0.100,282,18,656,1,12
/10.0.0.1,/10.0.0.100,299,18,712,1,13
/10.0.0.1,/10.0.0.100,321,18,526,1,14
/10.0.0.1,/10.0.0.100,324,18,557,1,15
/10.0.0.1,/10.0.0.100,452,18,462,1,16
/10.0.0.1,/10.0.0.100,453,18,456,1,17
/10.0.0.1,/10.0.0.100,478,18,637,1,18
/10.0.0.1,/10.0.0.100,517,18,571,1,19
/10.0.0.1,/10.0.0.100,532,18,442,1,20
/10.0.0.1,/10.0.0.100,573,18,454,1,21
/10.0.0.1,/10.0.0.100,587,18,557,1,22
/10.0.0.1,/10.0.0.100,593,18,484,1,23
/10.0.0.1,/10.0.0.100,663,18,564,1,24
/10.0.0.1,/10.0.0.100,733,18,518,1,25
/10.0.0.1,/10.0.0.100,738,18,465,1,26
/10.0.0.1,/10.0.0.100,764,18,458,1,27
/10.0.0.1,/10.0.0.100,812,18,584,1,28
/10.0.0.1,/10.0.0.100,839,18,507,1,29
/10.0.0.1,/10.0.0.100,850,18,441,1,30
/10.0.0.1,/10.0.0.100,861,18,584,1,31
/10.0.0.1,/10.0.0.100,882,18,472,1,32
/10.0.0.1,/10.0.0.100,882,18,479,2,32
/10.0.0.1,/10.0.0.100,897,18,593,1,33
/10.0.0.1,/10.0.0.100,912,18,508,1,34
/10.0.0.1,/10.0.0.100,927,18,446,1,35
/10.0.0.1,/10.0.0.100,930,18,2499,1,36
/10.0.0.1,/10.0.0.100,968,18,500,1,37
/10.0.0.1,/10.0.0.100,969,18,581,1,38
/10.0.0.1,/10.0.0.100,988,18,527,1,39
