SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.40,1,20,915,1,1
/10.0.0.1,/10.0.0.40,1,20,940,2,1
/10.0.0.1,/10.0.0.40,2,20,533,1,2
/10.0.0.1,/10.0.0.40,2,20,605,2,2
/10.0.0.1,/10.0.0.40,3,20,429,1,3
/10.0.0.1,/10.0.0.40,3,20,500,2,3
/10.0.0.1,/10.0.0.40,4,20,400,1,4
/10.0.0.1,/10.0.0.40,4,20,424,2,4
/10.0.0.1,/10.0.0.40,5,20,343,1,5
/10.0.0.1,/10.0.0.40,5,20,598,2,5
/10.0.0.1,/10.0.0.40,6,20,380,1,6
/10.0.0.1,/10.0.0.40,6,20,677,2,6
/10.0.0.1,/10.0.0.40,7,20,401,1,7
/10.0.0.1,/10.0.0.40,7,20,437,2,7
/10.0.0.1,/10.0.0.40,8,20,262,1,8
/10.0.0.1,/10.0.0.40,8,20,283,2,8
/10.0.0.1,/10.0.0.40,9,20,369,1,9
/10.0.0.1,/10.0.0.40,9,20,483,2,9
/10.0.0.1,/10.0.0.40,10,20,274,1,10
/10.0.0.1,/10.0.0.40,10,20,278,2,10
/10.0.0.1,/10.0.0.40,11,20,209,1,11
/10.0.0.1,/10.0.0.40,12,20,206,1,12
/10.0.0.1,/10.0.0.40,12,20,214,2,12
/10.0.0.1,/10.0.0.40,13,20,233,1,13
/10.0.0.1,/10.0.0.40,13,20,242,2,13
/10.0.0.1,/10.0.0.40,14,20,319,1,14
/10.0.0.1,/10.0.0.40,14,20,343,2,14
/10.0.0.1,/10.0.0.40,15,20,332,1,15
/10.0.0.1,/10.0.0.40,15,20,345,2,15
/10.0.0.1,/10.0.0.40,16,20,215,1,16
/10.0.0.1,/10.0.0.40,16,20,217,2,16
/10.0.0.1,/10.0.0.40,17,20,227,1,17
/10.0.0.1,/10.0.0.40,17,20,232,2,17
/10.0.0.1,/10.0.0.40,18,20,250,1,18
/10.0.0.1,/10.0.0.40,18,20,252,2,18
/10.0.0.1,/10.0.0.40,19,20,216,1,19
/10.0.0.1,/10.0.0.40,19,20,222,2,19
/10.0.0.1,/10.0.0.40,20,20,244,1,20
/10.0.0.1,/10.0.0.40,21,20,290,1,21
/10.0.0.1,/10.0.0.40,21,20,315,2,21
/10.0.0.1,/10.0.0.40,22,20,449,1,22
/10.0.0.1,/10.0.0.40,23,20,247,1,23
/10.0.0.1,/10.0.0.40,23,20,252,2,23
/10.0.0.1,/10.0.0.40,24,20,226,1,24
/10.0.0.1,/10.0.0.40,25,20,307,1,25
/10.0.0.1,/10.0.0.40,25,20,357,2,25
/10.0.0.1,/10.0.0.40,26,20,204,1,26
/10.0.0.1,/10.0.0.40,27,20,451,1,27
/10.0.0.1,/10.0.0.40,27,22,459,2,27
/10.0.0.1,/10.0.0.40,28,20,221,1,28
/10.0.0.1,/10.0.0.40,28,20,223,2,28
/10.0.0.1,/10.0.0.40,29,20,275,1,29
/10.0.0.1,/10.0.0.40,29,20,277,2,29
/10.0.0.1,/10.0.0.40,30,20,204,1,30
/10.0.0.1,/10.0.0.40,30,20,208,2,30
/10.0.0.1,/10.0.0.40,31,20,289,1,31
/10.0.0.1,/10.0.0.40,31,20,301,2,31
/10.0.0.1,/10.0.0.40,32,20,246,1,32
/10.0.0.1,/10.0.0.40,32,20,257,2,32
/10.0.0.1,/10.0.0.40,33,20,187,1,33
/10.0.0.1,/10.0.0.40,33,20,215,2,33
/10.0.0.1,/10.0.0.40,34,20,208,1,34
