SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.25,1,1,59,1,1
/10.0.0.1,/10.0.0.25,1,2,62,2,1
/10.0.0.1,/10.0.0.25,1,2,70,3,1
/10.0.0.1,/10.0.0.25,1,2,70,4,1
/10.0.0.1,/10.0.0.25,1,2,71,5,1
/10.0.0.1,/10.0.0.25,1,2,71,6,1
/10.0.0.1,/10.0.0.25,1,2,71,7,1
/10.0.0.1,/10.0.0.25,1,2,71,8,1
/10.0.0.1,/10.0.0.25,1,2,72,9,1
/10.0.0.1,/10.0.0.25,1,2,1076,10,1
/10.0.0.1,/10.0.0.25,1,2,1076,11,1
/10.0.0.1,/10.0.0.25,1,2,1077,12,1
/10.0.0.1,/10.0.0.25,1,2,2088,13,1
/10.0.0.1,/10.0.0.25,1,2,2210,14,1
/10.0.0.1,/10.0.0.25,1,2,2211,15,1
/10.0.0.1,/10.0.0.25,1,2,2211,16,1
/10.0.0.1,/10.0.0.25,1,2,2214,17,1
/10.0.0.1,/10.0.0.25,1,2,2215,18,1
/10.0.0.1,/10.0.0.25,2,2,1079,1,2
/10.0.0.1,/10.0.0.25,2,2,2202,2,2
/10.0.0.1,/10.0.0.25,3,1,161,1,3
/10.0.0.1,/10.0.0.25,5,1,129,1,4
/10.0.0.1,/10.0.0.25,5,2,155,2,4
/10.0.0.1,/10.0.0.25,5,2,197,3,4
/10.0.0.1,/10.0.0.25,5,2,200,4,4
/10.0.0.1,/10.0.0.25,5,2,200,5,4
/10.0.0.1,/10.0.0.25,5,2,265,6,4
/10.0.0.1,/10.0.0.25,5,2,265,7,4
/10.0.0.1,/10.0.0.25,5,2,313,8,4
/10.0.0.1,/10.0.0.25,5,2,381,9,4
/10.0.0.1,/10.0.0.25,5,2,381,10,4
/10.0.0.1,/10.0.0.25,6,1,41,1,5
/10.0.0.1,/10.0.0.25,6,2,149,2,5
/10.0.0.1,/10.0.0.25,6,2,206,3,5
/10.0.0.1,/10.0.0.25,6,2,283,4,5
/10.0.0.1,/10.0.0.25,6,2,283,5,5
/10.0.0.1,/10.0.0.25,7,1,29,1,6
/10.0.0.1,/10.0.0.25,7,2,134,2,6
/10.0.0.1,/10.0.0.25,7,2,134,3,6
/10.0.0.1,/10.0.0.25,7,2,134,4,6
/10.0.0.1,/10.0.0.25,7,2,134,5,6
/10.0.0.1,/10.0.0.25,7,2,142,6,6
/10.0.0.1,/10.0.0.25,7,2,166,7,6
/10.0.0.1,/10.0.0.25,7,2,166,8,6
/10.0.0.1,/10.0.0.25,7,2,167,9,6
/10.0.0.1,/10.0.0.25,7,2,266,10,6
/10.0.0.1,/10.0.0.25,7,2,266,11,6
/10.0.0.1,/10.0.0.25,7,2,266,12,6
/10.0.0.1,/10.0.0.25,8,1,16,1,7
/10.0.0.1,/10.0.0.25,8,2,41,2,7
/10.0.0.1,/10.0.0.25,8,2,46,3,7
/10.0.0.1,/10.0.0.25,8,2,70,4,7
/10.0.0.1,/10.0.0.25,8,2,71,5,7
/10.0.0.1,/10.0.0.25,8,2,71,6,7
/10.0.0.1,/10.0.0.25,8,2,71,7,7
/10.0.0.1,/10.0.0.25,8,2,138,8,7
/10.0.0.1,/10.0.0.25,8,2,154,9,7
/10.0.0.1,/10.0.0.25,8,2,154,10,7
/10.0.0.1,/10.0.0.25,8,2,158,11,7
/10.0.0.1,/10.0.0.25,8,2,178,12,7
/10.0.0.1,/10.0.0.25,8,2,179,13,7
/10.0.0.1,/10.0.0.25,9,1,20,1,8
/10.0.0.1,/10.0.0.25,9,2,33,2,8
/10.0.0.1,/10.0.0.25,9,2,142,3,8
/10.0.0.1,/10.0.0.25,9,2,1164,4,8
/10.0.0.1,/10.0.0.25,9,2,1165,5,8
/10.0.0.1,/10.0.0.25,9,2,1166,6,8
/10.0.0.1,/10.0.0.25,9,2,2180,7,8
/10.0.0.1,/10.0.0.25,10,1,18,1,9
/10.0.0.1,/10.0.0.25,10,2,33,2,9
/10.0.0.1,/10.0.0.25,10,2,137,3,9
/10.0.0.1,/10.0.0.25,10,2,137,4,9
/10.0.0.1,/10.0.0.25,10,2,139,5,9
/10.0.0.1,/10.0.0.25,10,2,248,6,9
/10.0.0.1,/10.0.0.25,10,2,248,7,9
/10.0.0.1,/10.0.0.25,11,1,29,1,10
/10.0.0.1,/10.0.0.25,11,2,40,2,10
/10.0.0.1,/10.0.0.25,11,2,40,3,10
/10.0.0.1,/10.0.0.25,11,2,40,4,10
/10.0.0.1,/10.0.0.25,11,2,41,5,10
/10.0.0.1,/10.0.0.25,11,2,41,6,10
/10.0.0.1,/10.0.0.25,11,2,48,7,10
/10.0.0.1,/10.0.0.25,11,2,137,8,10
/10.0.0.1,/10.0.0.25,11,2,145,9,10
/10.0.0.1,/10.0.0.25,11,2,145,10,10
/10.0.0.1,/10.0.0.25,11,2,145,11,10
/10.0.0.1,/10.0.0.25,11,2,159,12,10
/10.0.0.1,/10.0.0.25,11,2,245,13,10
/10.0.0.1,/10.0.0.25,11,2,245,14,10
/10.0.0.1,/10.0.0.25,11,2,252,15,10
/10.0.0.1,/10.0.0.25,12,1,40,1,11
/10.0.0.1,/10.0.0.25,12,2,42,2,11
/10.0.0.1,/10.0.0.25,12,2,43,3,11
/10.0.0.1,/10.0.0.25,12,2,153,4,11
/10.0.0.1,/10.0.0.25,13,1,35,1,12
/10.0.0.1,/10.0.0.25,13,2,53,2,12
