SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,1,12,126,1,1
/10.0.0.1,/10.0.0.49,1,12,131,2,1
/10.0.0.1,/10.0.0.49,2,12,144,1,2
/10.0.0.1,/10.0.0.49,2,12,144,2,2
/10.0.0.1,/10.0.0.49,3,12,137,1,3
/10.0.0.1,/10.0.0.49,3,12,137,2,3
/10.0.0.1,/10.0.0.49,4,12,139,1,4
/10.0.0.1,/10.0.0.49,4,12,139,2,4
/10.0.0.1,/10.0.0.49,5,12,160,1,5
/10.0.0.1,/10.0.0.49,5,12,161,2,5
/10.0.0.1,/10.0.0.49,6,12,186,1,6
/10.0.0.1,/10.0.0.49,6,12,186,2,6
/10.0.0.1,/10.0.0.49,7,12,172,1,7
/10.0.0.1,/10.0.0.49,7,12,172,2,7
/10.0.0.1,/10.0.0.49,8,12,180,1,8
/10.0.0.1,/10.0.0.49,8,12,180,2,8
/10.0.0.1,/10.0.0.49,9,12,183,1,9
/10.0.0.1,/10.0.0.49,9,12,183,2,9
/10.0.0.1,/10.0.0.49,10,12,119,1,10
/10.0.0.1,/10.0.0.49,10,12,120,2,10
/10.0.0.1,/10.0.0.49,11,12,193,1,11
/10.0.0.1,/10.0.0.49,11,12,193,2,11
/10.0.0.1,/10.0.0.49,12,12,115,1,12
/10.0.0.1,/10.0.0.49,12,12,116,2,12
/10.0.0.1,/10.0.0.49,13,12,132,1,13
/10.0.0.1,/10.0.0.49,13,12,132,2,13
/10.0.0.1,/10.0.0.49,14,12,141,1,14
/10.0.0.1,/10.0.0.49,14,12,141,2,14
/10.0.0.1,/10.0.0.49,15,12,150,1,15
/10.0.0.1,/10.0.0.49,15,12,150,2,15
/10.0.0.1,/10.0.0.49,16,12,159,1,16
/10.0.0.1,/10.0.0.49,16,12,159,2,16
/10.0.0.1,/10.0.0.49,17,12,164,1,17
/10.0.0.1,/10.0.0.49,17,12,164,2,17
/10.0.0.1,/10.0.0.49,18,12,181,1,18
/10.0.0.1,/10.0.0.49,18,12,181,2,18
/10.0.0.1,/10.0.0.49,19,12,190,1,19
