SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1,50,4516,1,1
/10.0.0.1,/10.0.0.100,1,50,6466,2,1
/10.0.0.1,/10.0.0.100,2,50,4031,1,2
/10.0.0.1,/10.0.0.100,4,50,4087,1,3
/10.0.0.1,/10.0.0.100,6,50,3897,1,4
/10.0.0.1,/10.0.0.100,9,52,3476,1,5
/10.0.0.1,/10.0.0.100,11,50,2788,1,6
/10.0.0.1,/10.0.0.100,14,50,2101,1,7
/10.0.0.1,/10.0.0.100,14,50,2111,2,7
/10.0.0.1,/10.0.0.100,18,50,1760,1,8
/10.0.0.1,/10.0.0.100,18,52,1864,2,8
/10.0.0.1,/10.0.0.100,19,50,1863,1,9
/10.0.0.1,/10.0.0.100,20,50,1974,1,10
/10.0.0.1,/10.0.0.100,20,52,2070,2,10
/10.0.0.1,/10.0.0.100,21,52,2073,1,11
/10.0.0.1,/10.0.0.100,21,52,2077,2,11
/10.0.0.1,/10.0.0.100,23,50,1482,1,12
/10.0.0.1,/10.0.0.100,23,52,1484,2,12
/10.0.0.1,/10.0.0.100,26,50,1401,1,13
/10.0.0.1,/10.0.0.100,27,50,1738,1,14
/10.0.0.1,/10.0.0.100,27,50,1746,2,14
/10.0.0.1,/10.0.0.100,28,50,1957,1,15
/10.0.0.1,/10.0.0.100,28,50,1968,2,15
/10.0.0.1,/10.0.0.100,29,52,1872,1,16
/10.0.0.1,/10.0.0.100,32,50,1597,1,17
/10.0.0.1,/10.0.0.100,38,50,1262,1,18
/10.0.0.1,/10.0.0.100,38,50,1264,2,18
/10.0.0.1,/10.0.0.100,44,50,1752,1,19
/10.0.0.1,/10.0.0.100,54,50,1217,1,20
/10.0.0.1,/10.0.0.100,54,50,1239,2,20
/10.0.0.1,/10.0.0.100,56,50,1034,1,21
/10.0.0.1,/10.0.0.100,58,50,1072,1,22
/10.0.0.1,/10.0.0.100,58,50,1081,2,22
/10.0.0.1,/10.0.0.100,59,50,1073,1,23
/10.0.0.1,/10.0.0.100,59,50,1089,2,23
/10.0.0.1,/10.0.0.100,79,50,866,1,24
/10.0.0.1,/10.0.0.100,85,50,944,1,25
/10.0.0.1,/10.0.0.100,91,50,904,1,26
/10.0.0.1,/10.0.0.100,91,50,906,2,26
/10.0.0.1,/10.0.0.100,96,52,873,1,27
/10.0.0.1,/10.0.0.100,97,50,986,1,28
/10.0.0.1,/10.0.0.100,97,50,995,2,28
/10.0.0.1,/10.0.0.100,100,50,1228,1,29
/10.0.0.1,/10.0.0.100,100,50,1237,2,29
/10.0.0.1,/10.0.0.100,101,50,1436,1,30
/10.0.0.1,/10.0.0.100,105,50,856,1,31
/10.0.0.1,/10.0.0.100,107,50,687,1,32
/10.0.0.1,/10.0.0.100,113,50,964,1,33
/10.0.0.1,/10.0.0.100,115,52,692,1,34
/10.0.0.1,/10.0.0.100,119,50,1411,1,35
/10.0.0.1,/10.0.0.100,125,50,902,1,36
/10.0.0.1,/10.0.0.100,125,52,980,2,36
/10.0.0.1,/10.0.0.100,138,50,719,1,37
/10.0.0.1,/10.0.0.100,140,50,942,1,38
/10.0.0.1,/10.0.0.100,141,50,1177,1,39
/10.0.0.1,/10.0.0.100,141,50,1177,2,39
/10.0.0.1,/10.0.0.100,144,50,581,1,40
/10.0.0.1,/10.0.0.100,145,50,710,1,41
/10.0.0.1,/10.0.0.100,147,50,914,1,42
/10.0.0.1,/10.0.0.100,147,52,921,2,42
/10.0.0.1,/10.0.0.100,150,50,965,1,43
/10.0.0.1,/10.0.0.100,150,50,970,2,43
/10.0.0.1,/10.0.0.100,151,50,1187,1,44
/10.0.0.1,/10.0.0.100,151,50,1187,2,44
/10.0.0.1,/10.0.0.100,156,50,834,1,45
/10.0.0.1,/10.0.0.100,156,50,837,2,45
/10.0.0.1,/10.0.0.100,159,50,528,1,46
/10.0.0.1,/10.0.0.100,159,50,535,2,46
/10.0.0.1,/10.0.0.100,176,50,930,1,47
/10.0.0.1,/10.0.0.100,176,50,930,2,47
/10.0.0.1,/10.0.0.100,188,50,870,1,48
/10.0.0.1,/10.0.0.100,195,50,942,1,49
/10.0.0.1,/10.0.0.100,195,52,942,2,49
/10.0.0.1,/10.0.0.100,196,50,1176,1,50
/10.0.0.1,/10.0.0.100,204,50,934,1,51
/10.0.0.1,/10.0.0.100,213,52,936,1,52
/10.0.0.1,/10.0.0.100,224,50,848,1,53
/10.0.0.1,/10.0.0.100,228,50,599,1,54
/10.0.0.1,/10.0.0.100,233,52,1005,1,55
/10.0.0.1,/10.0.0.100,244,50,988,1,56
/10.0.0.1,/10.0.0.100,244,50,988,2,56
/10.0.0.1,/10.0.0.100,245,50,672,1,57
/10.0.0.1,/10.0.0.100,250,50,951,1,58
/10.0.0.1,/10.0.0.100,251,50,1064,1,59
/10.0.0.1,/10.0.0.100,251,50,1149,2,59
/10.0.0.1,/10.0.0.100,253,50,1298,1,60
/10.0.0.1,/10.0.0.100,253,52,1298,2,60
/10.0.0.1,/10.0.0.100,258,50,725,1,61
/10.0.0.1,/10.0.0.100,258,50,736,2,61
/10.0.0.1,/10.0.0.100,259,52,1150,1,62
/10.0.0.1,/10.0.0.100,263,50,894,1,63
/10.0.0.1,/10.0.0.100,266,50,940,1,64
/10.0.0.1,/10.0.0.100,267,50,1057,1,65
/10.0.0.1,/10.0.0.100,267,50,1058,2,65
/10.0.0.1,/10.0.0.100,272,50,793,1,66
/10.0.0.1,/10.0.0.100,276,52,742,1,67
/10.0.0.1,/10.0.0.100,280,52,975,1,68
/10.0.0.1,/10.0.0.100,280,52,998,2,68
/10.0.0.1,/10.0.0.100,285,50,1043,1,69
/10.0.0.1,/10.0.0.100,287,52,1161,1,70
/10.0.0.1,/10.0.0.100,288,50,1174,1,71
