SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.40,1,20,1075,1,1
/10.0.0.1,/10.0.0.40,1,20,1336,2,1
/10.0.0.1,/10.0.0.40,2,20,760,1,2
/10.0.0.1,/10.0.0.40,2,20,916,2,2
/10.0.0.1,/10.0.0.40,3,20,732,1,3
/10.0.0.1,/10.0.0.40,4,20,689,1,4
/10.0.0.1,/10.0.0.40,4,20,845,2,4
/10.0.0.1,/10.0.0.40,5,20,686,1,5
/10.0.0.1,/10.0.0.40,5,20,854,2,5
/10.0.0.1,/10.0.0.40,6,20,658,1,6
/10.0.0.1,/10.0.0.40,6,20,811,2,6
/10.0.0.1,/10.0.0.40,7,20,750,1,7
/10.0.0.1,/10.0.0.40,7,20,904,2,7
/10.0.0.1,/10.0.0.40,8,20,686,1,8
/10.0.0.1,/10.0.0.40,8,20,847,2,8
/10.0.0.1,/10.0.0.40,9,20,710,1,9
/10.0.0.1,/10.0.0.40,9,20,859,2,9
/10.0.0.1,/10.0.0.40,10,20,685,1,10
/10.0.0.1,/10.0.0.40,10,20,837,2,10
/10.0.0.1,/10.0.0.40,11,20,689,1,11
/10.0.0.1,/10.0.0.40,11,20,858,2,11
/10.0.0.1,/10.0.0.40,12,20,704,1,12
/10.0.0.1,/10.0.0.40,12,20,878,2,12
/10.0.0.1,/10.0.0.40,13,20,720,1,13
/10.0.0.1,/10.0.0.40,13,22,885,2,13
/10.0.0.1,/10.0.0.40,14,20,673,1,14
/10.0.0.1,/10.0.0.40,14,20,824,2,14
/10.0.0.1,/10.0.0.40,15,20,652,1,15
/10.0.0.1,/10.0.0.40,15,20,802,2,15
/10.0.0.1,/10.0.0.40,16,20,670,1,16
/10.0.0.1,/10.0.0.40,16,20,819,2,16
/10.0.0.1,/10.0.0.40,17,20,643,1,17
/10.0.0.1,/10.0.0.40,17,20,793,2,17
/10.0.0.1,/10.0.0.40,18,20,656,1,18
/10.0.0.1,/10.0.0.40,18,20,808,2,18
/10.0.0.1,/10.0.0.40,19,20,635,1,19
/10.0.0.1,/10.0.0.40,19,20,786,2,19
/10.0.0.1,/10.0.0.40,20,20,613,1,20
/10.0.0.1,/10.0.0.40,20,20,791,2,20
/10.0.0.1,/10.0.0.40,21,20,681,1,21
/10.0.0.1,/10.0.0.40,22,20,686,1,22
/10.0.0.1,/10.0.0.40,22,20,838,2,22
/10.0.0.1,/10.0.0.40,23,20,675,1,23
/10.0.0.1,/10.0.0.40,23,20,826,2,23
/10.0.0.1,/10.0.0.40,24,20,680,1,24
/10.0.0.1,/10.0.0.40,24,20,829,2,24
/10.0.0.1,/10.0.0.40,25,20,681,1,25
/10.0.0.1,/10.0.0.40,25,20,829,2,25
/10.0.0.1,/10.0.0.40,26,20,621,1,26
/10.0.0.1,/10.0.0.40,26,20,774,2,26
/10.0.0.1,/10.0.0.40,27,20,641,1,27
/10.0.0.1,/10.0.0.40,27,20,790,2,27
/10.0.0.1,/10.0.0.40,28,20,659,1,28
/10.0.0.1,/10.0.0.40,28,20,806,2,28
/10.0.0.1,/10.0.0.40,29,20,720,1,29
/10.0.0.1,/10.0.0.40,29,20,866,2,29
/10.0.0.1,/10.0.0.40,30,20,601,1,30
/10.0.0.1,/10.0.0.40,30,20,773,2,30
/10.0.0.1,/10.0.0.40,31,20,656,1,31
/10.0.0.1,/10.0.0.40,31,20,804,2,31
/10.0.0.1,/10.0.0.40,32,20,638,1,32
/10.0.0.1,/10.0.0.40,32,20,809,2,32
/10.0.0.1,/10.0.0.40,33,20,657,1,33
/10.0.0.1,/10.0.0.40,33,20,812,2,33
/10.0.0.1,/10.0.0.40,34,20,674,1,34
/10.0.0.1,/10.0.0.40,34,20,823,2,34
/10.0.0.1,/10.0.0.40,35,20,635,1,35
/10.0.0.1,/10.0.0.40,35,20,787,2,35
/10.0.0.1,/10.0.0.40,36,20,613,1,36
/10.0.0.1,/10.0.0.40,36,20,789,2,36
/10.0.0.1,/10.0.0.40,37,20,627,1,37
/10.0.0.1,/10.0.0.40,37,20,778,2,37
/10.0.0.1,/10.0.0.40,38,20,652,1,38
/10.0.0.1,/10.0.0.40,38,20,799,2,38
/10.0.0.1,/10.0.0.40,39,20,661,1,39
/10.0.0.1,/10.0.0.40,39,20,807,2,39
/10.0.0.1,/10.0.0.40,40,20,650,1,40
/10.0.0.1,/10.0.0.40,40,20,800,2,40
/10.0.0.1,/10.0.0.40,41,20,612,1,41
/10.0.0.1,/10.0.0.40,41,20,772,2,41
/10.0.0.1,/10.0.0.40,42,20,615,1,42
/10.0.0.1,/10.0.0.40,42,20,789,2,42
/10.0.0.1,/10.0.0.40,43,20,641,1,43
/10.0.0.1,/10.0.0.40,43,20,796,2,43
