SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,4,50,17895,1,1
/10.0.0.1,/10.0.0.100,7,50,16834,1,2
/10.0.0.1,/10.0.0.100,8,50,16777,1,3
/10.0.0.1,/10.0.0.100,9,50,16765,1,4
/10.0.0.1,/10.0.0.100,9,52,17253,2,4
/10.0.0.1,/10.0.0.100,10,50,17621,1,5
/10.0.0.1,/10.0.0.100,11,50,16646,1,6
/10.0.0.1,/10.0.0.100,11,50,19040,2,6
/10.0.0.1,/10.0.0.100,12,52,17031,1,7
/10.0.0.1,/10.0.0.100,13,52,16987,1,8
/10.0.0.1,/10.0.0.100,14,50,17973,1,9
/10.0.0.1,/10.0.0.100,16,50,15923,1,10
/10.0.0.1,/10.0.0.100,16,52,17476,2,10
/10.0.0.1,/10.0.0.100,17,52,17501,1,11
/10.0.0.1,/10.0.0.100,17,52,17973,2,11
/10.0.0.1,/10.0.0.100,18,50,17910,1,12
/10.0.0.1,/10.0.0.100,19,50,17840,1,13
/10.0.0.1,/10.0.0.100,21,50,17989,1,14
/10.0.0.1,/10.0.0.100,23,50,19230,1,15
/10.0.0.1,/10.0.0.100,24,50,19212,1,16
/10.0.0.1,/10.0.0.100,25,50,19508,1,17
/10.0.0.1,/10.0.0.100,25,52,20256,2,17
/10.0.0.1,/10.0.0.100,29,50,21558,1,18
/10.0.0.1,/10.0.0.100,29,50,22054,2,18
/10.0.0.1,/10.0.0.100,30,50,21980,1,19
/10.0.0.1,/10.0.0.100,30,52,22454,2,19
/10.0.0.1,/10.0.0.100,31,50,22494,1,20
/10.0.0.1,/10.0.0.100,33,50,22970,1,21
/10.0.0.1,/10.0.0.100,33,50,23456,2,21
/10.0.0.1,/10.0.0.100,34,52,24561,1,22
/10.0.0.1,/10.0.0.100,35,50,24463,1,23
/10.0.0.1,/10.0.0.100,35,50,24963,2,23
/10.0.0.1,/10.0.0.100,36,50,24913,1,24
/10.0.0.1,/10.0.0.100,36,50,25424,2,24
/10.0.0.1,/10.0.0.100,37,50,25388,1,25
/10.0.0.1,/10.0.0.100,38,50,25333,1,26
/10.0.0.1,/10.0.0.100,38,50,25795,2,26
/10.0.0.1,/10.0.0.100,40,50,25243,1,27
/10.0.0.1,/10.0.0.100,40,52,26307,2,27
/10.0.0.1,/10.0.0.100,43,52,27944,1,28
/10.0.0.1,/10.0.0.100,43,52,28441,2,28
/10.0.0.1,/10.0.0.100,44,50,26358,1,29
/10.0.0.1,/10.0.0.100,45,50,26371,1,30
/10.0.0.1,/10.0.0.100,46,50,27318,1,31
/10.0.0.1,/10.0.0.100,52,52,27876,1,32
/10.0.0.1,/10.0.0.100,53,50,27863,1,33
/10.0.0.1,/10.0.0.100,54,50,27894,1,34
/10.0.0.1,/10.0.0.100,54,50,28339,2,34
/10.0.0.1,/10.0.0.100,57,52,28294,1,35
/10.0.0.1,/10.0.0.100,58,52,28278,1,36
/10.0.0.1,/10.0.0.100,59,50,28379,1,37
/10.0.0.1,/10.0.0.100,59,52,29070,2,37
/10.0.0.1,/10.0.0.100,61,50,28485,1,38
/10.0.0.1,/10.0.0.100,61,50,28944,2,38
/10.0.0.1,/10.0.0.100,62,50,28911,1,39
/10.0.0.1,/10.0.0.100,62,50,29432,2,39
/10.0.0.1,/10.0.0.100,63,52,29397,1,40
