SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.25,1,8,1443,1,1
/10.0.0.1,/10.0.0.25,3,8,344,1,2
/10.0.0.1,/10.0.0.25,3,8,422,2,2
/10.0.0.1,/10.0.0.25,4,8,2392,1,3
/10.0.0.1,/10.0.0.25,5,8,300,1,4
/10.0.0.1,/10.0.0.25,5,8,371,2,4
/10.0.0.1,/10.0.0.25,7,8,357,1,5
/10.0.0.1,/10.0.0.25,7,8,426,2,5
/10.0.0.1,/10.0.0.25,9,8,413,1,6
/10.0.0.1,/10.0.0.25,9,8,1351,2,6
/10.0.0.1,/10.0.0.25,10,8,2388,1,7
/10.0.0.1,/10.0.0.25,12,8,307,1,8
/10.0.0.1,/10.0.0.25,12,8,450,2,8
/10.0.0.1,/10.0.0.25,13,8,306,1,9
/10.0.0.1,/10.0.0.25,14,8,357,1,10
/10.0.0.1,/10.0.0.25,15,8,328,1,11
/10.0.0.1,/10.0.0.25,15,8,396,2,11
/10.0.0.1,/10.0.0.25,17,8,290,1,12
/10.0.0.1,/10.0.0.25,17,8,357,2,12
/10.0.0.1,/10.0.0.25,18,8,348,1,13
/10.0.0.1,/10.0.0.25,20,8,275,1,14
/10.0.0.1,/10.0.0.25,21,8,385,1,15
/10.0.0.1,/10.0.0.25,23,8,325,1,16
/10.0.0.1,/10.0.0.25,24,8,321,1,17
/10.0.0.1,/10.0.0.25,24,8,428,2,17
/10.0.0.1,/10.0.0.25,25,8,339,1,18
/10.0.0.1,/10.0.0.25,25,8,417,2,18
/10.0.0.1,/10.0.0.25,26,8,296,1,19
/10.0.0.1,/10.0.0.25,26,8,364,2,19
/10.0.0.1,/10.0.0.25,27,8,320,1,20
/10.0.0.1,/10.0.0.25,29,8,295,1,21
/10.0.0.1,/10.0.0.25,29,8,361,2,21
/10.0.0.1,/10.0.0.25,30,8,317,1,22
/10.0.0.1,/10.0.0.25,30,8,383,2,22
/10.0.0.1,/10.0.0.25,32,8,282,1,23
/10.0.0.1,/10.0.0.25,32,8,355,2,23
/10.0.0.1,/10.0.0.25,33,8,287,1,24
/10.0.0.1,/10.0.0.25,34,8,281,1,25
/10.0.0.1,/10.0.0.25,36,8,309,1,26
/10.0.0.1,/10.0.0.25,37,8,359,1,27
/10.0.0.1,/10.0.0.25,38,8,290,1,28
/10.0.0.1,/10.0.0.25,39,8,350,1,29
/10.0.0.1,/10.0.0.25,40,8,314,1,30
/10.0.0.1,/10.0.0.25,43,8,372,1,31
/10.0.0.1,/10.0.0.25,44,8,368,1,32
/10.0.0.1,/10.0.0.25,44,8,1480,2,32
/10.0.0.1,/10.0.0.25,47,8,282,1,33
/10.0.0.1,/10.0.0.25,47,8,349,2,33
/10.0.0.1,/10.0.0.25,49,8,281,1,34
/10.0.0.1,/10.0.0.25,49,8,347,2,34
/10.0.0.1,/10.0.0.25,50,8,296,1,35
/10.0.0.1,/10.0.0.25,50,8,363,2,35
/10.0.0.1,/10.0.0.25,52,8,278,1,36
/10.0.0.1,/10.0.0.25,54,8,298,1,37
/10.0.0.1,/10.0.0.25,56,8,300,1,38
/10.0.0.1,/10.0.0.25,57,8,278,1,39
/10.0.0.1,/10.0.0.25,58,8,288,1,40
/10.0.0.1,/10.0.0.25,59,8,272,1,41
/10.0.0.1,/10.0.0.25,62,8,295,1,42
/10.0.0.1,/10.0.0.25,62,8,364,2,42
/10.0.0.1,/10.0.0.25,63,8,281,1,43
