SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.80,1001,42,7323,1,1
/10.0.0.1,/10.0.0.80,1004,40,25970,1,2
/10.0.0.1,/10.0.0.80,1004,40,25974,2,2
/10.0.0.1,/10.0.0.80,1006,40,46446,1,3
/10.0.0.1,/10.0.0.80,1007,40,53831,1,4
/10.0.0.1,/10.0.0.80,1008,40,63759,1,5
/10.0.0.1,/10.0.0.80,1008,42,71597,2,5
/10.0.0.1,/10.0.0.80,1011,40,88878,1,6
/10.0.0.1,/10.0.0.80,1013,42,120083,1,7
/10.0.0.1,/10.0.0.80,1016,40,131778,1,8
/10.0.0.1,/10.0.0.80,1016,42,147429,2,8
/10.0.0.1,/10.0.0.80,1017,40,136598,1,9
/10.0.0.1,/10.0.0.80,1018,40,144508,1,10
/10.0.0.1,/10.0.0.80,1018,40,144518,2,10
/10.0.0.1,/10.0.0.80,1020,40,159517,1,11
/10.0.0.1,/10.0.0.80,1021,40,165304,1,12
/10.0.0.1,/10.0.0.80,1027,42,232800,1,13
/10.0.0.1,/10.0.0.80,1029,42,250506,1,14
/10.0.0.1,/10.0.0.80,1033,40,248359,1,15
/10.0.0.1,/10.0.0.80,1033,42,280565,2,15
/10.0.0.1,/10.0.0.80,1037,40,272901,1,16
/10.0.0.1,/10.0.0.80,1037,40,275106,2,16
/10.0.0.1,/10.0.0.80,1042,40,305500,1,17
/10.0.0.1,/10.0.0.80,1043,40,312494,1,18
/10.0.0.1,/10.0.0.80,1050,40,354151,1,19
/10.0.0.1,/10.0.0.80,1053,40,376691,1,20
/10.0.0.1,/10.0.0.80,1054,42,421763,1,21
/10.0.0.1,/10.0.0.80,1059,40,407245,1,22
/10.0.0.1,/10.0.0.80,1060,40,411721,1,23
/10.0.0.1,/10.0.0.80,1070,40,468323,1,24
/10.0.0.1,/10.0.0.80,1073,42,541194,1,25
/10.0.0.1,/10.0.0.80,1081,42,594239,1,26
/10.0.0.1,/10.0.0.80,1082,40,538806,1,27
/10.0.0.1,/10.0.0.80,1109,40,693363,1,28
/10.0.0.1,/10.0.0.80,1116,40,733324,1,29
/10.0.0.1,/10.0.0.80,1119,40,749038,1,30
/10.0.0.1,/10.0.0.80,1142,40,878974,1,31
/10.0.0.1,/10.0.0.80,1142,40,885133,2,31
/10.0.0.1,/10.0.0.80,1165,40,1004349,1,32
/10.0.0.1,/10.0.0.80,1170,42,1143936,1,33
/10.0.0.1,/10.0.0.80,1176,40,1063644,1,34
/10.0.0.1,/10.0.0.80,1187,40,1123983,1,35
/10.0.0.1,/10.0.0.80,1188,40,1125373,1,36
/10.0.0.1,/10.0.0.80,1214,40,1241375,1,37
/10.0.0.1,/10.0.0.80,1215,40,1243251,1,38
/10.0.0.1,/10.0.0.80,1229,40,1292332,1,39
/10.0.0.1,/10.0.0.80,1242,40,1337362,1,40
/10.0.0.1,/10.0.0.80,1277,40,1413480,1,41
/10.0.0.1,/10.0.0.80,1328,40,1466334,1,42
/10.0.0.1,/10.0.0.80,1348,40,1468657,1,43
/10.0.0.1,/10.0.0.80,1357,40,1468247,1,44
/10.0.0.1,/10.0.0.80,1393,42,1456557,1,45
/10.0.0.1,/10.0.0.80,1402,40,1442878,1,46
/10.0.0.1,/10.0.0.80,1403,40,1441948,1,47
/10.0.0.1,/10.0.0.80,1404,40,1441117,1,48
/10.0.0.1,/10.0.0.80,1445,40,1406038,1,49
/10.0.0.1,/10.0.0.80,1481,40,1371469,1,50
/10.0.0.1,/10.0.0.80,1504,40,1350183,1,51
/10.0.0.1,/10.0.0.80,1573,40,1284894,1,52
/10.0.0.1,/10.0.0.80,1578,40,1279443,1,53
/10.0.0.1,/10.0.0.80,1619,40,1240202,1,54
/10.0.0.1,/10.0.0.80,1651,42,1210573,1,55
/10.0.0.1,/10.0.0.80,1678,40,1182221,1,56
/10.0.0.1,/10.0.0.80,1748,40,1113916,1,57
/10.0.0.1,/10.0.0.80,1790,42,1073432,1,58
/10.0.0.1,/10.0.0.80,1802,42,1061459,1,59
/10.0.0.1,/10.0.0.80,1862,40,1001023,1,60
/10.0.0.1,/10.0.0.80,1869,42,995023,1,61
/10.0.0.1,/10.0.0.80,1877,40,986124,1,62
/10.0.0.1,/10.0.0.80,1879,42,985021,1,63
/10.0.0.1,/10.0.0.80,1880,42,984146,1,64
/10.0.0.1,/10.0.0.80,1896,40,967440,1,65
/10.0.0.1,/10.0.0.80,1901,40,962299,1,66
/10.0.0.1,/10.0.0.80,1904,42,960108,1,67
/10.0.0.1,/10.0.0.80,1911,40,952450,1,68
/10.0.0.1,/10.0.0.80,1912,40,951612,1,69
/10.0.0.1,/10.0.0.80,1914,42,949996,1,70
/10.0.0.1,/10.0.0.80,1918,40,945654,1,71
/10.0.0.1,/10.0.0.80,1923,40,940669,1,72
/10.0.0.1,/10.0.0.80,1932,42,932130,1,73
/10.0.0.1,/10.0.0.80,1953,42,911152,1,74
/10.0.0.1,/10.0.0.80,1965,40,898884,1,75
/10.0.0.1,/10.0.0.80,1978,40,885846,1,76
/10.0.0.1,/10.0.0.80,1991,40,872876,1,77
/10.0.0.1,/10.0.0.80,1994,42,870096,1,78
/10.0.0.1,/10.0.0.80,1997,40,866878,1,79
/10.0.0.1,/10.0.0.80,1999,42,865082,1,80
