SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,1001,12,516,1,1
/10.0.0.1,/10.0.0.49,1001,12,520,2,1
/10.0.0.1,/10.0.0.49,1002,12,517,1,2
/10.0.0.1,/10.0.0.49,1002,12,527,2,2
/10.0.0.1,/10.0.0.49,1003,12,514,1,3
/10.0.0.1,/10.0.0.49,1003,12,516,2,3
/10.0.0.1,/10.0.0.49,1004,12,527,1,4
/10.0.0.1,/10.0.0.49,1004,12,540,2,4
/10.0.0.1,/10.0.0.49,1005,12,488,1,5
/10.0.0.1,/10.0.0.49,1005,12,493,2,5
/10.0.0.1,/10.0.0.49,1006,12,511,1,6
/10.0.0.1,/10.0.0.49,1006,12,541,2,6
/10.0.0.1,/10.0.0.49,1007,12,623,1,7
/10.0.0.1,/10.0.0.49,1007,12,625,2,7
/10.0.0.1,/10.0.0.49,1008,12,616,1,8
/10.0.0.1,/10.0.0.49,1008,12,669,2,8
/10.0.0.1,/10.0.0.49,1009,12,511,1,9
/10.0.0.1,/10.0.0.49,1009,12,519,2,9
/10.0.0.1,/10.0.0.49,1010,12,536,1,10
/10.0.0.1,/10.0.0.49,1010,12,537,2,10
/10.0.0.1,/10.0.0.49,1011,12,660,1,11
/10.0.0.1,/10.0.0.49,1011,12,732,2,11
/10.0.0.1,/10.0.0.49,1012,12,740,1,12
/10.0.0.1,/10.0.0.49,1012,12,869,2,12
/10.0.0.1,/10.0.0.49,1013,12,606,1,13
/10.0.0.1,/10.0.0.49,1013,12,631,2,13
/10.0.0.1,/10.0.0.49,1014,12,604,1,14
/10.0.0.1,/10.0.0.49,1014,12,664,2,14
/10.0.0.1,/10.0.0.49,1015,12,676,1,15
/10.0.0.1,/10.0.0.49,1015,12,753,2,15
/10.0.0.1,/10.0.0.49,1016,12,910,1,16
/10.0.0.1,/10.0.0.49,1016,12,963,2,16
/10.0.0.1,/10.0.0.49,1017,12,1019,1,17
/10.0.0.1,/10.0.0.49,1017,12,1020,2,17
/10.0.0.1,/10.0.0.49,1018,12,991,1,18
/10.0.0.1,/10.0.0.49,1018,12,1019,2,18
/10.0.0.1,/10.0.0.49,1019,12,964,1,19
/10.0.0.1,/10.0.0.49,1019,12,999,2,19
/10.0.0.1,/10.0.0.49,1020,12,925,1,20
/10.0.0.1,/10.0.0.49,1020,12,928,2,20
/10.0.0.1,/10.0.0.49,1021,12,827,1,21
/10.0.0.1,/10.0.0.49,1021,12,879,2,21
/10.0.0.1,/10.0.0.49,1022,12,602,1,22
/10.0.0.1,/10.0.0.49,1022,12,719,2,22
/10.0.0.1,/10.0.0.49,1023,12,831,1,23
/10.0.0.1,/10.0.0.49,1024,12,572,1,24
/10.0.0.1,/10.0.0.49,1024,12,597,2,24
/10.0.0.1,/10.0.0.49,1025,12,529,1,25
/10.0.0.1,/10.0.0.49,1025,12,532,2,25
/10.0.0.1,/10.0.0.49,1026,12,499,1,26
/10.0.0.1,/10.0.0.49,1026,12,539,2,26
/10.0.0.1,/10.0.0.49,1027,12,500,1,27
/10.0.0.1,/10.0.0.49,1027,12,504,2,27
/10.0.0.1,/10.0.0.49,1028,12,498,1,28
/10.0.0.1,/10.0.0.49,1028,12,500,2,28
/10.0.0.1,/10.0.0.49,1029,12,509,1,29
/10.0.0.1,/10.0.0.49,1029,12,511,2,29
/10.0.0.1,/10.0.0.49,1030,12,581,1,30
/10.0.0.1,/10.0.0.49,1030,12,621,2,30
/10.0.0.1,/10.0.0.49,1031,12,650,1,31
/10.0.0.1,/10.0.0.49,1031,12,652,2,31
/10.0.0.1,/10.0.0.49,1032,12,659,1,32
/10.0.0.1,/10.0.0.49,1032,12,659,2,32
/10.0.0.1,/10.0.0.49,1033,12,815,1,33
/10.0.0.1,/10.0.0.49,1034,12,528,1,34
/10.0.0.1,/10.0.0.49,1034,12,563,2,34
/10.0.0.1,/10.0.0.49,1035,12,647,1,35
/10.0.0.1,/10.0.0.49,1035,12,655,2,35
/10.0.0.1,/10.0.0.49,1036,12,589,1,36
/10.0.0.1,/10.0.0.49,1037,12,591,1,37
/10.0.0.1,/10.0.0.49,1037,12,623,2,37
/10.0.0.1,/10.0.0.49,1038,12,559,1,38
/10.0.0.1,/10.0.0.49,1038,12,583,2,38
/10.0.0.1,/10.0.0.49,1039,12,549,1,39
/10.0.0.1,/10.0.0.49,1039,12,594,2,39
/10.0.0.1,/10.0.0.49,1040,12,561,1,40
/10.0.0.1,/10.0.0.49,1040,12,607,2,40
/10.0.0.1,/10.0.0.49,1041,12,620,1,41
/10.0.0.1,/10.0.0.49,1041,12,723,2,41
/10.0.0.1,/10.0.0.49,1042,12,833,1,42
/10.0.0.1,/10.0.0.49,1042,12,886,2,42
/10.0.0.1,/10.0.0.49,1043,12,839,1,43
/10.0.0.1,/10.0.0.49,1043,12,840,2,43
/10.0.0.1,/10.0.0.49,1044,12,672,1,44
/10.0.0.1,/10.0.0.49,1044,12,676,2,44
/10.0.0.1,/10.0.0.49,1045,12,623,1,45
/10.0.0.1,/10.0.0.49,1045,12,677,2,45
/10.0.0.1,/10.0.0.49,1046,12,618,1,46
/10.0.0.1,/10.0.0.49,1046,12,660,2,46
/10.0.0.1,/10.0.0.49,1047,12,931,1,47
/10.0.0.1,/10.0.0.49,1047,12,975,2,47
/10.0.0.1,/10.0.0.49,1048,12,905,1,48
/10.0.0.1,/10.0.0.49,1049,12,623,1,49
/10.0.0.1,/10.0.0.49,1049,12,731,2,49
/10.0.0.1,/10.0.0.49,1050,12,595,1,50
/10.0.0.1,/10.0.0.49,1050,12,678,2,50
/10.0.0.1,/10.0.0.49,1051,12,649,1,51
/10.0.0.1,/10.0.0.49,1051,12,741,2,51
/10.0.0.1,/10.0.0.49,1052,12,563,1,52
/10.0.0.1,/10.0.0.49,1052,12,599,2,52
/10.0.0.1,/10.0.0.49,1053,12,596,1,53
/10.0.0.1,/10.0.0.49,1053,12,648,2,53
/10.0.0.1,/10.0.0.49,1054,12,594,1,54
/10.0.0.1,/10.0.0.49,1055,12,520,1,55
/10.0.0.1,/10.0.0.49,1055,12,533,2,55
/10.0.0.1,/10.0.0.49,1056,12,536,1,56
/10.0.0.1,/10.0.0.49,1056,12,540,2,56
/10.0.0.1,/10.0.0.49,1057,12,627,1,57
/10.0.0.1,/10.0.0.49,1057,12,628,2,57
/10.0.0.1,/10.0.0.49,1058,12,576,1,58
/10.0.0.1,/10.0.0.49,1058,12,583,2,58
/10.0.0.1,/10.0.0.49,1059,12,512,1,59
/10.0.0.1,/10.0.0.49,1059,12,532,2,59
/10.0.0.1,/10.0.0.49,1060,12,520,1,60
/10.0.0.1,/10.0.0.49,1060,12,538,2,60
/10.0.0.1,/10.0.0.49,1061,12,544,1,61
/10.0.0.1,/10.0.0.49,1062,12,575,1,62
/10.0.0.1,/10.0.0.49,1062,12,650,2,62
/10.0.0.1,/10.0.0.49,1063,12,595,1,63
/10.0.0.1,/10.0.0.49,1064,12,624,1,64
/10.0.0.1,/10.0.0.49,1064,12,670,2,64
/10.0.0.1,/10.0.0.49,1065,12,582,1,65
/10.0.0.1,/10.0.0.49,1065,12,617,2,65
/10.0.0.1,/10.0.0.49,1066,12,587,1,66
/10.0.0.1,/10.0.0.49,1066,12,592,2,66
/10.0.0.1,/10.0.0.49,1067,12,818,1,67
/10.0.0.1,/10.0.0.49,1067,12,916,2,67
/10.0.0.1,/10.0.0.49,1068,12,858,1,68
/10.0.0.1,/10.0.0.49,1068,12,914,2,68
/10.0.0.1,/10.0.0.49,1069,12,683,1,69
/10.0.0.1,/10.0.0.49,1069,12,743,2,69
/10.0.0.1,/10.0.0.49,1070,12,645,1,70
/10.0.0.1,/10.0.0.49,1070,12,777,2,70
/10.0.0.1,/10.0.0.49,1071,12,748,1,71
/10.0.0.1,/10.0.0.49,1071,12,750,2,71
/10.0.0.1,/10.0.0.49,1072,12,1006,1,72
/10.0.0.1,/10.0.0.49,1072,12,1007,2,72
/10.0.0.1,/10.0.0.49,1073,12,957,1,73
/10.0.0.1,/10.0.0.49,1073,12,958,2,73
/10.0.0.1,/10.0.0.49,1074,12,898,1,74
/10.0.0.1,/10.0.0.49,1074,12,940,2,74
/10.0.0.1,/10.0.0.49,1075,12,659,1,75
/10.0.0.1,/10.0.0.49,1075,12,729,2,75
/10.0.0.1,/10.0.0.49,1076,12,584,1,76
/10.0.0.1,/10.0.0.49,1076,12,638,2,76
/10.0.0.1,/10.0.0.49,1077,12,642,1,77
/10.0.0.1,/10.0.0.49,1077,12,644,2,77
/10.0.0.1,/10.0.0.49,1078,12,599,1,78
/10.0.0.1,/10.0.0.49,1078,12,655,2,78
/10.0.0.1,/10.0.0.49,1079,12,822,1,79
/10.0.0.1,/10.0.0.49,1079,12,872,2,79
/10.0.0.1,/10.0.0.49,1080,12,780,1,80
/10.0.0.1,/10.0.0.49,1080,12,841,2,80
/10.0.0.1,/10.0.0.49,1081,12,777,1,81
/10.0.0.1,/10.0.0.49,1082,12,671,1,82
/10.0.0.1,/10.0.0.49,1082,12,793,2,82
/10.0.0.1,/10.0.0.49,1083,12,849,1,83
/10.0.0.1,/10.0.0.49,1083,12,945,2,83
/10.0.0.1,/10.0.0.49,1084,12,943,1,84
/10.0.0.1,/10.0.0.49,1084,12,950,2,84
/10.0.0.1,/10.0.0.49,1085,12,902,1,85
/10.0.0.1,/10.0.0.49,1085,12,945,2,85
/10.0.0.1,/10.0.0.49,1086,12,796,1,86
