SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,16,18,1401,1,1
/10.0.0.1,/10.0.0.100,20,18,1073,1,2
/10.0.0.1,/10.0.0.100,24,18,1868,1,3
/10.0.0.1,/10.0.0.100,24,18,1890,2,3
/10.0.0.1,/10.0.0.100,35,18,815,1,4
/10.0.0.1,/10.0.0.100,35,18,921,2,4
/10.0.0.1,/10.0.0.100,39,18,855,1,5
/10.0.0.1,/10.0.0.100,39,18,867,2,5
/10.0.0.1,/10.0.0.100,41,18,934,1,6
/10.0.0.1,/10.0.0.100,42,18,1139,1,7
/10.0.0.1,/10.0.0.100,45,18,606,1,8
/10.0.0.1,/10.0.0.100,46,18,715,1,9
/10.0.0.1,/10.0.0.100,48,18,1079,1,10
/10.0.0.1,/10.0.0.100,48,18,1082,2,10
/10.0.0.1,/10.0.0.100,55,18,932,1,11
/10.0.0.1,/10.0.0.100,57,18,775,1,12
/10.0.0.1,/10.0.0.100,57,18,794,2,12
/10.0.0.1,/10.0.0.100,58,18,887,1,13
/10.0.0.1,/10.0.0.100,58,18,889,2,13
/10.0.0.1,/10.0.0.100,65,18,675,1,14
/10.0.0.1,/10.0.0.100,65,18,727,2,14
/10.0.0.1,/10.0.0.100,67,18,719,1,15
/10.0.0.1,/10.0.0.100,67,18,762,2,15
/10.0.0.1,/10.0.0.100,72,18,622,1,16
/10.0.0.1,/10.0.0.100,72,18,644,2,16
/10.0.0.1,/10.0.0.100,73,18,585,1,17
/10.0.0.1,/10.0.0.100,75,18,666,1,18
/10.0.0.1,/10.0.0.100,75,18,667,2,18
/10.0.0.1,/10.0.0.100,79,18,652,1,19
/10.0.0.1,/10.0.0.100,86,18,586,1,20
/10.0.0.1,/10.0.0.100,86,18,588,2,20
/10.0.0.1,/10.0.0.100,87,18,513,1,21
/10.0.0.1,/10.0.0.100,87,18,529,2,21
/10.0.0.1,/10.0.0.100,98,18,568,1,22
/10.0.0.1,/10.0.0.100,98,18,575,2,22
/10.0.0.1,/10.0.0.100,101,18,517,1,23
/10.0.0.1,/10.0.0.100,109,18,492,1,24
/10.0.0.1,/10.0.0.100,112,18,557,1,25
/10.0.0.1,/10.0.0.100,112,18,563,2,25
/10.0.0.1,/10.0.0.100,114,18,612,1,26
/10.0.0.1,/10.0.0.100,114,18,634,2,26
/10.0.0.1,/10.0.0.100,116,18,461,1,27
/10.0.0.1,/10.0.0.100,116,18,461,2,27
/10.0.0.1,/10.0.0.100,121,18,563,1,28
/10.0.0.1,/10.0.0.100,121,18,566,2,28
/10.0.0.1,/10.0.0.100,122,18,494,1,29
/10.0.0.1,/10.0.0.100,123,18,577,1,30
/10.0.0.1,/10.0.0.100,123,18,583,2,30
/10.0.0.1,/10.0.0.100,124,18,792,1,31
/10.0.0.1,/10.0.0.100,124,18,827,2,31
