SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1,18,1751,1,1
/10.0.0.1,/10.0.0.100,1,18,2374,2,1
/10.0.0.1,/10.0.0.100,2,18,1875,1,2
/10.0.0.1,/10.0.0.100,2,18,1879,2,2
/10.0.0.1,/10.0.0.100,3,18,2384,1,3
/10.0.0.1,/10.0.0.100,3,18,2388,2,3
/10.0.0.1,/10.0.0.100,4,18,1810,1,4
/10.0.0.1,/10.0.0.100,4,18,1820,2,4
/10.0.0.1,/10.0.0.100,5,18,1645,1,5
/10.0.0.1,/10.0.0.100,5,18,2674,2,5
/10.0.0.1,/10.0.0.100,6,18,1155,1,6
/10.0.0.1,/10.0.0.100,9,18,793,1,7
/10.0.0.1,/10.0.0.100,9,18,2023,2,7
/10.0.0.1,/10.0.0.100,10,18,1252,1,8
/10.0.0.1,/10.0.0.100,10,18,1277,2,8
/10.0.0.1,/10.0.0.100,11,18,1176,1,9
/10.0.0.1,/10.0.0.100,11,18,1365,2,9
/10.0.0.1,/10.0.0.100,12,18,1387,1,10
/10.0.0.1,/10.0.0.100,12,18,1410,2,10
/10.0.0.1,/10.0.0.100,13,18,1187,1,11
/10.0.0.1,/10.0.0.100,13,18,1192,2,11
/10.0.0.1,/10.0.0.100,15,18,732,1,12
/10.0.0.1,/10.0.0.100,16,18,858,1,13
/10.0.0.1,/10.0.0.100,16,18,865,2,13
/10.0.0.1,/10.0.0.100,17,18,1889,1,14
/10.0.0.1,/10.0.0.100,19,18,742,1,15
/10.0.0.1,/10.0.0.100,20,18,774,1,16
/10.0.0.1,/10.0.0.100,21,18,868,1,17
/10.0.0.1,/10.0.0.100,21,18,976,2,17
/10.0.0.1,/10.0.0.100,23,18,692,1,18
/10.0.0.1,/10.0.0.100,25,18,847,1,19
/10.0.0.1,/10.0.0.100,26,18,717,1,20
/10.0.0.1,/10.0.0.100,26,18,777,2,20
/10.0.0.1,/10.0.0.100,27,18,684,1,21
/10.0.0.1,/10.0.0.100,28,18,719,1,22
/10.0.0.1,/10.0.0.100,29,18,741,1,23
/10.0.0.1,/10.0.0.100,30,18,878,1,24
/10.0.0.1,/10.0.0.100,30,18,883,2,24
/10.0.0.1,/10.0.0.100,32,18,809,1,25
/10.0.0.1,/10.0.0.100,37,18,613,1,26
/10.0.0.1,/10.0.0.100,37,18,633,2,26
/10.0.0.1,/10.0.0.100,38,18,891,1,27
/10.0.0.1,/10.0.0.100,39,18,854,1,28
/10.0.0.1,/10.0.0.100,39,18,857,2,28
/10.0.0.1,/10.0.0.100,40,18,786,1,29
/10.0.0.1,/10.0.0.100,40,18,789,2,29
/10.0.0.1,/10.0.0.100,41,18,802,1,30
/10.0.0.1,/10.0.0.100,42,18,881,1,31
/10.0.0.1,/10.0.0.100,44,18,772,1,32
/10.0.0.1,/10.0.0.100,46,18,602,1,33
/10.0.0.1,/10.0.0.100,47,18,645,1,34
/10.0.0.1,/10.0.0.100,48,18,767,1,35
/10.0.0.1,/10.0.0.100,48,18,845,2,35
/10.0.0.1,/10.0.0.100,49,18,594,1,36
/10.0.0.1,/10.0.0.100,49,18,662,2,36
/10.0.0.1,/10.0.0.100,50,18,717,1,37
/10.0.0.1,/10.0.0.100,50,18,787,2,37
/10.0.0.1,/10.0.0.100,54,18,577,1,38
/10.0.0.1,/10.0.0.100,57,18,644,1,39
/10.0.0.1,/10.0.0.100,57,18,647,2,39
/10.0.0.1,/10.0.0.100,58,18,999,1,40
/10.0.0.1,/10.0.0.100,61,18,622,1,41
/10.0.0.1,/10.0.0.100,61,18,626,2,41
/10.0.0.1,/10.0.0.100,63,18,665,1,42
/10.0.0.1,/10.0.0.100,64,18,694,1,43
/10.0.0.1,/10.0.0.100,65,18,810,1,44
/10.0.0.1,/10.0.0.100,65,18,814,2,44
/10.0.0.1,/10.0.0.100,67,18,650,1,45
/10.0.0.1,/10.0.0.100,67,18,652,2,45
/10.0.0.1,/10.0.0.100,68,18,670,1,46
/10.0.0.1,/10.0.0.100,68,18,673,2,46
/10.0.0.1,/10.0.0.100,70,18,615,1,47
/10.0.0.1,/10.0.0.100,70,18,617,2,47
/10.0.0.1,/10.0.0.100,71,18,560,1,48
/10.0.0.1,/10.0.0.100,71,18,627,2,48
/10.0.0.1,/10.0.0.100,72,18,755,1,49
/10.0.0.1,/10.0.0.100,72,18,760,2,49
/10.0.0.1,/10.0.0.100,73,18,487,1,50
/10.0.0.1,/10.0.0.100,75,18,614,1,51
/10.0.0.1,/10.0.0.100,75,18,623,2,51
/10.0.0.1,/10.0.0.100,76,18,681,1,52
/10.0.0.1,/10.0.0.100,77,18,576,1,53
/10.0.0.1,/10.0.0.100,77,18,579,2,53
/10.0.0.1,/10.0.0.100,78,18,884,1,54
/10.0.0.1,/10.0.0.100,78,18,884,2,54
/10.0.0.1,/10.0.0.100,79,18,526,1,55
/10.0.0.1,/10.0.0.100,79,18,530,2,55
/10.0.0.1,/10.0.0.100,80,18,549,1,56
/10.0.0.1,/10.0.0.100,80,18,552,2,56
/10.0.0.1,/10.0.0.100,81,18,660,1,57
/10.0.0.1,/10.0.0.100,82,18,672,1,58
/10.0.0.1,/10.0.0.100,82,18,676,2,58
/10.0.0.1,/10.0.0.100,83,18,622,1,59
/10.0.0.1,/10.0.0.100,83,18,624,2,59
/10.0.0.1,/10.0.0.100,84,18,612,1,60
/10.0.0.1,/10.0.0.100,84,18,614,2,60
/10.0.0.1,/10.0.0.100,85,18,465,1,61
/10.0.0.1,/10.0.0.100,90,18,649,1,62
/10.0.0.1,/10.0.0.100,90,18,650,2,62
/10.0.0.1,/10.0.0.100,91,18,799,1,63
/10.0.0.1,/10.0.0.100,91,18,803,2,63
/10.0.0.1,/10.0.0.100,93,18,614,1,64
/10.0.0.1,/10.0.0.100,96,18,579,1,65
/10.0.0.1,/10.0.0.100,98,18,623,1,66
/10.0.0.1,/10.0.0.100,98,18,626,2,66
/10.0.0.1,/10.0.0.100,99,18,536,1,67
/10.0.0.1,/10.0.0.100,100,18,692,1,68
/10.0.0.1,/10.0.0.100,100,18,696,2,68
/10.0.0.1,/10.0.0.100,101,18,686,1,69
/10.0.0.1,/10.0.0.100,101,18,690,2,69
/10.0.0.1,/10.0.0.100,102,18,615,1,70
/10.0.0.1,/10.0.0.100,102,18,618,2,70
/10.0.0.1,/10.0.0.100,103,18,535,1,71
/10.0.0.1,/10.0.0.100,103,18,539,2,71
/10.0.0.1,/10.0.0.100,104,18,654,1,72
/10.0.0.1,/10.0.0.100,105,18,592,1,73
/10.0.0.1,/10.0.0.100,105,18,599,2,73
/10.0.0.1,/10.0.0.100,106,18,605,1,74
/10.0.0.1,/10.0.0.100,106,18,605,2,74
/10.0.0.1,/10.0.0.100,107,18,535,1,75
/10.0.0.1,/10.0.0.100,108,18,647,1,76
/10.0.0.1,/10.0.0.100,108,18,649,2,76
/10.0.0.1,/10.0.0.100,110,18,508,1,77
/10.0.0.1,/10.0.0.100,111,18,340,1,78
/10.0.0.1,/10.0.0.100,113,18,470,1,79
/10.0.0.1,/10.0.0.100,113,18,476,2,79
/10.0.0.1,/10.0.0.100,116,18,555,1,80
/10.0.0.1,/10.0.0.100,116,18,621,2,80
/10.0.0.1,/10.0.0.100,117,18,482,1,81
/10.0.0.1,/10.0.0.100,117,18,535,2,81
/10.0.0.1,/10.0.0.100,121,18,745,1,82
/10.0.0.1,/10.0.0.100,122,18,548,1,83
/10.0.0.1,/10.0.0.100,123,18,499,1,84
/10.0.0.1,/10.0.0.100,125,18,651,1,85
