SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.9,1,4,95,1,1
/10.0.0.1,/10.0.0.9,1,4,98,2,1
/10.0.0.1,/10.0.0.9,2,4,49,1,2
/10.0.0.1,/10.0.0.9,2,4,71,2,2
/10.0.0.1,/10.0.0.9,3,4,45,1,3
/10.0.0.1,/10.0.0.9,3,4,57,2,3
/10.0.0.1,/10.0.0.9,4,4,54,1,4
/10.0.0.1,/10.0.0.9,4,4,60,2,4
/10.0.0.1,/10.0.0.9,5,4,61,1,5
/10.0.0.1,/10.0.0.9,5,4,67,2,5
/10.0.0.1,/10.0.0.9,6,4,43,1,6
/10.0.0.1,/10.0.0.9,6,4,54,2,6
/10.0.0.1,/10.0.0.9,7,4,43,1,7
/10.0.0.1,/10.0.0.9,7,4,50,2,7
/10.0.0.1,/10.0.0.9,8,4,44,1,8
/10.0.0.1,/10.0.0.9,8,4,51,2,8
/10.0.0.1,/10.0.0.9,9,4,48,1,9
/10.0.0.1,/10.0.0.9,9,4,55,2,9
/10.0.0.1,/10.0.0.9,10,4,49,1,10
/10.0.0.1,/10.0.0.9,10,4,55,2,10
/10.0.0.1,/10.0.0.9,11,4,47,1,11
/10.0.0.1,/10.0.0.9,11,4,66,2,11
/10.0.0.1,/10.0.0.9,12,4,41,1,12
/10.0.0.1,/10.0.0.9,12,4,48,2,12
/10.0.0.1,/10.0.0.9,13,4,43,1,13
/10.0.0.1,/10.0.0.9,13,4,51,2,13
/10.0.0.1,/10.0.0.9,14,4,60,1,14
/10.0.0.1,/10.0.0.9,14,4,61,2,14
/10.0.0.1,/10.0.0.9,15,4,41,1,15
/10.0.0.1,/10.0.0.9,15,4,54,2,15
/10.0.0.1,/10.0.0.9,16,4,44,1,16
/10.0.0.1,/10.0.0.9,16,4,63,2,16
/10.0.0.1,/10.0.0.9,17,4,44,1,17
/10.0.0.1,/10.0.0.9,17,4,51,2,17
/10.0.0.1,/10.0.0.9,18,4,53,1,18
/10.0.0.1,/10.0.0.9,18,4,59,2,18
/10.0.0.1,/10.0.0.9,19,4,42,1,19
/10.0.0.1,/10.0.0.9,19,4,52,2,19
/10.0.0.1,/10.0.0.9,20,4,36,1,20
/10.0.0.1,/10.0.0.9,20,4,47,2,20
/10.0.0.1,/10.0.0.9,21,4,39,1,21
/10.0.0.1,/10.0.0.9,21,4,46,2,21
/10.0.0.1,/10.0.0.9,22,4,38,1,22
/10.0.0.1,/10.0.0.9,22,4,44,2,22
/10.0.0.1,/10.0.0.9,23,4,42,1,23
/10.0.0.1,/10.0.0.9,23,4,48,2,23
/10.0.0.1,/10.0.0.9,24,4,37,1,24
/10.0.0.1,/10.0.0.9,24,4,44,2,24
/10.0.0.1,/10.0.0.9,25,4,39,1,25
/10.0.0.1,/10.0.0.9,25,4,45,2,25
/10.0.0.1,/10.0.0.9,26,4,39,1,26
/10.0.0.1,/10.0.0.9,26,4,48,2,26
/10.0.0.1,/10.0.0.9,27,4,35,1,27
/10.0.0.1,/10.0.0.9,27,4,41,2,27
/10.0.0.1,/10.0.0.9,28,4,46,1,28
/10.0.0.1,/10.0.0.9,28,4,49,2,28
/10.0.0.1,/10.0.0.9,29,4,42,1,29
/10.0.0.1,/10.0.0.9,29,4,51,2,29
/10.0.0.1,/10.0.0.9,30,4,42,1,30
/10.0.0.1,/10.0.0.9,30,4,71,2,30
/10.0.0.1,/10.0.0.9,31,4,37,1,31
/10.0.0.1,/10.0.0.9,31,4,43,2,31
/10.0.0.1,/10.0.0.9,32,4,44,1,32
/10.0.0.1,/10.0.0.9,32,4,50,2,32
/10.0.0.1,/10.0.0.9,33,4,35,1,33
/10.0.0.1,/10.0.0.9,33,4,41,2,33
/10.0.0.1,/10.0.0.9,34,4,35,1,34
/10.0.0.1,/10.0.0.9,34,4,41,2,34
/10.0.0.1,/10.0.0.9,35,4,36,1,35
/10.0.0.1,/10.0.0.9,35,4,42,2,35
/10.0.0.1,/10.0.0.9,36,4,33,1,36
/10.0.0.1,/10.0.0.9,36,4,36,2,36
/10.0.0.1,/10.0.0.9,37,4,32,1,37
/10.0.0.1,/10.0.0.9,37,4,35,2,37
/10.0.0.1,/10.0.0.9,38,4,29,1,38
/10.0.0.1,/10.0.0.9,38,4,30,2,38
/10.0.0.1,/10.0.0.9,39,4,18,1,39
/10.0.0.1,/10.0.0.9,39,4,19,2,39
/10.0.0.1,/10.0.0.9,40,4,23,1,40
