SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.25,3,8,1213,1,1
/10.0.0.1,/10.0.0.25,4,8,229,1,2
/10.0.0.1,/10.0.0.25,4,8,1146,2,2
/10.0.0.1,/10.0.0.25,6,8,144,1,3
/10.0.0.1,/10.0.0.25,7,8,1194,1,4
/10.0.0.1,/10.0.0.25,9,8,224,1,5
/10.0.0.1,/10.0.0.25,12,8,108,1,6
/10.0.0.1,/10.0.0.25,14,8,79,1,7
/10.0.0.1,/10.0.0.25,17,8,80,1,8
/10.0.0.1,/10.0.0.25,20,8,86,1,9
/10.0.0.1,/10.0.0.25,21,8,88,1,10
/10.0.0.1,/10.0.0.25,23,8,114,1,11
/10.0.0.1,/10.0.0.25,23,8,115,2,11
/10.0.0.1,/10.0.0.25,24,8,117,1,12
/10.0.0.1,/10.0.0.25,26,8,95,1,13
/10.0.0.1,/10.0.0.25,27,8,102,1,14
/10.0.0.1,/10.0.0.25,30,8,181,1,15
/10.0.0.1,/10.0.0.25,30,8,191,2,15
/10.0.0.1,/10.0.0.25,31,8,96,1,16
/10.0.0.1,/10.0.0.25,33,8,132,1,17
/10.0.0.1,/10.0.0.25,33,8,142,2,17
/10.0.0.1,/10.0.0.25,38,8,90,1,18
/10.0.0.1,/10.0.0.25,39,8,89,1,19
/10.0.0.1,/10.0.0.25,40,8,77,1,20
/10.0.0.1,/10.0.0.25,41,8,99,1,21
/10.0.0.1,/10.0.0.25,44,8,78,1,22
/10.0.0.1,/10.0.0.25,49,8,74,1,23
/10.0.0.1,/10.0.0.25,49,8,75,2,23
/10.0.0.1,/10.0.0.25,50,8,69,1,24
/10.0.0.1,/10.0.0.25,51,8,87,1,25
/10.0.0.1,/10.0.0.25,54,8,113,1,26
/10.0.0.1,/10.0.0.25,54,8,114,2,26
/10.0.0.1,/10.0.0.25,55,8,123,1,27
/10.0.0.1,/10.0.0.25,57,8,106,1,28
/10.0.0.1,/10.0.0.25,57,8,118,2,28
/10.0.0.1,/10.0.0.25,58,8,67,1,29
/10.0.0.1,/10.0.0.25,59,8,80,1,30
/10.0.0.1,/10.0.0.25,60,8,68,1,31
/10.0.0.1,/10.0.0.25,61,8,68,1,32
/10.0.0.1,/10.0.0.25,61,8,75,2,32
/10.0.0.1,/10.0.0.25,63,8,80,1,33
/10.0.0.1,/10.0.0.25,64,8,101,1,34
/10.0.0.1,/10.0.0.25,64,8,153,2,34
/10.0.0.1,/10.0.0.25,65,8,65,1,35
/10.0.0.1,/10.0.0.25,66,8,114,1,36
/10.0.0.1,/10.0.0.25,66,8,114,2,36
/10.0.0.1,/10.0.0.25,67,8,78,1,37
/10.0.0.1,/10.0.0.25,67,8,83,2,37
/10.0.0.1,/10.0.0.25,69,8,54,1,38
/10.0.0.1,/10.0.0.25,70,8,120,1,39
/10.0.0.1,/10.0.0.25,71,8,85,1,40
/10.0.0.1,/10.0.0.25,72,8,72,1,41
/10.0.0.1,/10.0.0.25,76,8,70,1,42
/10.0.0.1,/10.0.0.25,80,8,62,1,43
/10.0.0.1,/10.0.0.25,84,8,95,1,44
/10.0.0.1,/10.0.0.25,85,8,86,1,45
/10.0.0.1,/10.0.0.25,86,8,82,1,46
/10.0.0.1,/10.0.0.25,88,8,130,1,47
/10.0.0.1,/10.0.0.25,89,8,69,1,48
/10.0.0.1,/10.0.0.25,90,8,113,1,49
/10.0.0.1,/10.0.0.25,91,8,57,1,50
/10.0.0.1,/10.0.0.25,92,8,223,1,51
/10.0.0.1,/10.0.0.25,92,8,224,2,51
/10.0.0.1,/10.0.0.25,93,8,63,1,52
/10.0.0.1,/10.0.0.25,93,8,64,2,52
/10.0.0.1,/10.0.0.25,94,8,136,1,53
/10.0.0.1,/10.0.0.25,97,8,88,1,54
/10.0.0.1,/10.0.0.25,97,8,90,2,54
/10.0.0.1,/10.0.0.25,98,8,74,1,55
/10.0.0.1,/10.0.0.25,99,8,88,1,56
/10.0.0.1,/10.0.0.25,101,8,41,1,57
/10.0.0.1,/10.0.0.25,101,8,44,2,57
/10.0.0.1,/10.0.0.25,103,8,78,1,58
/10.0.0.1,/10.0.0.25,104,8,80,1,59
/10.0.0.1,/10.0.0.25,105,8,73,1,60
/10.0.0.1,/10.0.0.25,107,8,61,1,61
/10.0.0.1,/10.0.0.25,108,8,83,1,62
/10.0.0.1,/10.0.0.25,109,8,70,1,63
/10.0.0.1,/10.0.0.25,110,8,45,1,64
/10.0.0.1,/10.0.0.25,112,8,85,1,65
/10.0.0.1,/10.0.0.25,113,8,67,1,66
/10.0.0.1,/10.0.0.25,113,8,69,2,66
/10.0.0.1,/10.0.0.25,114,8,74,1,67
/10.0.0.1,/10.0.0.25,115,8,49,1,68
/10.0.0.1,/10.0.0.25,115,8,51,2,68
/10.0.0.1,/10.0.0.25,116,8,89,1,69
/10.0.0.1,/10.0.0.25,118,8,67,1,70
/10.0.0.1,/10.0.0.25,120,8,125,1,71
/10.0.0.1,/10.0.0.25,121,8,86,1,72
/10.0.0.1,/10.0.0.25,124,8,56,1,73
/10.0.0.1,/10.0.0.25,126,8,1085,1,74
/10.0.0.1,/10.0.0.25,126,8,1087,2,74
/10.0.0.1,/10.0.0.25,127,8,75,1,75
/10.0.0.1,/10.0.0.25,128,8,61,1,76
/10.0.0.1,/10.0.0.25,129,8,66,1,77
/10.0.0.1,/10.0.0.25,130,8,90,1,78
/10.0.0.1,/10.0.0.25,131,8,83,1,79
/10.0.0.1,/10.0.0.25,132,8,71,1,80
/10.0.0.1,/10.0.0.25,133,8,52,1,81
/10.0.0.1,/10.0.0.25,133,8,53,2,81
/10.0.0.1,/10.0.0.25,134,8,63,1,82
/10.0.0.1,/10.0.0.25,138,8,89,1,83
/10.0.0.1,/10.0.0.25,139,8,67,1,84
/10.0.0.1,/10.0.0.25,142,8,54,1,85
/10.0.0.1,/10.0.0.25,143,8,77,1,86
/10.0.0.1,/10.0.0.25,143,8,78,2,86
/10.0.0.1,/10.0.0.25,144,8,71,1,87
/10.0.0.1,/10.0.0.25,146,8,88,1,88
/10.0.0.1,/10.0.0.25,146,8,313,2,88
/10.0.0.1,/10.0.0.25,148,8,74,1,89
/10.0.0.1,/10.0.0.25,148,8,76,2,89
/10.0.0.1,/10.0.0.25,150,8,63,1,90
/10.0.0.1,/10.0.0.25,150,8,66,2,90
/10.0.0.1,/10.0.0.25,151,8,52,1,91
/10.0.0.1,/10.0.0.25,153,8,104,1,92
/10.0.0.1,/10.0.0.25,154,8,66,1,93
/10.0.0.1,/10.0.0.25,154,8,68,2,93
/10.0.0.1,/10.0.0.25,156,8,50,1,94
/10.0.0.1,/10.0.0.25,157,8,129,1,95
/10.0.0.1,/10.0.0.25,158,8,79,1,96
/10.0.0.1,/10.0.0.25,159,8,90,1,97
/10.0.0.1,/10.0.0.25,164,8,66,1,98
/10.0.0.1,/10.0.0.25,167,8,72,1,99
