SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1,18,3380,1,1
/10.0.0.1,/10.0.0.100,1,18,3547,2,1
/10.0.0.1,/10.0.0.100,2,18,3197,1,2
/10.0.0.1,/10.0.0.100,2,18,3370,2,2
/10.0.0.1,/10.0.0.100,3,18,4573,1,3
/10.0.0.1,/10.0.0.100,4,18,3671,1,4
/10.0.0.1,/10.0.0.100,4,18,3840,2,4
/10.0.0.1,/10.0.0.100,5,18,3720,1,5
/10.0.0.1,/10.0.0.100,5,18,3891,2,5
/10.0.0.1,/10.0.0.100,6,18,3639,1,6
/10.0.0.1,/10.0.0.100,6,18,3849,2,6
/10.0.0.1,/10.0.0.100,7,18,3859,1,7
/10.0.0.1,/10.0.0.100,7,18,4062,2,7
/10.0.0.1,/10.0.0.100,8,18,4289,1,8
/10.0.0.1,/10.0.0.100,8,18,4447,2,8
/10.0.0.1,/10.0.0.100,9,18,4101,1,9
/10.0.0.1,/10.0.0.100,9,18,4276,2,9
/10.0.0.1,/10.0.0.100,10,18,4012,1,10
/10.0.0.1,/10.0.0.100,10,18,4239,2,10
/10.0.0.1,/10.0.0.100,11,18,5393,1,11
/10.0.0.1,/10.0.0.100,12,18,4528,1,12
/10.0.0.1,/10.0.0.100,12,18,4691,2,12
/10.0.0.1,/10.0.0.100,13,18,4984,1,13
/10.0.0.1,/10.0.0.100,13,18,5144,2,13
/10.0.0.1,/10.0.0.100,14,18,4788,1,14
/10.0.0.1,/10.0.0.100,14,18,4952,2,14
/10.0.0.1,/10.0.0.100,15,18,4602,1,15
/10.0.0.1,/10.0.0.100,15,18,4765,2,15
/10.0.0.1,/10.0.0.100,16,18,5313,1,16
/10.0.0.1,/10.0.0.100,16,18,5467,2,16
/10.0.0.1,/10.0.0.100,17,18,4471,1,17
/10.0.0.1,/10.0.0.100,17,18,4633,2,17
/10.0.0.1,/10.0.0.100,18,18,4589,1,18
/10.0.0.1,/10.0.0.100,18,18,4751,2,18
