SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.25,1,8,1663,1,1
/10.0.0.1,/10.0.0.25,1,8,1741,2,1
/10.0.0.1,/10.0.0.25,2,8,1170,1,2
/10.0.0.1,/10.0.0.25,2,8,1187,2,2
/10.0.0.1,/10.0.0.25,3,8,1626,1,3
/10.0.0.1,/10.0.0.25,3,8,1648,2,3
/10.0.0.1,/10.0.0.25,4,8,1180,1,4
/10.0.0.1,/10.0.0.25,4,8,1234,2,4
/10.0.0.1,/10.0.0.25,5,8,1087,1,5
/10.0.0.1,/10.0.0.25,5,8,1101,2,5
/10.0.0.1,/10.0.0.25,6,8,997,1,6
/10.0.0.1,/10.0.0.25,6,8,1084,2,6
/10.0.0.1,/10.0.0.25,7,8,1033,1,7
/10.0.0.1,/10.0.0.25,7,8,1038,2,7
/10.0.0.1,/10.0.0.25,8,8,862,1,8
/10.0.0.1,/10.0.0.25,8,8,864,2,8
/10.0.0.1,/10.0.0.25,9,8,636,1,9
/10.0.0.1,/10.0.0.25,9,8,678,2,9
/10.0.0.1,/10.0.0.25,10,8,617,1,10
/10.0.0.1,/10.0.0.25,10,8,625,2,10
/10.0.0.1,/10.0.0.25,11,8,516,1,11
/10.0.0.1,/10.0.0.25,11,8,534,2,11
/10.0.0.1,/10.0.0.25,12,8,442,1,12
/10.0.0.1,/10.0.0.25,12,8,443,2,12
/10.0.0.1,/10.0.0.25,13,8,481,1,13
/10.0.0.1,/10.0.0.25,13,8,486,2,13
/10.0.0.1,/10.0.0.25,14,8,494,1,14
/10.0.0.1,/10.0.0.25,14,8,499,2,14
/10.0.0.1,/10.0.0.25,15,8,509,1,15
/10.0.0.1,/10.0.0.25,15,8,557,2,15
/10.0.0.1,/10.0.0.25,16,8,483,1,16
/10.0.0.1,/10.0.0.25,16,8,524,2,16
/10.0.0.1,/10.0.0.25,17,8,415,1,17
/10.0.0.1,/10.0.0.25,17,8,417,2,17
/10.0.0.1,/10.0.0.25,18,8,466,1,18
/10.0.0.1,/10.0.0.25,18,8,493,2,18
/10.0.0.1,/10.0.0.25,19,8,416,1,19
/10.0.0.1,/10.0.0.25,19,8,421,2,19
/10.0.0.1,/10.0.0.25,20,8,482,1,20
/10.0.0.1,/10.0.0.25,20,8,484,2,20
/10.0.0.1,/10.0.0.25,21,8,493,1,21
/10.0.0.1,/10.0.0.25,21,8,499,2,21
/10.0.0.1,/10.0.0.25,22,8,506,1,22
/10.0.0.1,/10.0.0.25,22,8,512,2,22
/10.0.0.1,/10.0.0.25,23,8,440,1,23
/10.0.0.1,/10.0.0.25,23,8,442,2,23
/10.0.0.1,/10.0.0.25,24,8,484,1,24
/10.0.0.1,/10.0.0.25,24,8,488,2,24
/10.0.0.1,/10.0.0.25,25,8,460,1,25
/10.0.0.1,/10.0.0.25,25,8,465,2,25
/10.0.0.1,/10.0.0.25,26,8,470,1,26
/10.0.0.1,/10.0.0.25,26,8,537,2,26
/10.0.0.1,/10.0.0.25,27,8,472,1,27
/10.0.0.1,/10.0.0.25,27,8,478,2,27
/10.0.0.1,/10.0.0.25,28,8,401,1,28
/10.0.0.1,/10.0.0.25,28,8,404,2,28
/10.0.0.1,/10.0.0.25,29,8,391,1,29
/10.0.0.1,/10.0.0.25,29,8,393,2,29
/10.0.0.1,/10.0.0.25,30,8,458,1,30
/10.0.0.1,/10.0.0.25,30,8,473,2,30
/10.0.0.1,/10.0.0.25,31,8,449,1,31
/10.0.0.1,/10.0.0.25,31,8,481,2,31
/10.0.0.1,/10.0.0.25,32,8,412,1,32
/10.0.0.1,/10.0.0.25,32,8,414,2,32
/10.0.0.1,/10.0.0.25,33,8,1047,1,33
/10.0.0.1,/10.0.0.25,33,8,1064,2,33
/10.0.0.1,/10.0.0.25,34,8,359,1,34
/10.0.0.1,/10.0.0.25,34,8,584,2,34
/10.0.0.1,/10.0.0.25,35,8,493,1,35
/10.0.0.1,/10.0.0.25,35,8,524,2,35
/10.0.0.1,/10.0.0.25,36,8,481,1,36
/10.0.0.1,/10.0.0.25,36,8,484,2,36
/10.0.0.1,/10.0.0.25,37,8,437,1,37
/10.0.0.1,/10.0.0.25,37,8,442,2,37
/10.0.0.1,/10.0.0.25,38,8,463,1,38
/10.0.0.1,/10.0.0.25,38,8,466,2,38
/10.0.0.1,/10.0.0.25,39,8,453,1,39
/10.0.0.1,/10.0.0.25,39,8,456,2,39
/10.0.0.1,/10.0.0.25,40,8,466,1,40
/10.0.0.1,/10.0.0.25,40,8,470,2,40
/10.0.0.1,/10.0.0.25,41,8,421,1,41
/10.0.0.1,/10.0.0.25,41,8,424,2,41
/10.0.0.1,/10.0.0.25,42,8,384,1,42
/10.0.0.1,/10.0.0.25,42,8,390,2,42
/10.0.0.1,/10.0.0.25,43,8,461,1,43
/10.0.0.1,/10.0.0.25,43,8,485,2,43
/10.0.0.1,/10.0.0.25,44,8,452,1,44
/10.0.0.1,/10.0.0.25,44,8,454,2,44
/10.0.0.1,/10.0.0.25,45,8,429,1,45
/10.0.0.1,/10.0.0.25,45,8,431,2,45
/10.0.0.1,/10.0.0.25,46,8,443,1,46
/10.0.0.1,/10.0.0.25,46,8,445,2,46
/10.0.0.1,/10.0.0.25,47,8,500,1,47
/10.0.0.1,/10.0.0.25,47,8,535,2,47
/10.0.0.1,/10.0.0.25,48,8,445,1,48
/10.0.0.1,/10.0.0.25,48,8,448,2,48
/10.0.0.1,/10.0.0.25,49,8,494,1,49
/10.0.0.1,/10.0.0.25,49,8,495,2,49
/10.0.0.1,/10.0.0.25,50,8,494,1,50
/10.0.0.1,/10.0.0.25,50,8,495,2,50
/10.0.0.1,/10.0.0.25,51,8,461,1,51
/10.0.0.1,/10.0.0.25,51,8,462,2,51
/10.0.0.1,/10.0.0.25,52,8,460,1,52
/10.0.0.1,/10.0.0.25,52,8,461,2,52
/10.0.0.1,/10.0.0.25,53,8,412,1,53
/10.0.0.1,/10.0.0.25,53,8,427,2,53
/10.0.0.1,/10.0.0.25,54,8,392,1,54
/10.0.0.1,/10.0.0.25,54,8,394,2,54
/10.0.0.1,/10.0.0.25,55,8,471,1,55
/10.0.0.1,/10.0.0.25,55,8,473,2,55
/10.0.0.1,/10.0.0.25,56,8,392,1,56
/10.0.0.1,/10.0.0.25,56,8,393,2,56
/10.0.0.1,/10.0.0.25,57,8,456,1,57
/10.0.0.1,/10.0.0.25,57,8,486,2,57
/10.0.0.1,/10.0.0.25,58,8,464,1,58
/10.0.0.1,/10.0.0.25,58,8,496,2,58
/10.0.0.1,/10.0.0.25,59,8,429,1,59
/10.0.0.1,/10.0.0.25,59,8,430,2,59
/10.0.0.1,/10.0.0.25,60,8,464,1,60
/10.0.0.1,/10.0.0.25,60,8,469,2,60
/10.0.0.1,/10.0.0.25,61,8,449,1,61
/10.0.0.1,/10.0.0.25,61,8,454,2,61
/10.0.0.1,/10.0.0.25,62,8,438,1,62
/10.0.0.1,/10.0.0.25,62,8,442,2,62
/10.0.0.1,/10.0.0.25,63,8,469,1,63
/10.0.0.1,/10.0.0.25,63,8,474,2,63
/10.0.0.1,/10.0.0.25,64,8,463,1,64
/10.0.0.1,/10.0.0.25,64,8,465,2,64
/10.0.0.1,/10.0.0.25,65,8,485,1,65
/10.0.0.1,/10.0.0.25,65,8,523,2,65
/10.0.0.1,/10.0.0.25,66,8,464,1,66
/10.0.0.1,/10.0.0.25,66,8,476,2,66
/10.0.0.1,/10.0.0.25,67,8,493,1,67
/10.0.0.1,/10.0.0.25,67,8,494,2,67
/10.0.0.1,/10.0.0.25,68,8,402,1,68
/10.0.0.1,/10.0.0.25,68,8,407,2,68
/10.0.0.1,/10.0.0.25,69,8,407,1,69
/10.0.0.1,/10.0.0.25,69,8,409,2,69
/10.0.0.1,/10.0.0.25,70,8,418,1,70
/10.0.0.1,/10.0.0.25,70,8,422,2,70
/10.0.0.1,/10.0.0.25,71,8,378,1,71
/10.0.0.1,/10.0.0.25,71,8,380,2,71
/10.0.0.1,/10.0.0.25,72,8,563,1,72
/10.0.0.1,/10.0.0.25,72,8,613,2,72
/10.0.0.1,/10.0.0.25,73,8,449,1,73
/10.0.0.1,/10.0.0.25,73,8,450,2,73
/10.0.0.1,/10.0.0.25,74,8,460,1,74
/10.0.0.1,/10.0.0.25,74,8,465,2,74
/10.0.0.1,/10.0.0.25,75,8,452,1,75
/10.0.0.1,/10.0.0.25,75,8,455,2,75
/10.0.0.1,/10.0.0.25,76,8,510,1,76
/10.0.0.1,/10.0.0.25,76,8,550,2,76
/10.0.0.1,/10.0.0.25,77,8,481,1,77
/10.0.0.1,/10.0.0.25,77,8,482,2,77
/10.0.0.1,/10.0.0.25,78,8,483,1,78
