SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,2,18,20826,1,1
/10.0.0.1,/10.0.0.100,2,18,20922,2,1
/10.0.0.1,/10.0.0.100,3,18,20007,1,2
/10.0.0.1,/10.0.0.100,5,18,35347,1,3
/10.0.0.1,/10.0.0.100,5,18,35378,2,3
/10.0.0.1,/10.0.0.100,6,18,29414,1,4
/10.0.0.1,/10.0.0.100,6,18,29525,2,4
/10.0.0.1,/10.0.0.100,8,18,43932,1,5
/10.0.0.1,/10.0.0.100,9,18,33817,1,6
/10.0.0.1,/10.0.0.100,9,18,33852,2,6
/10.0.0.1,/10.0.0.100,10,18,42672,1,7
/10.0.0.1,/10.0.0.100,12,18,30886,1,8
/10.0.0.1,/10.0.0.100,12,18,30924,2,8
/10.0.0.1,/10.0.0.100,14,18,37955,1,9
/10.0.0.1,/10.0.0.100,14,18,37988,2,9
/10.0.0.1,/10.0.0.100,21,18,47157,1,10
/10.0.0.1,/10.0.0.100,21,18,47280,2,10
/10.0.0.1,/10.0.0.100,43,18,75399,1,11
/10.0.0.1,/10.0.0.100,43,18,75432,2,11
/10.0.0.1,/10.0.0.100,48,18,79873,1,12
/10.0.0.1,/10.0.0.100,48,18,79901,2,12
/10.0.0.1,/10.0.0.100,55,18,78421,1,13
/10.0.0.1,/10.0.0.100,55,18,78451,2,13
/10.0.0.1,/10.0.0.100,56,18,77787,1,14
/10.0.0.1,/10.0.0.100,56,18,77818,2,14
/10.0.0.1,/10.0.0.100,57,18,77985,1,15
/10.0.0.1,/10.0.0.100,59,18,76022,1,16
/10.0.0.1,/10.0.0.100,60,18,74893,1,17
/10.0.0.1,/10.0.0.100,60,18,75052,2,17
/10.0.0.1,/10.0.0.100,62,18,73369,1,18
/10.0.0.1,/10.0.0.100,62,18,73577,2,18
/10.0.0.1,/10.0.0.100,63,18,72517,1,19
/10.0.0.1,/10.0.0.100,68,18,68078,1,20
/10.0.0.1,/10.0.0.100,69,18,67850,1,21
/10.0.0.1,/10.0.0.100,74,18,62781,1,22
/10.0.0.1,/10.0.0.100,74,18,62809,2,22
/10.0.0.1,/10.0.0.100,78,18,59126,1,23
/10.0.0.1,/10.0.0.100,78,18,59157,2,23
/10.0.0.1,/10.0.0.100,80,18,57353,1,24
/10.0.0.1,/10.0.0.100,84,18,53580,1,25
/10.0.0.1,/10.0.0.100,85,18,52920,1,26
/10.0.0.1,/10.0.0.100,87,18,50767,1,27
/10.0.0.1,/10.0.0.100,87,18,50797,2,27
/10.0.0.1,/10.0.0.100,89,18,48860,1,28
/10.0.0.1,/10.0.0.100,89,18,48889,2,28
/10.0.0.1,/10.0.0.100,90,18,48130,1,29
/10.0.0.1,/10.0.0.100,90,18,48157,2,29
/10.0.0.1,/10.0.0.100,92,18,45941,1,30
/10.0.0.1,/10.0.0.100,92,18,45973,2,30
/10.0.0.1,/10.0.0.100,94,18,44000,1,31
/10.0.0.1,/10.0.0.100,94,18,44027,2,31
/10.0.0.1,/10.0.0.100,98,18,40061,1,32
/10.0.0.1,/10.0.0.100,98,18,40091,2,32
