SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.100,1305,18,2007,1,1
/10.0.0.1,/10.0.0.100,1309,18,4177,1,2
/10.0.0.1,/10.0.0.100,1309,18,4287,2,2
/10.0.0.1,/10.0.0.100,1314,18,8016,1,3
/10.0.0.1,/10.0.0.100,1317,18,10353,1,4
/10.0.0.1,/10.0.0.100,1317,18,10488,2,4
/10.0.0.1,/10.0.0.100,1318,18,11285,1,5
/10.0.0.1,/10.0.0.100,1318,18,11492,2,5
/10.0.0.1,/10.0.0.100,1319,18,12253,1,6
/10.0.0.1,/10.0.0.100,1319,18,12296,2,6
/10.0.0.1,/10.0.0.100,1321,18,13809,1,7
/10.0.0.1,/10.0.0.100,1321,18,13838,2,7
/10.0.0.1,/10.0.0.100,1323,18,15378,1,8
/10.0.0.1,/10.0.0.100,1323,18,15412,2,8
/10.0.0.1,/10.0.0.100,1329,18,17473,1,9
/10.0.0.1,/10.0.0.100,1330,18,17960,1,10
/10.0.0.1,/10.0.0.100,1333,18,18515,1,11
/10.0.0.1,/10.0.0.100,1338,18,22223,1,12
/10.0.0.1,/10.0.0.100,1338,18,22268,2,12
/10.0.0.1,/10.0.0.100,1347,18,22603,1,13
/10.0.0.1,/10.0.0.100,1347,18,22757,2,13
/10.0.0.1,/10.0.0.100,1348,18,23093,1,14
/10.0.0.1,/10.0.0.100,1348,18,23127,2,14
/10.0.0.1,/10.0.0.100,1352,18,25368,1,15
/10.0.0.1,/10.0.0.100,1352,18,25473,2,15
/10.0.0.1,/10.0.0.100,1353,18,26068,1,16
/10.0.0.1,/10.0.0.100,1353,18,26094,2,16
/10.0.0.1,/10.0.0.100,1356,18,26632,1,17
/10.0.0.1,/10.0.0.100,1356,18,26694,2,17
/10.0.0.1,/10.0.0.100,1357,18,26612,1,18
/10.0.0.1,/10.0.0.100,1357,18,26673,2,18
/10.0.0.1,/10.0.0.100,1358,18,27334,1,19
/10.0.0.1,/10.0.0.100,1358,18,27367,2,19
/10.0.0.1,/10.0.0.100,1359,18,27847,1,20
/10.0.0.1,/10.0.0.100,1361,18,29107,1,21
/10.0.0.1,/10.0.0.100,1363,18,29554,1,22
/10.0.0.1,/10.0.0.100,1363,18,29585,2,22
/10.0.0.1,/10.0.0.100,1364,18,29831,1,23
/10.0.0.1,/10.0.0.100,1373,18,33938,1,24
/10.0.0.1,/10.0.0.100,1379,18,36239,1,25
/10.0.0.1,/10.0.0.100,1380,18,37090,1,26
/10.0.0.1,/10.0.0.100,1380,18,37114,2,26
/10.0.0.1,/10.0.0.100,1381,18,37533,1,27
/10.0.0.1,/10.0.0.100,1385,18,39223,1,28
/10.0.0.1,/10.0.0.100,1385,18,39324,2,28
/10.0.0.1,/10.0.0.100,1387,18,40176,1,29
/10.0.0.1,/10.0.0.100,1387,18,40301,2,29
/10.0.0.1,/10.0.0.100,1388,18,41113,1,30
/10.0.0.1,/10.0.0.100,1388,18,41151,2,30
/10.0.0.1,/10.0.0.100,1390,18,41837,1,31
/10.0.0.1,/10.0.0.100,1390,18,41891,2,31
/10.0.0.1,/10.0.0.100,1391,18,42088,1,32
/10.0.0.1,/10.0.0.100,1391,18,42117,2,32
/10.0.0.1,/10.0.0.100,1397,18,44306,1,33
/10.0.0.1,/10.0.0.100,1397,18,44452,2,33
/10.0.0.1,/10.0.0.100,1398,18,44058,1,34
/10.0.0.1,/10.0.0.100,1400,18,44791,1,35
/10.0.0.1,/10.0.0.100,1400,18,44837,2,35
/10.0.0.1,/10.0.0.100,1405,18,45816,1,36
/10.0.0.1,/10.0.0.100,1406,18,46359,1,37
/10.0.0.1,/10.0.0.100,1406,18,46393,2,37
/10.0.0.1,/10.0.0.100,1408,18,46821,1,38
/10.0.0.1,/10.0.0.100,1408,18,55939,2,38
/10.0.0.1,/10.0.0.100,1410,18,47709,1,39
/10.0.0.1,/10.0.0.100,1412,18,48458,1,40
/10.0.0.1,/10.0.0.100,1412,18,48825,2,40
/10.0.0.1,/10.0.0.100,1414,18,48945,1,41
/10.0.0.1,/10.0.0.100,1415,18,49361,1,42
/10.0.0.1,/10.0.0.100,1418,18,50465,1,43
/10.0.0.1,/10.0.0.100,1418,18,50498,2,43
/10.0.0.1,/10.0.0.100,1419,18,50596,1,44
/10.0.0.1,/10.0.0.100,1423,18,51707,1,45
/10.0.0.1,/10.0.0.100,1424,18,52247,1,46
/10.0.0.1,/10.0.0.100,1424,18,52286,2,46
/10.0.0.1,/10.0.0.100,1429,18,53311,1,47
/10.0.0.1,/10.0.0.100,1431,18,53746,1,48
/10.0.0.1,/10.0.0.100,1432,18,54354,1,49
/10.0.0.1,/10.0.0.100,1432,18,54516,2,49
/10.0.0.1,/10.0.0.100,1433,18,54749,1,50
