SRC,DEST,seq,hops,time,rcvs,received
/10.0.0.1,/10.0.0.49,701,12,538,1,1
/10.0.0.1,/10.0.0.49,701,12,563,2,1
/10.0.0.1,/10.0.0.49,702,12,521,1,2
/10.0.0.1,/10.0.0.49,702,12,550,2,2
/10.0.0.1,/10.0.0.49,704,12,501,1,3
/10.0.0.1,/10.0.0.49,704,12,528,2,3
/10.0.0.1,/10.0.0.49,706,12,551,1,4
/10.0.0.1,/10.0.0.49,706,12,577,2,4
/10.0.0.1,/10.0.0.49,707,12,528,1,5
/10.0.0.1,/10.0.0.49,707,12,554,2,5
/10.0.0.1,/10.0.0.49,708,12,482,1,6
/10.0.0.1,/10.0.0.49,708,12,514,2,6
/10.0.0.1,/10.0.0.49,710,12,518,1,7
/10.0.0.1,/10.0.0.49,710,12,543,2,7
/10.0.0.1,/10.0.0.49,712,12,523,1,8
/10.0.0.1,/10.0.0.49,712,12,545,2,8
/10.0.0.1,/10.0.0.49,714,12,484,1,9
/10.0.0.1,/10.0.0.49,714,12,494,2,9
/10.0.0.1,/10.0.0.49,715,12,513,1,10
/10.0.0.1,/10.0.0.49,715,12,523,2,10
/10.0.0.1,/10.0.0.49,716,12,511,1,11
/10.0.0.1,/10.0.0.49,716,12,526,2,11
/10.0.0.1,/10.0.0.49,718,12,454,1,12
/10.0.0.1,/10.0.0.49,718,12,465,2,12
/10.0.0.1,/10.0.0.49,719,12,484,1,13
/10.0.0.1,/10.0.0.49,719,12,496,2,13
/10.0.0.1,/10.0.0.49,720,12,494,1,14
/10.0.0.1,/10.0.0.49,720,12,504,2,14
/10.0.0.1,/10.0.0.49,721,12,525,1,15
/10.0.0.1,/10.0.0.49,721,12,540,2,15
/10.0.0.1,/10.0.0.49,722,12,461,1,16
/10.0.0.1,/10.0.0.49,722,12,509,2,16
/10.0.0.1,/10.0.0.49,723,12,461,1,17
/10.0.0.1,/10.0.0.49,724,12,497,1,18
/10.0.0.1,/10.0.0.49,725,12,516,1,19
/10.0.0.1,/10.0.0.49,725,12,526,2,19
/10.0.0.1,/10.0.0.49,727,12,500,1,20
/10.0.0.1,/10.0.0.49,727,12,518,2,20
/10.0.0.1,/10.0.0.49,729,12,509,1,21
/10.0.0.1,/10.0.0.49,729,12,560,2,21
/10.0.0.1,/10.0.0.49,730,12,577,1,22
/10.0.0.1,/10.0.0.49,731,12,509,1,23
/10.0.0.1,/10.0.0.49,731,12,519,2,23
/10.0.0.1,/10.0.0.49,732,12,455,1,24
/10.0.0.1,/10.0.0.49,732,12,470,2,24
/10.0.0.1,/10.0.0.49,733,12,471,1,25
/10.0.0.1,/10.0.0.49,733,12,483,2,25
/10.0.0.1,/10.0.0.49,737,12,465,1,26
/10.0.0.1,/10.0.0.49,737,12,481,2,26
/10.0.0.1,/10.0.0.49,738,12,535,1,27
/10.0.0.1,/10.0.0.49,738,12,544,2,27
/10.0.0.1,/10.0.0.49,742,12,465,1,28
/10.0.0.1,/10.0.0.49,742,12,515,2,28
/10.0.0.1,/10.0.0.49,743,12,457,1,29
/10.0.0.1,/10.0.0.49,743,12,468,2,29
/10.0.0.1,/10.0.0.49,745,12,506,1,30
/10.0.0.1,/10.0.0.49,745,12,516,2,30
/10.0.0.1,/10.0.0.49,748,12,459,1,31
/10.0.0.1,/10.0.0.49,748,12,469,2,31
/10.0.0.1,/10.0.0.49,749,12,480,1,32
/10.0.0.1,/10.0.0.49,749,12,489,2,32
/10.0.0.1,/10.0.0.49,750,12,503,1,33
/10.0.0.1,/10.0.0.49,750,12,514,2,33
/10.0.0.1,/10.0.0.49,751,12,517,1,34
/10.0.0.1,/10.0.0.49,751,12,527,2,34
/10.0.0.1,/10.0.0.49,753,12,485,1,35
/10.0.0.1,/10.0.0.49,753,12,495,2,35
/10.0.0.1,/10.0.0.49,754,12,483,1,36
/10.0.0.1,/10.0.0.49,754,12,496,2,36
/10.0.0.1,/10.0.0.49,756,12,514,1,37
/10.0.0.1,/10.0.0.49,756,12,524,2,37
/10.0.0.1,/10.0.0.49,758,12,474,1,38
/10.0.0.1,/10.0.0.49,759,12,501,1,39
/10.0.0.1,/10.0.0.49,759,12,514,2,39
/10.0.0.1,/10.0.0.49,760,12,519,1,40
/10.0.0.1,/10.0.0.49,760,12,528,2,40
/10.0.0.1,/10.0.0.49,761,12,506,1,41
/10.0.0.1,/10.0.0.49,761,12,517,2,41
/10.0.0.1,/10.0.0.49,762,12,466,1,42
/10.0.0.1,/10.0.0.49,762,12,475,2,42
/10.0.0.1,/10.0.0.49,765,12,515,1,43
/10.0.0.1,/10.0.0.49,765,12,525,2,43
/10.0.0.1,/10.0.0.49,766,12,498,1,44
/10.0.0.1,/10.0.0.49,766,12,528,2,44
/10.0.0.1,/10.0.0.49,767,12,468,1,45
/10.0.0.1,/10.0.0.49,767,12,479,2,45
/10.0.0.1,/10.0.0.49,770,12,513,1,46
/10.0.0.1,/10.0.0.49,770,12,523,2,46
/10.0.0.1,/10.0.0.49,771,12,471,1,47
/10.0.0.1,/10.0.0.49,771,12,515,2,47
/10.0.0.1,/10.0.0.49,772,12,478,1,48
/10.0.0.1,/10.0.0.49,772,12,489,2,48
/10.0.0.1,/10.0.0.49,773,12,496,1,49
/10.0.0.1,/10.0.0.49,773,12,509,2,49
/10.0.0.1,/10.0.0.49,774,12,510,1,50
/10.0.0.1,/10.0.0.49,774,12,522,2,50
/10.0.0.1,/10.0.0.49,775,12,503,1,51
/10.0.0.1,/10.0.0.49,775,12,514,2,51
/10.0.0.1,/10.0.0.49,776,12,482,1,52
/10.0.0.1,/10.0.0.49,776,12,492,2,52
/10.0.0.1,/10.0.0.49,777,12,463,1,53
/10.0.0.1,/10.0.0.49,777,12,474,2,53
/10.0.0.1,/10.0.0.49,778,12,491,1,54
/10.0.0.1,/10.0.0.49,778,12,501,2,54
/10.0.0.1,/10.0.0.49,780,12,501,1,55
/10.0.0.1,/10.0.0.49,780,12,512,2,55
/10.0.0.1,/10.0.0.49,782,12,478,1,56
/10.0.0.1,/10.0.0.49,782,12,488,2,56
/10.0.0.1,/10.0.0.49,783,12,522,1,57
/10.0.0.1,/10.0.0.49,783,12,534,2,57
/10.0.0.1,/10.0.0.49,784,12,526,1,58
/10.0.0.1,/10.0.0.49,784,12,538,2,58
/10.0.0.1,/10.0.0.49,787,12,494,1,59
/10.0.0.1,/10.0.0.49,787,12,505,2,59
/10.0.0.1,/10.0.0.49,788,12,517,1,60
/10.0.0.1,/10.0.0.49,788,12,530,2,60
/10.0.0.1,/10.0.0.49,789,12,495,1,61
/10.0.0.1,/10.0.0.49,789,12,520,2,61
/10.0.0.1,/10.0.0.49,790,12,460,1,62
/10.0.0.1,/10.0.0.49,790,12,470,2,62
/10.0.0.1,/10.0.0.49,791,12,482,1,63
/10.0.0.1,/10.0.0.49,791,12,492,2,63
/10.0.0.1,/10.0.0.49,792,12,509,1,64
/10.0.0.1,/10.0.0.49,793,12,526,1,65
/10.0.0.1,/10.0.0.49,793,12,536,2,65
/10.0.0.1,/10.0.0.49,794,12,527,1,66
/10.0.0.1,/10.0.0.49,794,12,537,2,66
/10.0.0.1,/10.0.0.49,796,12,485,1,67
/10.0.0.1,/10.0.0.49,796,12,495,2,67
/10.0.0.1,/10.0.0.49,797,12,510,1,68
/10.0.0.1,/10.0.0.49,797,12,523,2,68
/10.0.0.1,/10.0.0.49,799,12,451,1,69
